HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
G223,艾莉奧(G223),沙田,AWT,1650,2,14,4,9.7,24.92,14.29,28.57,69.29
G307,大力猴王(G307),跑馬地,Turf,1650,2,14,3,4.9,20.24,14.29,21.43,35.0
H095,龍城強將(H095),沙田,Turf,1400,2,14,6,-1.2999999999999998,8.95,14.29,42.86,-9.29
H356,電玩精英(H356),跑馬地,Turf,1200,2,14,5,-6.6,12.64,14.29,35.71,-47.14
H464,機械騎士(H464),沙田,AWT,1200,2,14,5,-2.0999999999999996,7.81,14.29,35.71,-15.0
H475,綫路萬里(H475),沙田,Turf,1400,2,14,10,-9.4,6.03,14.29,71.43,-67.14
E175,天火同人(E175),跑馬地,Turf,1000,1,14,4,-4.0,17.93,7.14,28.57,-28.57
E435,佳運發(E435),沙田,Turf,1200,1,14,3,-8.3,21.42,7.14,21.43,-59.29
H065,三代同心(H065),跑馬地,Turf,1200,1,14,6,-3.0,14.32,7.14,42.86,-21.43
H117,飛鷹翱翔(H117),沙田,Turf,1400,1,14,5,7.0,19.61,7.14,35.71,50.0
H289,唯美主義(H289),跑馬地,Turf,1650,1,14,4,-11.8,11.66,7.14,28.57,-84.29
H487,綫路光驊(H487),沙田,Turf,1200,1,14,4,-1.0,20.06,7.14,28.57,-7.14
J195,競駿輝煌(J195),沙田,Turf,1400,1,14,5,-10.7,9.08,7.14,35.71,-76.43
G352,謙謙君子(G352),跑馬地,Turf,1000,0,14,4,-14.0,10.29,0.0,28.57,-100.0
J058,領創動力(J058),跑馬地,Turf,1650,0,14,4,-14.0,8.73,0.0,28.57,-100.0
J062,嘉應高昇(J062),沙田,Turf,1200,13,13,13,1.9,1.15,100.0,100.0,14.62
H177,勇冠群英(H177),沙田,Turf,1400,3,13,8,-1.7999999999999998,15.85,23.08,61.54,-13.85
H207,紅海勁(H207),跑馬地,Turf,1650,3,13,6,3.7,11.14,23.08,46.15,28.46
H283,日日獎(H283),沙田,AWT,1200,3,13,6,13.2,16.48,23.08,46.15,101.54
J143,日馳千里(J143),跑馬地,Turf,1200,3,13,5,32.0,14.07,23.08,38.46,246.15
J298,智勇名駒(J298),跑馬地,Turf,1650,3,13,9,1.3999999999999995,7.68,23.08,69.23,10.77
J519,好節拍(J519),跑馬地,Turf,1200,3,13,7,32.2,36.03,23.08,53.85,247.69
E432,胡椒軍曹(E432),跑馬地,Turf,1000,2,13,2,34.4,29.25,15.38,15.38,264.62
G166,天足貓(G166),跑馬地,Turf,1200,2,13,5,12.0,21.1,15.38,38.46,92.31
H321,千杯敬典(H321),跑馬地,Turf,1200,2,13,4,13.0,15.92,15.38,30.77,100.0
H373,光輝所願(H373),跑馬地,Turf,1200,2,13,6,7.5,11.16,15.38,46.15,57.69
H454,良駒好友(H454),沙田,AWT,1200,2,13,2,16.0,14.98,15.38,15.38,123.08
H483,手錶之星(H483),沙田,Turf,1200,2,13,5,-3.8000000000000003,13.67,15.38,38.46,-29.23
J135,寶成智星(J135),跑馬地,Turf,1650,2,13,5,88.6,19.01,15.38,38.46,681.54
J158,安康萬里(J158),跑馬地,Turf,1200,2,13,6,-1.1999999999999993,10.6,15.38,46.15,-9.23
J184,超勁火力(J184),跑馬地,Turf,1200,2,13,2,-3.0000000000000004,16.63,15.38,15.38,-23.08
J315,文明福星(J315),沙田,Turf,1400,2,13,5,4.2,11.38,15.38,38.46,32.31
J484,決一劍(J484),跑馬地,Turf,1200,2,13,3,4.0,11.23,15.38,23.08,30.77
E061,人和家興(E061),沙田,Turf,1200,1,13,3,9.0,31.38,7.69,23.08,69.23
G467,雪勇神駒(G467),跑馬地,Turf,1200,1,13,3,-6.7,14.08,7.69,23.08,-51.54
H087,獎星(H087),跑馬地,Turf,1800,1,13,5,-7.3,13.81,7.69,38.46,-56.15
H115,紅運帝王(H115),沙田,Turf,1600,1,13,3,77.0,49.22,7.69,23.08,592.31
H165,都靈福星(H165),沙田,AWT,1650,1,13,2,-5.7,25.88,7.69,15.38,-43.85
H302,驕陽明駒(H302),沙田,Turf,1200,1,13,10,-11.0,34.78,7.69,76.92,-84.62
H459,星運少爵(H459),沙田,Turf,1400,1,13,3,-8.6,12.97,7.69,23.08,-66.15
J039,穿甲戰鷹(J039),沙田,Turf,1400,1,13,5,-9.7,8.71,7.69,38.46,-74.62
J091,嘉應巨昇(J091),沙田,Turf,1400,1,13,4,-3.0,15.94,7.69,30.77,-23.08
J205,超風速(J205),沙田,Turf,1400,1,13,5,8.0,12.23,7.69,38.46,61.54
J375,銳高(J375),跑馬地,Turf,1200,1,13,3,-4.6,34.93,7.69,23.08,-35.38
E058,美麗同享(E058),沙田,Turf,1600,0,13,3,-13.0,47.25,0.0,23.08,-100.0
G328,砂漿金剛(G328),跑馬地,Turf,1200,0,13,3,-13.0,16.57,0.0,23.08,-100.0
H008,永遠美麗(H008),沙田,Turf,1600,0,13,2,-13.0,38.03,0.0,15.38,-100.0
H170,光年八十(H170),沙田,Turf,1400,0,13,4,-13.0,33.41,0.0,30.77,-100.0
H290,魔法速遞(H290),跑馬地,Turf,1650,0,13,7,-13.0,5.7,0.0,53.85,-100.0
J037,銳一(J037),沙田,Turf,1400,0,13,4,-13.0,9.09,0.0,30.77,-100.0
K010,連連幸運(K010),跑馬地,Turf,1000,0,13,8,-13.0,12.36,0.0,61.54,-100.0
J186,星際快車(J186),沙田,Turf,1000,5,12,7,34.3,9.38,41.67,58.33,285.83
J066,晨曦儷人(J066),跑馬地,Turf,1200,4,12,9,3.9999999999999996,7.61,33.33,75.0,33.33
J417,精彩駿將(J417),跑馬地,Turf,1200,4,12,7,-0.09999999999999964,4.38,33.33,58.33,-0.83
K434,福星小子(K434),跑馬地,Turf,1200,4,12,5,24.6,18.56,33.33,41.67,205.0
H278,你知我得(H278),跑馬地,Turf,1200,3,12,7,-2.6999999999999997,15.31,25.0,58.33,-22.5
H303,好友心得(H303),沙田,Turf,1200,3,12,4,0.20000000000000018,81.74,25.0,33.33,1.67
H376,英駿飛駒(H376),沙田,Turf,1600,3,12,5,-3.3000000000000003,10.27,25.0,41.67,-27.5
J180,友瑩仁(J180),沙田,Turf,1400,3,12,5,-0.09999999999999964,8.5,25.0,41.67,-0.83
J219,飲杯(J219),跑馬地,Turf,1200,3,12,6,-0.9000000000000004,9.8,25.0,50.0,-7.5
J321,神馳(J321),沙田,Turf,1400,3,12,5,-3.0999999999999996,5.54,25.0,41.67,-25.83
D075,中華威威(D075),跑馬地,Turf,1000,2,12,2,13.8,18.03,16.67,16.67,115.0
D090,上校(D090),跑馬地,Turf,1200,2,12,2,13.0,27.98,16.67,16.67,108.33
H110,紅愛舍(H110),跑馬地,Turf,1200,2,12,3,-3.3000000000000007,10.23,16.67,25.0,-27.5
