Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
賀賢,沙田,Turf,1000,4,49,18,28.4,35.66,8.16,36.73,57.96
廖康銘,跑馬地,Turf,1000,3,49,13,-13.600000000000001,27.94,6.12,26.53,-27.76
丁冠豪,沙田,Turf,1600,4,48,15,-6.3999999999999995,23.6,8.33,31.25,-13.33
鄭俊偉,沙田,Turf,1600,4,48,8,-7.5,30.8,8.33,16.67,-15.62
巫偉傑,沙田,Turf,1000,6,47,18,65.8,29.88,12.77,38.3,140.0
羅富全,沙田,AWT,1650,6,47,8,5.700000000000001,20.92,12.77,17.02,12.13
羅富全,沙田,Turf,1000,4,47,14,43.0,19.11,8.51,29.79,91.49
文家良,沙田,Turf,1000,6,46,13,-1.0,44.29,13.04,28.26,-2.17
鄭俊偉,沙田,AWT,1650,3,46,9,-14.9,39.07,6.52,19.57,-32.39
鄭俊偉,沙田,AWT,1200,2,46,5,-21.6,37.1,4.35,10.87,-46.96
蘇偉賢,沙田,Turf,1000,1,46,4,-44.1,64.38,2.17,8.7,-95.87
呂健威,沙田,Turf,1000,5,45,6,-17.8,43.31,11.11,13.33,-39.56
告東尼,沙田,AWT,1200,5,45,10,4.2,27.95,11.11,22.22,9.33
方嘉柏,跑馬地,Turf,1800,5,45,12,-11.5,13.05,11.11,26.67,-25.56
伍鵬志,跑馬地,Turf,1800,3,45,17,-4.4,14.74,6.67,37.78,-9.78
葉楚航,沙田,AWT,1200,2,45,7,-24.6,30.13,4.44,15.56,-54.67
告東尼,跑馬地,Turf,1000,7,44,15,-9.799999999999999,23.38,15.91,34.09,-22.27
蘇偉賢,沙田,AWT,1200,5,43,11,51.7,19.27,11.63,25.58,120.23
游達榮,沙田,AWT,1650,4,43,11,-10.899999999999999,18.73,9.3,25.58,-25.35
巫偉傑,沙田,AWT,1200,2,43,9,-23.1,23.82,4.65,20.93,-53.72
大衛希斯,沙田,Turf,1800,7,42,12,18.200000000000003,25.13,16.67,28.57,43.33
大衛希斯,跑馬地,Turf,1800,4,42,13,-22.5,15.12,9.52,30.95,-53.57
告東尼,沙田,AWT,1650,1,42,6,-38.5,22.78,2.38,14.29,-91.67
沈集成,沙田,Turf,1600,1,42,7,-40.5,59.64,2.38,16.67,-96.43
蔡約翰,沙田,AWT,1650,5,41,15,-18.4,12.26,12.2,36.59,-44.88
廖康銘,沙田,AWT,1650,8,40,21,1.7999999999999994,18.24,20.0,52.5,4.5
蔡約翰,沙田,Turf,1800,4,40,10,-3.3000000000000007,16.59,10.0,25.0,-8.25
葉楚航,沙田,Turf,1600,3,40,8,-13.1,31.44,7.5,20.0,-32.75
大衛希斯,跑馬地,Turf,1000,1,40,6,-33.6,26.17,2.5,15.0,-84.0
姚本輝,沙田,AWT,1650,5,39,10,-3.5999999999999996,18.22,12.82,25.64,-9.23
