RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Unknown,沙田,Turf,1600,False,1,12,2,41.32,8.33,16.67,ClassVenueDistance
Group 3,跑馬地,Turf,1800,True,2,11,3,15.05,18.18,27.27,ClassVenueDistance
Group 2,沙田,Turf,2000,False,1,11,2,46.95,9.09,18.18,ClassVenueDistance
Unknown,沙田,Turf,2000,True,0,11,0,22.45,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1400,True,1,10,5,13.0,10.0,50.0,ClassVenueDistance
Group 1,沙田,Turf,2400,False,1,10,4,33.08,10.0,40.0,ClassVenueDistance
Group 1,沙田,Turf,2400,True,0,10,1,33.21,0.0,10.0,ClassVenueDistance
Griffin,沙田,Turf,1200,False,1,9,3,17.99,11.11,33.33,ClassVenueDistance
Group 3,沙田,Turf,1000,False,1,9,4,11.22,11.11,44.44,ClassVenueDistance
Class 5,沙田,Turf,1000,True,1,8,2,22.41,12.5,25.0,ClassVenueDistance
Group 3,沙田,Turf,1600,True,1,8,3,23.09,12.5,37.5,ClassVenueDistance
Group 2,沙田,Turf,2000,True,0,8,3,55.65,0.0,37.5,ClassVenueDistance
Group 3,沙田,Turf,1200,True,0,8,2,22.71,0.0,25.0,ClassVenueDistance
Group 1,沙田,Turf,1400,False,1,7,4,67.76,14.29,57.14,ClassVenueDistance
Group 1,跑馬地,Turf,1000,False,1,7,3,58.54,14.29,42.86,ClassVenueDistance
Group 3,沙田,Turf,2400,False,1,7,3,6.6,14.29,42.86,ClassVenueDistance
Class 1,沙田,Turf,1000,True,1,6,3,11.88,16.67,50.0,ClassVenueDistance
Group 3,沙田,Turf,2400,True,1,6,3,12.18,16.67,50.0,ClassVenueDistance
Class 1,沙田,Turf,1600,True,0,6,1,16.57,0.0,16.67,ClassVenueDistance
Griffin,沙田,Turf,1200,True,0,6,2,66.7,0.0,33.33,ClassVenueDistance
Class 1,沙田,Turf,1400,False,1,5,1,11.36,20.0,20.0,ClassVenueDistance
Class 1,沙田,Turf,1600,False,1,5,2,8.38,20.0,40.0,ClassVenueDistance
Group 1,沙田,AWT,1200,True,1,5,2,11.74,20.0,40.0,ClassVenueDistance
Class 1,跑馬地,Turf,1650,False,0,5,1,10.74,0.0,20.0,ClassVenueDistance
Class 5,沙田,Turf,1000,False,0,5,1,13.08,0.0,20.0,ClassVenueDistance
Class 1,跑馬地,Turf,1650,True,1,4,2,9.82,25.0,50.0,ClassVenueDistance
Group 1,沙田,AWT,1200,False,0,4,1,14.65,0.0,25.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,True,1,3,3,5.77,33.33,100.0,ClassVenueDistance
Group 3,沙田,Turf,1200,False,1,3,1,11.33,33.33,33.33,ClassVenueDistance
Group 3,沙田,Turf,1600,False,0,3,0,8.5,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1000,False,0,2,0,8.05,0.0,0.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,False,0,2,0,5.6,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,False,0,1,0,7.9,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1650,False,0,1,0,10.0,0.0,0.0,ClassVenueDistance
