Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
金誠剛,跑馬地,Turf,1200,4,61,11,41.1,47.36,6.56,18.03,67.38
蔡明紹,沙田,AWT,1200,6,60,22,-22.1,19.69,10.0,36.67,-36.83
楊明綸,沙田,Turf,1600,3,60,11,-3.399999999999997,48.89,5.0,18.33,-5.67
霍宏聲,沙田,Turf,1600,3,60,13,-32.0,27.62,5.0,21.67,-53.33
湯普新,沙田,Turf,1200,2,60,11,-32.0,85.88,3.33,18.33,-53.33
董明朗,沙田,Turf,1200,2,60,7,-26.0,81.28,3.33,11.67,-43.33
湯普新,跑馬地,Turf,1200,0,60,4,-60.0,62.51,0.0,6.67,-100.0
潘頓,沙田,Turf,1000,17,59,36,-5.799999999999999,4.36,28.81,61.02,-9.83
董明朗,沙田,Turf,1400,3,59,13,55.900000000000006,74.16,5.08,22.03,94.75
董明朗,跑馬地,Turf,1200,2,59,9,-47.5,50.95,3.39,15.25,-80.51
艾兆禮,沙田,AWT,1200,13,57,24,32.8,18.2,22.81,42.11,57.54
黃寶妮,沙田,AWT,1200,9,57,16,18.5,16.19,15.79,28.07,32.46
田泰安,沙田,Turf,1000,1,57,7,13.0,30.42,1.75,12.28,22.81
田泰安,沙田,AWT,1200,8,56,24,-8.6,14.02,14.29,42.86,-15.36
周俊樂,沙田,Turf,1600,3,54,10,-29.8,41.46,5.56,18.52,-55.19
布文,沙田,AWT,1200,2,53,14,-30.4,16.32,3.77,26.42,-57.36
希威森,沙田,Turf,1600,5,52,14,-14.0,31.46,9.62,26.92,-26.92
鍾易禮,沙田,Turf,1600,3,52,8,-18.1,52.48,5.77,15.38,-34.81
潘頓,跑馬地,Turf,1000,8,51,23,-13.9,5.8,15.69,45.1,-27.25
潘明輝,沙田,AWT,1200,0,51,13,-51.0,26.63,0.0,25.49,-100.0
蔡明紹,沙田,Turf,1000,6,50,15,-7.399999999999999,34.75,12.0,30.0,-14.8
霍宏聲,沙田,AWT,1200,6,50,14,3.1000000000000014,15.65,12.0,28.0,6.2
何澤堯,沙田,Turf,1600,4,50,15,-33.4,20.94,8.0,30.0,-66.8
潘頓,沙田,AWT,1200,11,49,19,-8.5,6.6,22.45,38.78,-17.35
艾兆禮,沙田,AWT,1650,5,49,11,-13.8,19.23,10.2,22.45,-28.16
奧爾民,沙田,Turf,1600,4,48,11,-5.1,32.98,8.33,22.92,-10.62
楊明綸,沙田,Turf,1000,4,48,5,-31.3,65.22,8.33,10.42,-65.21
艾兆禮,沙田,Turf,1000,4,48,11,-1.1000000000000014,33.99,8.33,22.92,-2.29
巴度,沙田,Turf,1000,3,48,16,-36.6,31.8,6.25,33.33,-76.25
楊明綸,沙田,AWT,1200,0,48,5,-48.0,52.79,0.0,10.42,-100.0
布文,跑馬地,Turf,1000,4,47,15,-20.1,11.96,8.51,31.91,-42.77
潘明輝,沙田,Turf,1000,2,47,13,-5.199999999999999,32.79,4.26,27.66,-11.06
潘頓,沙田,AWT,1650,7,46,22,-15.6,6.99,15.22,47.83,-33.91
艾兆禮,跑馬地,Turf,1000,7,46,15,-2.5,16.03,15.22,32.61,-5.43
田泰安,跑馬地,Turf,1000,2,46,6,-25.2,21.47,4.35,13.04,-54.78
希威森,沙田,Turf,1000,1,46,6,-30.0,35.07,2.17,13.04,-65.22
麥道朗,沙田,Turf,1200,9,45,23,-1.0999999999999988,16.14,20.0,51.11,-2.44
