jockey,trainer,Wins,Starts,Places,Win_ROI_Pct,WinRate,PlaceRate
艾兆禮,韋達,0,8,1,-100.0,0.0,12.5
董明朗,桂福特,0,8,1,-100.0,0.0,12.5
鍾易禮,丁冠豪,0,8,0,-100.0,0.0,0.0
霍宏聲,桂福特,0,8,3,-100.0,0.0,37.5
麥道朗,大衛希斯,0,8,2,-100.0,0.0,25.0
黃寶妮,徐雨石,0,8,0,-100.0,0.0,0.0
黃智弘,鄭俊偉,0,8,0,-100.0,0.0,0.0
何澤堯,徐雨石,0,7,0,-100.0,0.0,0.0
周俊樂,韋達,0,7,2,-100.0,0.0,28.6
巫顯東,羅富全,0,7,0,-100.0,0.0,0.0
布文,羅富全,0,7,0,-100.0,0.0,0.0
布浩榮,徐雨石,0,7,0,-100.0,0.0,0.0
希威森,蘇偉賢,0,7,0,-100.0,0.0,0.0
杜苑欣,大衛希斯,0,7,0,-100.0,0.0,0.0
杜苑欣,葉楚航,0,7,1,-100.0,0.0,14.3
梁家俊,伍鵬志,0,7,0,-100.0,0.0,0.0
梁家俊,徐雨石,0,7,0,-100.0,0.0,0.0
楊明綸,文家良,0,7,0,-100.0,0.0,0.0
楊明綸,方嘉柏,0,7,1,-100.0,0.0,14.3
楊明綸,羅富全,0,7,0,-100.0,0.0,0.0
紀仁安,黎昭昇,0,7,1,-100.0,0.0,14.3
艾道拿,姚本輝,0,7,1,-100.0,0.0,14.3
艾道拿,方嘉柏,0,7,1,-100.0,0.0,14.3
麥文堅,方嘉柏,0,7,2,-100.0,0.0,28.6
麥道朗,黎昭昇,0,7,2,-100.0,0.0,28.6
黃寶妮,葉楚航,0,7,0,-100.0,0.0,0.0
黃智弘,游達榮,0,7,2,-100.0,0.0,28.6
巴度,大衛希斯,0,6,0,-100.0,0.0,0.0
梁家俊,沈集成,0,6,0,-100.0,0.0,0.0
楊明綸,葉楚航,0,6,0,-100.0,0.0,0.0
潘大衛,姚本輝,0,6,0,-100.0,0.0,0.0
班德禮,姚本輝,0,6,2,-100.0,0.0,33.3
田泰安,呂健威,0,6,0,-100.0,0.0,0.0
田泰安,方嘉柏,0,6,1,-100.0,0.0,16.7
田泰安,韋達,0,6,2,-100.0,0.0,33.3
紀仁安,游達榮,0,6,1,-100.0,0.0,16.7
艾道拿,伍鵬志,0,6,0,-100.0,0.0,0.0
艾道拿,徐雨石,0,6,0,-100.0,0.0,0.0
蔡明紹,呂健威,0,6,0,-100.0,0.0,0.0
鍾易禮,桂福特,0,6,0,-100.0,0.0,0.0
霍宏聲,蘇偉賢,0,6,1,-100.0,0.0,16.7
韋紀力,蔡約翰,0,6,2,-100.0,0.0,33.3
麥文堅,巫偉傑,0,6,0,-100.0,0.0,0.0
麥文堅,韋達,0,6,2,-100.0,0.0,33.3
何澤堯,游達榮,0,5,1,-100.0,0.0,20.0
奧爾民,游達榮,0,5,0,-100.0,0.0,0.0
巴度,桂福特,0,5,1,-100.0,0.0,20.0
布文,蘇偉賢,0,5,1,-100.0,0.0,20.0
梁家俊,大衛希斯,0,5,1,-100.0,0.0,20.0
梁家俊,姚本輝,0,5,0,-100.0,0.0,0.0
梁家俊,桂福特,0,5,0,-100.0,0.0,0.0
班德禮,游達榮,0,5,1,-100.0,0.0,20.0
班德禮,蔡約翰,0,5,0,-100.0,0.0,0.0
班德禮,鄭俊偉,0,5,2,-100.0,0.0,40.0
紀仁安,丁冠豪,0,5,2,-100.0,0.0,40.0
紀仁安,告東尼,0,5,0,-100.0,0.0,0.0
紀仁安,巫偉傑,0,5,0,-100.0,0.0,0.0
紀仁安,羅富全,0,5,2,-100.0,0.0,40.0
紀仁安,葉楚航,0,5,0,-100.0,0.0,0.0
紀仁安,鄭俊偉,0,5,2,-100.0,0.0,40.0
艾兆禮,桂福特,0,5,1,-100.0,0.0,20.0
金誠剛,方嘉柏,0,5,0,-100.0,0.0,0.0
金誠剛,蔡約翰,0,5,0,-100.0,0.0,0.0
鍾易禮,呂健威,0,5,1,-100.0,0.0,20.0
霍宏聲,葉楚航,0,5,1,-100.0,0.0,20.0
麥文堅,廖康銘,0,5,0,-100.0,0.0,0.0
麥道朗,廖康銘,0,5,1,-100.0,0.0,20.0
麥道朗,葉楚航,0,5,3,-100.0,0.0,60.0
黃寶妮,鄭俊偉,0,5,1,-100.0,0.0,20.0
黃智弘,伍鵬志,0,5,0,-100.0,0.0,0.0
黃智弘,徐雨石,0,5,1,-100.0,0.0,20.0
黃智弘,羅富全,0,5,0,-100.0,0.0,0.0
何澤堯,廖康銘,0,4,1,-100.0,0.0,25.0
巴度,游達榮,0,4,0,-100.0,0.0,0.0
杜苑欣,丁冠豪,0,4,0,-100.0,0.0,0.0
杜苑欣,蘇偉賢,0,4,2,-100.0,0.0,50.0
梁家俊,蘇偉賢,0,4,0,-100.0,0.0,0.0
潘大衛,廖康銘,0,4,0,-100.0,0.0,0.0
潘大衛,桂福特,0,4,0,-100.0,0.0,0.0
潘明輝,蔡約翰,0,4,0,-100.0,0.0,0.0
紀仁安,韋達,0,4,1,-100.0,0.0,25.0
艾兆禮,巫偉傑,0,4,1,-100.0,0.0,25.0
艾兆禮,沈集成,0,4,0,-100.0,0.0,0.0
艾道拿,呂健威,0,4,1,-100.0,0.0,25.0
董明朗,方嘉柏,0,4,0,-100.0,0.0,0.0
蔡明紹,游達榮,0,4,0,-100.0,0.0,0.0
鍾易禮,廖康銘,0,4,0,-100.0,0.0,0.0
鍾易禮,黎昭昇,0,4,0,-100.0,0.0,0.0
霍宏聲,沈集成,0,4,0,-100.0,0.0,0.0
霍宏聲,鄭俊偉,0,4,0,-100.0,0.0,0.0
霍宏聲,黎昭昇,0,4,0,-100.0,0.0,0.0
麥文堅,羅富全,0,4,2,-100.0,0.0,50.0
麥道朗,告東尼,0,4,1,-100.0,0.0,25.0
黃寶妮,呂健威,0,4,1,-100.0,0.0,25.0
黃智弘,巫偉傑,0,4,1,-100.0,0.0,25.0
何澤堯,鄭俊偉,0,3,0,-100.0,0.0,0.0
奧爾民,葉楚航,0,3,0,-100.0,0.0,0.0
巫顯東,游達榮,0,3,0,-100.0,0.0,0.0
布文,鄭俊偉,0,3,0,-100.0,0.0,0.0
布浩榮,方嘉柏,0,3,1,-100.0,0.0,33.3
布浩榮,沈集成,0,3,1,-100.0,0.0,33.3
布浩榮,游達榮,0,3,0,-100.0,0.0,0.0
布浩榮,韋達,0,3,2,-100.0,0.0,66.7
李寶利,方嘉柏,0,3,0,-100.0,0.0,0.0
李寶利,葉楚航,0,3,0,-100.0,0.0,0.0
杜苑欣,巫偉傑,0,3,0,-100.0,0.0,0.0
杜苑欣,韋達,0,3,0,-100.0,0.0,0.0
梁家俊,告東尼,0,3,1,-100.0,0.0,33.3
潘大衛,葉楚航,0,3,0,-100.0,0.0,0.0
潘大衛,黎昭昇,0,3,0,-100.0,0.0,0.0
田泰安,丁冠豪,0,3,0,-100.0,0.0,0.0
紀仁安,大衛希斯,0,3,1,-100.0,0.0,33.3
董明朗,大衛希斯,0,3,0,-100.0,0.0,0.0
董明朗,黎昭昇,0,3,0,-100.0,0.0,0.0
蔡明紹,韋達,0,3,0,-100.0,0.0,0.0
袁幸堯,羅富全,0,3,2,-100.0,0.0,66.7
金誠剛,賀賢,0,3,0,-100.0,0.0,0.0
鍾易禮,巫偉傑,0,3,0,-100.0,0.0,0.0
鍾易禮,羅富全,0,3,0,-100.0,0.0,0.0
霍宏聲,賀賢,0,3,0,-100.0,0.0,0.0
韋紀力,大衛希斯,0,3,1,-100.0,0.0,33.3
麥文堅,徐雨石,0,3,0,-100.0,0.0,0.0
麥文堅,黎昭昇,0,3,0,-100.0,0.0,0.0
黃寶妮,丁冠豪,0,3,1,-100.0,0.0,33.3
黃智弘,呂健威,0,3,1,-100.0,0.0,33.3
黃智弘,韋達,0,3,0,-100.0,0.0,0.0
黃智弘,黎昭昇,0,3,0,-100.0,0.0,0.0
周俊樂,大衛希斯,0,2,0,-100.0,0.0,0.0
周俊樂,賀賢,0,2,0,-100.0,0.0,0.0
奧爾民,丁冠豪,0,2,0,-100.0,0.0,0.0
奧爾民,告東尼,0,2,0,-100.0,0.0,0.0
奧爾民,桂福特,0,2,0,-100.0,0.0,0.0
巴米高,黎昭昇,0,2,1,-100.0,0.0,50.0
布文,丁冠豪,0,2,0,-100.0,0.0,0.0
希威森,葉楚航,0,2,0,-100.0,0.0,0.0
希威森,賀賢,0,2,0,-100.0,0.0,0.0
杜苑欣,桂福特,0,2,0,-100.0,0.0,0.0
杜苑欣,沈集成,0,2,0,-100.0,0.0,0.0
梁家俊,呂健威,0,2,0,-100.0,0.0,0.0
梁家俊,蔡約翰,0,2,0,-100.0,0.0,0.0
楊明綸,巫偉傑,0,2,0,-100.0,0.0,0.0
潘大衛,伍鵬志,0,2,0,-100.0,0.0,0.0
潘大衛,徐雨石,0,2,0,-100.0,0.0,0.0
潘大衛,沈集成,0,2,0,-100.0,0.0,0.0
潘大衛,蔡約翰,0,2,0,-100.0,0.0,0.0
潘明輝,黎昭昇,0,2,0,-100.0,0.0,0.0
潘頓,徐雨石,0,2,0,-100.0,0.0,0.0
班德禮,廖康銘,0,2,0,-100.0,0.0,0.0
班德禮,徐雨石,0,2,0,-100.0,0.0,0.0
紀仁安,沈集成,0,2,1,-100.0,0.0,50.0
紀仁安,蘇偉賢,0,2,1,-100.0,0.0,50.0
艾道拿,羅富全,0,2,0,-100.0,0.0,0.0
艾道拿,鄭俊偉,0,2,0,-100.0,0.0,0.0
莫雅,岳伯仁,0,2,0,-100.0,0.0,0.0
莫雅,蔡約翰,0,2,0,-100.0,0.0,0.0
蔡明紹,丁冠豪,0,2,0,-100.0,0.0,0.0
蔡明紹,伍鵬志,0,2,1,-100.0,0.0,50.0
蔡明紹,沈集成,0,2,0,-100.0,0.0,0.0
蘇銘倫,葛威法,0,2,2,-100.0,0.0,100.0
袁幸堯,丁冠豪,0,2,0,-100.0,0.0,0.0
袁幸堯,呂健威,0,2,0,-100.0,0.0,0.0
袁幸堯,巫偉傑,0,2,0,-100.0,0.0,0.0
金美琪,大衛希斯,0,2,0,-100.0,0.0,0.0
金誠剛,告東尼,0,2,0,-100.0,0.0,0.0
金誠剛,羅富全,0,2,0,-100.0,0.0,0.0
鍾易禮,大衛希斯,0,2,0,-100.0,0.0,0.0
鍾易禮,鄭俊偉,0,2,0,-100.0,0.0,0.0
霍宏聲,文家良,0,2,0,-100.0,0.0,0.0
韋紀力,呂健威,0,2,1,-100.0,0.0,50.0
