dataset,signal,rows,mean,stdev,minimum,maximum,neutral_60,neutral_60_rate,recent_provenance_rows,recent_missing_neutral,recent_missing_neutral_rate
independent_recent,margin_trend_score,1367,60.099,7.814,48.0,76.0,935,68.4,1367,0,0.0
independent_recent,same_distance_signal_score,1367,61.137,5.807,54.0,72.0,754,55.2,1367,0,0.0
independent_recent,trackwork_trend_score,1367,62.151,7.526,48.24,76.15,712,52.1,1367,0,0.0
independent_recent,race_shape_context_score,1367,62.682,7.202,39.06,82.0,1,0.1,1367,0,0.0
independent_recent,matrix_stability,1367,57.224,10.206,37.32,87.84,0,0.0,1367,0,0.0
independent_recent,matrix_sectional,1367,60.036,7.506,33.62,80.63,43,3.1,1367,0,0.0
independent_recent,matrix_race_shape,1367,62.682,7.202,39.06,82.0,1,0.1,1367,0,0.0
independent_recent,matrix_trainer_signal,1367,70.196,7.665,53.17,89.52,44,3.2,1367,0,0.0
independent_recent,matrix_horse_health,1367,68.868,3.129,55.72,74.88,0,0.0,1367,0,0.0
independent_recent,matrix_form_line,1367,77.281,9.031,60.0,96.0,169,12.4,1367,0,0.0
independent_recent,matrix_class_advantage,1367,66.011,5.337,52.84,76.63,3,0.2,1367,0,0.0
