dataset,split,meeting,date,venue,race_number,actual_top3,winner,stored_top2,current_top2,shadow_top2,stored_hits,current_hits,shadow_hits,stored_winner_top2,current_winner_top1,current_winner_top2,shadow_winner_top1,shadow_winner_top2,top2_changed,entered_top2,exited_top2,hit_delta,winner_delta,zero_to_positive,one_to_two,one_to_zero,two_to_one_or_zero,current_rank3,current_rank3_is_top3,current_rank3_promoted,effective_rank3_rescue,harmful_rank3_promotion,effective_replacement,harmful_replacement,field_size
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,3,4/7/12,7,3/8,3/9,3/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,4,1/5/9,5,10/5,10/9,10/9,1,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,5,5/7/11,7,7/11,7/11,7/11,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,6,1/4/5,1,1/7,7/1,7/1,1,1,1,1,0,1,0,1,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,7,7/10/11,11,7/5,7/3,7/3,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,10,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,8,4/6/11,6,6/2,6/7,6/7,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,11
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,2,1/8/10,10,8/1,8/1,8/1,2,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,3,2/4/8,2,2/4,2/12,2/12,2,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,4,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,4,6/7/14,14,6/7,7/4,7/6,2,1,2,0,0,0,0,0,1,6,4,1,0,0,1,0,0,6,1,1,1,0,1,0,14
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,5,1/3/14,14,5/12,9/2,9/2,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,14,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,6,5/7/10,7,6/9,9/6,9/6,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,7,5/8/10,8,4/10,8/10,8/10,1,2,2,0,1,1,1,1,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,9,2/5/6,5,1/5,1/6,1/6,1,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,10,5/8/9,8,9/6,6/9,6/9,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,3,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-07_ShaTin,2026-06-07,ShaTin,11,5/7/8,7,3/4,3/7,3/7,0,1,1,0,0,1,0,1,0,,,0,0,0,0,0,0,5,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,1,1/2/10,2,7/5,2/1,2/1,0,2,2,0,1,1,1,1,0,,,0,0,0,0,0,0,10,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,2,1/6/7,1,5/11,11/7,11/7,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,3,5/8/11,8,12/9,9/7,9/7,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,12,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,4,3/5/8,3,5/2,3/8,3/8,1,2,2,0,1,1,1,1,0,,,0,0,0,0,0,0,12,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,5,1/3/12,12,5/6,1/5,1/5,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,6,3/4/8,8,2/3,3/2,3/2,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,8,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,7,2/5/11,5,3/11,3/8,3/8,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,8,5/8/12,8,1/10,8/5,8/10,0,2,1,0,1,1,1,1,1,10,5,-1,0,0,0,0,1,10,0,1,0,1,0,1,12
independent_recent,independent_recent,2026-06-10_HappyValley,2026-06-10,HappyValley,9,1/4/11,11,11/6,1/11,1/11,1,2,2,1,0,1,0,1,0,,,0,0,0,0,0,0,6,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,1,1/6/7,6,2/7,6/7,7/1,1,2,2,0,1,1,0,0,1,1,6,0,-1,0,0,0,0,1,1,1,0,0,0,0,7
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,2,4/8/12,8,3/9,3/9,3/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,8,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,3,4/5/12,12,9/11,9/13,9/13,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,11,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,4,2/3/12,3,6/2,6/12,6/12,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,2,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,5,2/3/7,7,2/5,3/5,3/5,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,2,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,6,1/9/11,1,3/11,11/6,11/6,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,7,1/3/6,3,3/1,3/1,3/1,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,8,1/2/7,2,7/3,3/7,3/7,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,5,0,0,0,0,0,0,10
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,9,3/9/10,10,6/1,6/1,6/1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,10,2/8/11,2,8/2,2/8,2/8,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,11,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-13_ShaTin,2026-06-13,ShaTin,11,3/4/12,12,7/14,7/9,7/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,3,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,1,5/7/9,5,2/12,8/2,8/12,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,12,0,1,0,0,0,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,2,2/9/12,2,2/9,2/8,2/8,2,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,9,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-06-21_ShaTin,2026-06-21,ShaTin,3,1/5/8,1,2/1,2/5,2/1,1,1,1,1,0,0,0,1,1,1,5,0,1,0,0,0,0,1,1,1,0,0,0,0,14
