dataset,meeting,race_number,promotion_outcome,rank1_hit,rank2_hit,rank3_hit,rank2_winner,rank3_winner,score_gap_rank2_rank3,signal_deltas,supporting_evidence,rank1,rank2,rank3,actual_top3
archive,2026-05-03_ShaTin,3,有幫助：1→2,True,False,True,False,False,1.1,"{""speed"":0.0,""formline"":0.0,""class_context"":0.0,""distance_context"":12.0,""risk"":1.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）""]",#4 觀萬物,#13 熊噹噹,#3 順善寶,"[""1. #4 觀萬物"",""2. #3 順善寶"",""3. #2 神駒馬靈""]"
archive,2026-05-03_ShaTin,4,有幫助：1→2,True,False,True,False,True,0.47,"{""speed"":0.0,""formline"":3.5,""class_context"":15.12,""distance_context"":16.0,""risk"":0.0,""confidence"":0.0}","[""路程context支持第三選（+16.0）"",""班次context支持第三選（+15.1）""]",#13 同喜,#8 步步合拍,#12 非凡時刻,"[""1. #12 非凡時刻"",""2. #13 同喜"",""3. #14 新力驕""]"
archive,2026-05-03_ShaTin,7,無hit變化：第二及第三選皆中,False,True,True,False,True,0.91,"{""speed"":0.0,""formline"":-7.0,""class_context"":4.0,""distance_context"":4.0,""risk"":0.0,""confidence"":0.0}",[],#4 步風雷,#2 紅衣醒目,#8 風火恆雲,"[""1. #8 風火恆雲"",""2. #5 赤風驪"",""3. #2 紅衣醒目""]"
archive,2026-05-03_ShaTin,8,無hit變化：第二及第三選皆失,True,False,False,False,False,0.38,"{""speed"":0.0,""formline"":0.0,""class_context"":-4.0,""distance_context"":-10.0,""risk"":-2.0,""confidence"":0.0}","[""第二／第三選分差極近（0.38）""]",#8 首飾天空,#9 勁沙塵,#3 喜蓮勇感,"[""1. #8 首飾天空"",""2. #6 永遠美麗"",""3. #10 包裝福星""]"
archive,2026-05-03_ShaTin,10,無hit變化：第二及第三選皆失,True,False,False,False,False,0.59,"{""speed"":0.0,""formline"":-12.6,""class_context"":-15.12,""distance_context"":0.0,""risk"":-2.0,""confidence"":0.0}",[],#14 櫻花酒杯,#13 佛亮老撾,#8 量子力奇,"[""1. #14 櫻花酒杯"",""2. #9 紅運光輝"",""3. #5 納百川""]"
archive,2026-05-03_ShaTin,11,有幫助：1→2,True,False,True,False,True,0.96,"{""speed"":0.0,""formline"":0.0,""class_context"":10.39,""distance_context"":4.0,""risk"":0.0,""confidence"":0.0}","[""班次context支持第三選（+10.4）""]",#6 煌上,#14 閃電小子,#4 興馳千里,"[""1. #4 興馳千里"",""2. #6 煌上"",""3. #1 跨境寶馬""]"
archive,2026-05-06_ShaTin,1,無hit變化：第二及第三選皆失,True,False,False,False,False,0.08,"{""speed"":-5.79,""formline"":4.1,""class_context"":4.0,""distance_context"":16.0,""risk"":-1.0,""confidence"":0.0}","[""路程context支持第三選（+16.0）""]",#9 大利好運,#6 幸運傳承,#1 光輝歲月,"[""1. #9 大利好運"",""2. #13 東方魅影"",""3. #11 上市魅力""]"
archive,2026-05-06_ShaTin,2,無hit變化：第二及第三選皆失,True,False,False,False,False,1.07,"{""speed"":-4.7,""formline"":-6.2,""class_context"":9.94,""distance_context"":0.0,""risk"":2.0,""confidence"":0.0}","[""班次context支持第三選（+9.9）""]",#10 爆熱,#6 辣得金,#8 銀亮濠俠,"[""1. #9 機械騎士"",""2. #10 爆熱"",""3. #2 喜行""]"
archive,2026-05-06_ShaTin,5,無hit變化：第二及第三選皆失,True,False,False,False,False,2.74,"{""speed"":3.18,""formline"":0.0,""class_context"":-9.51,""distance_context"":0.0,""risk"":3.5,""confidence"":0.0}",[],#2 光年程祥,#1 飛輪霸,#7 杭至尊,"[""1. #10 加州勇勝"",""2. #3 顯勝高昇"",""3. #2 光年程祥""]"
archive,2026-05-06_ShaTin,9,無hit變化：第二及第三選皆失,True,False,False,False,False,0.45,"{""speed"":-5.65,""formline"":9.8,""class_context"":5.12,""distance_context"":0.0,""risk"":-1.0,""confidence"":0.0}","[""form line支持第三選（+9.8）"",""班次context支持第三選（+5.1）""]",#7 熾烈神駒,#3 閃耀天河,#1 友愛心得,"[""1. #7 熾烈神駒"",""2. #2 樂勝天下"",""3. #4 錶之極光""]"
archive,2026-05-09_ShaTin,2,有傷害：1→0,False,True,False,False,False,0.18,"{""speed"":-24.13,""formline"":-1.4,""class_context"":5.12,""distance_context"":0.0,""risk"":-1.0,""confidence"":0.0}","[""班次context支持第三選（+5.1）""]",#8 烈進駒,#2 馬馳登,#7 川河石駒,"[""1. #1 北地烈馬"",""2. #2 馬馳登"",""3. #5 奇異歡星""]"
archive,2026-05-09_ShaTin,3,有幫助：1→2,True,False,True,False,False,0.2,"{""speed"":-5.53,""formline"":-4.2,""class_context"":4.0,""distance_context"":-6.0,""risk"":-5.0,""confidence"":0.0}","[""第二／第三選分差極近（0.20）""]",#13 添喜運,#7 雪茄福星,#8 巴閉佬,"[""1. #12 肥仔精神"",""2. #8 巴閉佬"",""3. #13 添喜運""]"
archive,2026-05-09_ShaTin,6,無hit變化：第二及第三選皆失,True,False,False,False,False,0.39,"{""speed"":-5.24,""formline"":4.1,""class_context"":19.06,""distance_context"":6.0,""risk"":-4.0,""confidence"":0.0}","[""班次context支持第三選（+19.1）"",""路程context支持第三選（+6.0）""]",#6 龍傲綾羅,#9 開心旺財,#13 全神貫注,"[""1. #6 龍傲綾羅"",""2. #7 文明福星"",""3. #3 將傲""]"
archive,2026-05-09_ShaTin,8,有傷害：1→0,False,True,False,False,False,0.02,"{""speed"":-0.06,""formline"":15.3,""class_context"":5.12,""distance_context"":12.0,""risk"":1.0,""confidence"":0.0}","[""form line支持第三選（+15.3）"",""路程context支持第三選（+12.0）""]",#10 辣得準,#3 手機錶勁,#4 超寫意,"[""1. #7 㩒住贏"",""2. #11 富國兄弟"",""3. #3 手機錶勁""]"
archive,2026-05-13_HappyValley,1,無hit變化：第二及第三選皆失,True,False,False,False,False,1.39,"{""speed"":4.91,""formline"":4.8,""class_context"":0.0,""distance_context"":0.0,""risk"":4.5,""confidence"":0.0}",[],#1 焦點,#11 龍又生,#10 風雲,"[""1. #1 焦點"",""2. #3 駟跑得"",""3. #12 華美之威""]"
archive,2026-05-13_HappyValley,6,無hit變化：第二及第三選皆失,True,False,False,False,False,1.0,"{""speed"":1.25,""formline"":0.0,""class_context"":-5.12,""distance_context"":12.0,""risk"":-12.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）""]",#6 先到先得,#1 香港神駒,#12 爆竹,"[""1. #7 追風"",""2. #6 先到先得"",""3. #10 時間寶""]"
archive,2026-05-13_HappyValley,8,無hit變化：第二及第三選皆中,False,True,True,False,True,1.0,"{""speed"":-7.44,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":-6.5,""confidence"":0.0}",[],#10 棒棒糖,#2 志滿同行,#11 馬達,"[""1. #11 馬達"",""2. #1 小霸王"",""3. #2 志滿同行""]"
archive,2026-05-13_HappyValley,9,有傷害：1→0,False,True,False,False,False,0.19,"{""speed"":18.3,""formline"":3.6,""class_context"":0.0,""distance_context"":12.0,""risk"":2.0,""confidence"":0.0}","[""段速支持第三選（+18.3）"",""路程context支持第三選（+12.0）""]",#1 勁速威龍,#4 太陽勇士,#8 銀亮奔騰,"[""1. #9 包裝福星"",""2. #4 太陽勇士"",""3. #10 一起美麗""]"
archive,2026-05-17_ShaTin,2,有幫助：1→2,True,False,True,False,False,0.25,"{""speed"":-6.62,""formline"":-6.9,""class_context"":-4.39,""distance_context"":0.0,""risk"":3.0,""confidence"":0.0}","[""第二／第三選分差極近（0.25）""]",#4 鄉村威龍,#1 日出東方,#10 致力之城,"[""1. #14 拉合爾"",""2. #10 致力之城"",""3. #4 鄉村威龍""]"
