dataset,split,meeting,race_number,horse_number,horse_name,is_debut,score_pure_scaffold,score_surgical_speed_shape_neutral,score_surgical_plus_trainer,score_surgical_plus_trainer_stability,rank_pure_scaffold,rank_surgical_speed_shape_neutral,rank_surgical_plus_trainer,rank_surgical_plus_trainer_stability
archive,archive_development,2026-04-15_HappyValley,6,3,勇霸龍,0,62.7068,64.125,60.0859,60.0859,9,2,7,7
archive,archive_development,2026-04-15_HappyValley,6,5,金發盛世,0,64.2951,60.4551,61.4919,61.4919,5,10,2,2
archive,archive_development,2026-04-15_HappyValley,6,6,龍威心得,0,61.1346,61.9871,60.674,60.674,10,8,5,5
archive,archive_development,2026-04-15_HappyValley,6,7,方圓星,0,64.9435,63.1336,59.8874,59.8874,4,6,10,10
archive,archive_development,2026-04-15_HappyValley,6,8,川河石駒,0,69.5272,65.8638,61.087,61.087,1,1,3,3
archive,archive_development,2026-04-15_HappyValley,6,9,快樂神駒,0,62.9892,61.8628,61.0353,61.0353,7,9,4,4
archive,archive_development,2026-04-15_HappyValley,6,10,歷勝,0,62.8478,62.2743,59.9018,59.9018,8,7,9,9
archive,archive_development,2026-04-15_HappyValley,6,11,賢者威楓,0,63.5231,63.989,62.8468,62.8468,6,3,1,1
archive,archive_development,2026-04-15_HappyValley,6,12,飛越晨曦,0,65.9523,63.4486,60.0776,60.0776,2,4,8,8
archive,archive_development,2026-04-15_HappyValley,7,1,當家精彩,0,63.9556,63.3821,60.1554,60.1554,7,5,10,10
archive,archive_development,2026-04-15_HappyValley,7,2,縱橫天下,0,58.9375,60.3557,61.2182,61.2182,12,12,2,2
archive,archive_development,2026-04-15_HappyValley,7,3,八仟好運,0,67.8845,64.2212,60.7739,60.7739,3,4,6,6
archive,archive_development,2026-04-15_HappyValley,7,4,團結戰靈,0,65.7196,62.7321,60.2453,60.2453,4,6,9,9
archive,archive_development,2026-04-15_HappyValley,7,5,彩虹七色,0,69.9689,66.1289,63.4261,63.4261,1,1,1,1
archive,archive_development,2026-04-15_HappyValley,7,6,星運少爵,0,68.2627,65.759,60.9821,60.9821,2,2,3,3
archive,archive_development,2026-04-15_HappyValley,7,7,決一劍,0,63.1759,61.366,60.7846,60.7846,8,9,5,5
archive,archive_development,2026-04-15_HappyValley,7,8,巴閉哥,0,64.2692,61.9575,59.9629,59.9629,5,8,12,12
archive,archive_development,2026-04-15_HappyValley,7,9,潮流勇駒,0,63.9679,64.4338,60.3946,60.3946,6,3,8,8
archive,archive_development,2026-04-15_HappyValley,7,10,快又醒,0,61.5812,60.4548,60.086,60.086,10,11,11,11
archive,archive_development,2026-04-15_HappyValley,7,11,環球英雄,0,61.3909,62.2434,60.9303,60.9303,11,7,4,4
archive,archive_development,2026-04-15_HappyValley,7,12,加州得力,0,62.6062,60.9192,60.5495,60.5495,9,10,7,7
archive,archive_development,2026-04-15_HappyValley,8,1,銀進,0,64.0487,65.3978,61.1079,61.1079,7,1,4,4
archive,archive_development,2026-04-15_HappyValley,8,2,瑪瑙,0,64.5205,63.3711,60.5955,60.5955,6,4,7,7
archive,archive_development,2026-04-15_HappyValley,8,3,膨才,0,59.4006,59.9305,59.8634,59.8634,11,11,10,10
archive,archive_development,2026-04-15_HappyValley,8,4,同心同樂,0,64.8269,63.5699,61.8546,61.8546,4,3,2,2
archive,archive_development,2026-04-15_HappyValley,8,5,好實力,0,63.1498,62.4432,60.7582,60.7582,9,6,6,6
archive,archive_development,2026-04-15_HappyValley,8,6,我做到,0,64.6608,61.8934,59.6772,59.6772,5,8,11,11
archive,archive_development,2026-04-15_HappyValley,8,7,電訊巴打,0,63.6338,61.7496,60.1496,60.1496,8,9,9,9
archive,archive_development,2026-04-15_HappyValley,8,8,穿甲金鷹,0,66.9586,63.6024,61.1853,61.1853,1,2,3,3
archive,archive_development,2026-04-15_HappyValley,8,9,浪漫鬥士,0,65.6434,61.9928,60.502,60.502,3,7,8,8
archive,archive_development,2026-04-15_HappyValley,8,10,佳登,0,62.3514,60.6516,61.0092,61.0092,10,10,5,5
archive,archive_development,2026-04-15_HappyValley,8,11,榮利雙收,0,66.5203,62.6803,61.8551,61.8551,2,5,1,1
archive,archive_development,2026-04-15_HappyValley,9,1,乘數表,0,64.1538,62.3438,59.7155,59.7155,7,7,11,11
archive,archive_development,2026-04-15_HappyValley,9,2,幸運星球,0,65.8029,62.1395,59.107,59.107,3,8,12,12
archive,archive_development,2026-04-15_HappyValley,9,3,川河動駒,0,64.4326,63.8592,61.0707,61.0707,5,5,6,6
archive,archive_development,2026-04-15_HappyValley,9,4,福星小子,0,64.0445,64.8969,61.4497,61.4497,8,3,3,3
archive,archive_development,2026-04-15_HappyValley,9,5,天外迎天,0,65.5073,65.9732,63.5141,63.5141,4,2,1,1
archive,archive_development,2026-04-15_HappyValley,9,6,關鍵所在,0,66.2523,62.4123,60.407,60.407,2,6,8,8
archive,archive_development,2026-04-15_HappyValley,9,7,嘉應勇將,0,64.3934,61.4059,59.7627,59.7627,6,9,10,10
archive,archive_development,2026-04-15_HappyValley,9,8,勇進駒,0,62.197,61.0706,61.3681,61.3681,12,10,4,4
