meeting,race_number,baseline_hits,pair_type,boundary_label,rank2_number,rank2_name,rank2_is_top3,rank3_number,rank3_name,rank3_is_top3,distance_num,race_class_num,gap_official_pure_total,gap_official_sectional,weighted_gap_official_sectional,gap_official_trainer_signal,weighted_gap_official_trainer_signal,gap_official_stability,weighted_gap_official_stability,gap_official_race_shape,weighted_gap_official_race_shape,gap_official_class_advantage,weighted_gap_official_class_advantage,gap_official_horse_health,weighted_gap_official_horse_health,gap_official_form_line,weighted_gap_official_form_line,gap_rebuilt_speed_engine,reliability_rank2_speed_engine,reliability_rank3_speed_engine,gap_rebuilt_stability,reliability_rank2_stability,reliability_rank3_stability,gap_rebuilt_distance_context,reliability_rank2_distance_context,reliability_rank3_distance_context,gap_rebuilt_class_weight,reliability_rank2_class_weight,reliability_rank3_class_weight,gap_rebuilt_trainer_signal,reliability_rank2_trainer_signal,reliability_rank3_trainer_signal,gap_rebuilt_readiness_risk,reliability_rank2_readiness_risk,reliability_rank3_readiness_risk,gap_rebuilt_form_line,reliability_rank2_form_line,reliability_rank3_form_line
2026-04-19_ShaTin,2,2,rank2_protect,rank2_better,9,爆熱,1,1,飛雲,0,1200,4,-1.0381,0.0,0.0,14.575,3.2196,-10.8163,-0.994,-10.6,-2.7136,-2.5,-0.3337,-2.95,-0.1115,-1.4,-0.1049,-2.1098,0.65,0.65,2.2727,1.0,1.0,4.0,0.2,0.2,5.5682,0.875,0.875,2.6687,0.6109,0.3984,0.5,0.5,0.5,-1.5,0.5,0.25
2026-04-19_ShaTin,3,0,both_missed,neutral,9,步步合拍,0,11,飛來霸,0,1000,4,-0.9617,0.0,0.0,-16.595,-3.6658,16.2857,1.4967,0.0,0.0,7.1625,0.9562,1.1,0.0416,2.8,0.2097,3.27,0.65,0.65,5.9624,0.25,1.0,-2.0,0.0,0.2,-2.3558,0.875,0.875,-7.437,0.6725,0.4893,1.0,0.5,0.5,4.8,0.0,0.4
2026-04-19_ShaTin,4,0,rank3_rescue,rank3_better,13,文武全能,0,4,共創歡欣,1,1400,4,0.2239,0.0,0.0,4.21,0.93,-23.8041,-2.1876,10.0,2.56,-8.6625,-1.1564,-2.1,-0.0794,2.1,0.1573,-3.8233,0.65,0.65,-8.5353,1.0,1.0,0.0,0.0,0.0,5.5529,0.875,0.875,7.3335,0.811,0.7454,0.0,0.5,0.5,2.2,0.4,0.5
2026-04-19_ShaTin,5,2,rank2_protect,rank2_better,3,睿智多寶,1,7,鴻圖大展,0,1600,4,-0.5059,0.0,0.0,10.595,2.3404,-19.7708,-1.8169,0.0,0.0,-7.1625,-0.9562,-0.55,-0.0208,-0.7,-0.0524,-2.8786,0.65,0.65,-9.8654,1.0,0.5,0.0,0.2,0.0,-3.0288,0.875,0.875,4.355,0.6091,0.6623,-0.5,0.5,0.5,-3.6667,0.6667,0.5
2026-04-19_ShaTin,6,1,rank2_protect,rank2_better,8,盛勢威楓,1,3,精彩動力,0,1650,4,0.4564,0.0,0.0,24.75,5.4673,-45.0306,-4.1383,1.89,0.4838,-9.955,-1.329,-3.5,-0.1323,1.4,0.1049,5.3108,0.65,0.65,-15.6154,1.0,1.0,0.0,0.0,0.0,3.0288,0.875,0.875,4.3945,0.3103,0.2593,0.0,0.5,0.5,3.0857,0.4,0.5714
2026-04-19_ShaTin,7,2,both_placed,neutral,5,觀眾之力,1,8,光年程祥,1,1200,4,-0.9293,0.0,0.0,-4.575,-1.0106,6.1633,0.5664,-5.28,-1.3517,5.5,0.7343,3.5,0.1323,0.0,0.0,-0.7091,0.65,0.65,1.7273,1.0,1.0,0.0,0.0,0.0,-3.3807,0.875,0.875,-1.9346,0.3984,0.5903,0.0,0.5,0.5,-1.65,0.7,0.625
2026-04-19_ShaTin,9,2,rank2_protect,rank2_better,3,大眾福星,1,4,友瑩亮,0,1400,4,-2.221,0.0,0.0,1.42,0.3137,15.6809,1.4411,-15.94,-4.0806,0.0,0.0,0.0,0.0,1.4,0.1049,5.0253,0.65,0.65,1.0455,1.0,1.0,3.3333,0.0,0.3333,-0.7955,0.875,0.875,10.5966,0.4329,0.8117,0.0,0.5,0.5,2.1333,0.4,0.6667
2026-04-19_ShaTin,10,2,rank2_protect,rank2_better,7,千杯不醉,1,10,官金騏,0,1200,3,0.7987,0.0,0.0,5.675,1.2536,12.1449,1.1161,-7.72,-1.9763,1.5,0.2003,2.65,0.1002,1.4,0.1049,3.0219,0.65,0.65,6.1909,1.0,1.0,0.0,0.2,0.0,-3.1818,0.875,0.875,1.6303,0.8103,0.6962,0.5,0.5,0.5,1.7143,0.4,0.5714
2026-04-19_ShaTin,11,1,both_missed,neutral,4,錶之宇宙,0,3,天將龍駒,0,1800,4,-1.3656,0.0,0.0,-4.75,-1.0493,15.8483,1.4565,-6.39,-1.6358,-0.87,-0.1161,-0.55,-0.0208,0.0,0.0,1.6666,0.65,0.65,5.3846,1.0,1.0,0.0,0.0,0.0,1.0096,0.875,0.875,-2.4032,0.3965,0.3475,-0.5,0.5,0.5,0.4286,0.5714,0.5
2026-04-22_HappyValley,1,2,rank2_protect,rank2_better,8,添喜運,1,3,歷險大將,0,1200,4,-0.82,0.0,0.0,-7.825,-1.7285,2.9122,0.2676,1.89,0.4838,4.1625,0.5557,0.55,0.0208,-5.6,-0.4194,-2.7968,0.65,0.65,3.8182,1.0,1.0,0.0,0.0,0.2,3.4091,1.0,1.0,-9.4936,0.5837,0.7436,0.5,0.5,0.5,1.7143,0.5714,0.0
