split,primitive,rows,present,availability_rate
external_2026_07_15,prior_combo_place_rate,107,99,92.5
external_2026_07_15,prior_jockey_cd_starts,107,95,88.8
external_2026_07_15,prior_jockey_cd_win_rate,107,95,88.8
external_2026_07_15,prior_jockey_cd_place_rate,107,95,88.8
external_2026_07_15,prior_trainer_cd_starts,107,104,97.2
external_2026_07_15,prior_trainer_cd_win_rate,107,104,97.2
external_2026_07_15,prior_trainer_cd_place_rate,107,104,97.2
external_2026_07_15,prior_class_distance_starts,107,0,0.0
external_2026_07_15,prior_class_distance_win_rate,107,0,0.0
external_2026_07_15,prior_class_distance_place_rate,107,0,0.0
external_2026_07_15,prior_weight_class_starts,107,33,30.8
external_2026_07_15,prior_weight_class_win_rate,107,33,30.8
external_2026_07_15,prior_weight_class_place_rate,107,33,30.8
external_2026_07_15,prior_rest_bucket_starts,107,107,100.0
external_2026_07_15,prior_rest_bucket_win_rate,107,107,100.0
external_2026_07_15,prior_rest_bucket_place_rate,107,107,100.0
independent_recent,weight_carried,1367,1367,100.0
independent_recent,days_since_last,1367,1367,100.0
independent_recent,starts,1367,1367,100.0
independent_recent,wins,1367,1367,100.0
independent_recent,hk_starts,1367,1367,100.0
independent_recent,card_rating,1367,1350,98.8
independent_recent,last6_runs,1367,1367,100.0
independent_recent,last6_mean_finish,1367,1310,95.8
independent_recent,last6_best_finish,1367,1310,95.8
independent_recent,last6_worst_finish,1367,1310,95.8
independent_recent,last6_top3_count,1367,1367,100.0
independent_recent,last6_top5_count,1367,1367,100.0
independent_recent,season_starts,1367,1313,96.0
independent_recent,season_wins,1367,1313,96.0
independent_recent,season_seconds,1367,1313,96.0
independent_recent,season_thirds,1367,1313,96.0
independent_recent,same_distance_starts,1367,1313,96.0
independent_recent,same_distance_wins,1367,1313,96.0
independent_recent,same_distance_seconds,1367,1313,96.0
independent_recent,same_distance_thirds,1367,1313,96.0
independent_recent,same_venue_distance_starts,1367,1313,96.0
independent_recent,same_venue_distance_wins,1367,1313,96.0
independent_recent,same_venue_distance_seconds,1367,1313,96.0
independent_recent,same_venue_distance_thirds,1367,1313,96.0
independent_recent,tw_entries_count,1367,1367,100.0
independent_recent,tw_gallop_count,1367,1367,100.0
independent_recent,tw_flags_count,1367,1367,100.0
independent_recent,tw_confidence_high,1367,1367,100.0
independent_recent,tw_confidence_low,1367,1367,100.0
independent_recent,tw_jockey_present,1367,1367,100.0
independent_recent,raw_formline_higher_win_count,1367,1101,80.5
independent_recent,raw_formline_same_win_count,1367,1101,80.5
independent_recent,raw_formline_lower_win_count,1367,1101,80.5
independent_recent,raw_l400,1367,1309,95.8
independent_recent,raw_finish_time_adj,1367,1134,83.0
independent_recent,raw_total_starts,1367,1367,100.0
independent_recent,raw_total_wins,1367,1367,100.0
independent_recent,raw_last_margin,1367,1113,81.4
independent_recent,raw_last_finish,1367,1310,95.8
independent_recent,raw_weight_trend_span,1367,820,60.0
independent_recent,prior_combo_starts,1367,1161,84.9
independent_recent,prior_combo_win_rate,1367,1161,84.9
independent_recent,prior_combo_place_rate,1367,1161,84.9
independent_recent,prior_jockey_cd_starts,1367,1146,83.8
independent_recent,prior_jockey_cd_win_rate,1367,1146,83.8
independent_recent,prior_jockey_cd_place_rate,1367,1146,83.8
independent_recent,prior_trainer_cd_starts,1367,1222,89.4
independent_recent,prior_trainer_cd_win_rate,1367,1222,89.4
independent_recent,prior_trainer_cd_place_rate,1367,1222,89.4
independent_recent,prior_class_distance_starts,1367,659,48.2
independent_recent,prior_class_distance_win_rate,1367,659,48.2
independent_recent,prior_class_distance_place_rate,1367,659,48.2
independent_recent,prior_weight_class_starts,1367,791,57.9
independent_recent,prior_weight_class_win_rate,1367,791,57.9
independent_recent,prior_weight_class_place_rate,1367,791,57.9
independent_recent,prior_rest_bucket_starts,1367,1367,100.0
independent_recent,prior_rest_bucket_win_rate,1367,1367,100.0
independent_recent,prior_rest_bucket_place_rate,1367,1367,100.0
