Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
田泰安,巫偉傑,0,4,3,12.72,0.0,75.0,8.45,21.13,6.38,23.4,-7.41,52.74
潘明輝,游達榮,0,4,0,46.75,0.0,0.0,6.0,16.0,9.86,25.35,-7.93,-20.68
何澤堯,游達榮,0,4,2,39.5,0.0,50.0,6.0,16.0,10.0,26.67,-8.0,28.66
梁家俊,丁冠豪,0,4,1,42.38,0.0,25.0,10.26,23.08,6.25,25.0,-8.25,0.96
艾兆禮,蘇偉賢,0,4,0,36.33,0.0,0.0,13.64,22.73,4.0,24.0,-8.82,-23.36
布文,游達榮,0,4,0,35.75,0.0,0.0,6.0,16.0,12.0,36.0,-9.0,-26.0
潘明輝,巫偉傑,0,4,1,30.5,0.0,25.0,8.45,21.13,9.86,25.35,-9.15,1.76
黃智弘,徐雨石,1,3,1,46.47,33.33,33.33,10.34,17.24,6.9,13.79,24.71,17.81
潘明輝,沈集成,1,3,2,44.67,33.33,66.67,7.69,16.67,9.86,25.35,24.56,45.66
班德禮,蘇偉賢,1,3,1,45.33,33.33,33.33,13.64,22.73,5.08,16.95,23.97,13.49
潘明輝,廖康銘,1,3,1,18.33,33.33,33.33,11.11,25.0,9.86,25.35,22.84,8.15
賀銘年,容天鵬,0,3,0,66.33,0.0,0.0,2.13,6.38,0.0,5.88,-1.06,-6.13
楊明綸,韋達,0,3,0,80.33,0.0,0.0,1.45,15.94,3.64,16.36,-2.54,-16.15
艾道拿,韋達,0,3,1,40.63,0.0,33.33,1.45,15.94,5.19,23.38,-3.32,13.67
巴度,韋達,0,3,0,9.17,0.0,0.0,1.45,15.94,5.26,19.3,-3.36,-17.62
賀銘年,姚本輝,0,3,1,33.33,0.0,33.33,8.0,34.67,0.0,5.88,-4.0,13.05
梁家俊,容天鵬,0,3,0,63.33,0.0,0.0,2.13,6.38,6.25,25.0,-4.19,-15.69
班德禮,告東尼,0,3,1,20.67,0.0,33.33,4.17,13.89,5.08,16.95,-4.62,17.91
鍾易禮,沈集成,0,3,0,56.67,0.0,0.0,7.69,16.67,1.56,7.81,-4.62,-12.24
黃寶妮,伍鵬志,0,3,0,30.33,0.0,0.0,9.33,22.67,0.0,4.35,-4.66,-13.51
班德禮,羅富全,0,3,0,36.6,0.0,0.0,6.76,22.97,5.08,16.95,-5.92,-19.96
巴度,羅富全,0,3,0,25.47,0.0,0.0,6.76,22.97,5.26,19.3,-6.01,-21.14
楊明綸,巫偉傑,0,3,0,21.33,0.0,0.0,8.45,21.13,3.64,16.36,-6.04,-18.74
董明朗,賀賢,0,3,0,90.67,0.0,0.0,6.85,21.92,5.71,5.71,-6.28,-13.82
巴度,姚本輝,0,3,1,18.5,0.0,33.33,8.0,34.67,5.26,19.3,-6.63,6.34
