Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
廖康銘,Class 3,沙田,Turf,1600,1,3,1,10.0,22.67,33.33,33.33,333.33
文家良,Class 4,跑馬地,Turf,1200,1,3,1,-0.20000000000000018,54.93,33.33,33.33,-6.67
文家良,Class 4,跑馬地,Turf,1650,1,3,1,2.4000000000000004,9.4,33.33,33.33,80.0
沈集成,Class 3,沙田,Turf,1200,1,3,1,2.5,11.5,33.33,33.33,83.33
游達榮,Class 4,跑馬地,Turf,1200,1,3,1,0.10000000000000009,49.23,33.33,33.33,3.33
羅富全,Class 3,跑馬地,Turf,1000,1,3,1,2.0999999999999996,6.13,33.33,33.33,70.0
蔡約翰,Class 3,沙田,Turf,1200,1,3,1,-1.5,31.17,33.33,33.33,-50.0
伍鵬志,Class 4,跑馬地,Turf,1200,0,3,1,-3.0,11.63,0.0,33.33,-100.0
伍鵬志,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,52.03,0.0,0.0,-100.0
呂健威,Class 3,沙田,AWT,1200,0,3,0,-3.0,58.33,0.0,0.0,-100.0
告東尼,Class 3,跑馬地,Turf,1650,0,3,0,-3.0,17.9,0.0,0.0,-100.0
告東尼,Class 4,沙田,Turf,1000,0,3,0,-3.0,53.33,0.0,0.0,-100.0
大衛希斯,Class 3,沙田,Turf,1000,0,3,1,-3.0,66.33,0.0,33.33,-100.0
大衛希斯,Class 3,跑馬地,Turf,1200,0,3,1,-3.0,40.5,0.0,33.33,-100.0
姚本輝,Class 3,沙田,Turf,1600,0,3,1,-3.0,46.8,0.0,33.33,-100.0
姚本輝,Class 3,跑馬地,Turf,1200,0,3,1,-3.0,30.17,0.0,33.33,-100.0
姚本輝,Class 4,沙田,Turf,1000,0,3,0,-3.0,6.47,0.0,0.0,-100.0
姚本輝,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,12.37,0.0,0.0,-100.0
姚本輝,Class 5,跑馬地,Turf,1200,0,3,1,-3.0,8.9,0.0,33.33,-100.0
容天鵬,Class 3,沙田,Turf,1200,0,3,0,-3.0,96.67,0.0,0.0,-100.0
容天鵬,Class 4,沙田,Turf,1000,0,3,0,-3.0,20.93,0.0,0.0,-100.0
容天鵬,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,57.67,0.0,0.0,-100.0
巫偉傑,Class 4,跑馬地,Turf,1000,0,3,0,-3.0,58.0,0.0,0.0,-100.0
巫偉傑,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,61.67,0.0,0.0,-100.0
廖康銘,Class 3,沙田,Turf,1000,0,3,1,-3.0,13.97,0.0,33.33,-100.0
廖康銘,Class 3,跑馬地,Turf,1200,0,3,0,-3.0,45.67,0.0,0.0,-100.0
徐雨石,Class 5,沙田,Turf,1400,0,3,0,-3.0,30.93,0.0,0.0,-100.0
