Jockey,Venue,Track,Wins,Starts,Places,Profit,WinRate,ROI
貝知仁,沙田,Turf,0,1,0,-1.0,0.0,-100.0
金美琪,跑馬地,Turf,0,4,1,-4.0,0.0,-100.0
金誠剛,HappyValley,Unknown,0,3,0,-3.0,0.0,-100.0
金誠剛,ShaTin,Unknown,0,19,3,-19.0,0.0,-100.0
金誠剛,沙田,AWT,2,47,10,-24.0,4.3,-51.1
金誠剛,沙田,Turf,4,207,35,-191.4,1.9,-92.5
金誠剛,沙田,Unknown,0,7,2,-7.0,0.0,-100.0
金誠剛,跑馬地,Turf,6,111,19,108.4,5.4,97.7
金誠剛,跑馬地,Unknown,0,5,1,-5.0,0.0,-100.0
鍾易禮,HappyValley,Unknown,2,15,6,-1.1,13.3,-7.3
鍾易禮,ShaTin,Unknown,0,30,4,-30.0,0.0,-100.0
鍾易禮,沙田,AWT,1,38,7,-26.0,2.6,-68.4
鍾易禮,沙田,Turf,8,165,16,-117.3,4.8,-71.1
鍾易禮,沙田,Unknown,0,10,1,-10.0,0.0,-100.0
鍾易禮,跑馬地,Turf,10,122,22,-17.0,8.2,-13.9
鍾易禮,跑馬地,Unknown,1,2,1,17.0,50.0,850.0
霍宏聲,HappyValley,Unknown,0,11,4,-11.0,0.0,-100.0
霍宏聲,ShaTin,Unknown,0,11,0,-11.0,0.0,-100.0
霍宏聲,沙田,AWT,7,41,12,14.3,17.1,34.9
霍宏聲,沙田,Turf,9,192,36,-39.6,4.7,-20.6
霍宏聲,沙田,Unknown,1,14,3,2.0,7.1,14.3
霍宏聲,跑馬地,Turf,15,124,32,139.0,12.1,112.1
霍宏聲,跑馬地,Unknown,0,4,2,-4.0,0.0,-100.0
韋紀力,沙田,Turf,0,11,4,-11.0,0.0,-100.0
韋紀力,沙田,Unknown,1,5,2,5.0,20.0,100.0
馬昆,沙田,Turf,0,2,0,-2.0,0.0,-100.0
高力德,沙田,Turf,0,1,0,-1.0,0.0,-100.0
麥文堅,沙田,AWT,2,15,4,-1.2,13.3,-8.0
麥文堅,沙田,Turf,5,85,19,3.4,5.9,4.0
麥文堅,跑馬地,Turf,3,42,8,-21.1,7.1,-50.2
麥道朗,沙田,AWT,0,6,2,-6.0,0.0,-100.0
麥道朗,沙田,Turf,13,65,30,-24.6,20.0,-37.8
麥道朗,沙田,Unknown,1,7,2,-5.9,14.3,-84.3
麥道朗,跑馬地,Turf,4,36,11,13.0,11.1,36.1
黃寶妮,HappyValley,Unknown,1,10,3,-0.2,10.0,-2.0
黃寶妮,ShaTin,Unknown,1,22,2,-7.0,4.5,-31.8
黃寶妮,沙田,AWT,4,28,8,-2.4,14.3,-8.6
黃寶妮,沙田,Turf,6,64,14,70.9,9.4,110.8
黃寶妮,沙田,Unknown,0,10,0,-10.0,0.0,-100.0
黃寶妮,跑馬地,Turf,0,40,7,-40.0,0.0,-100.0
黃寶妮,跑馬地,Unknown,0,4,1,-4.0,0.0,-100.0
黃智弘,HappyValley,Unknown,0,8,2,-8.0,0.0,-100.0
黃智弘,ShaTin,Unknown,0,7,0,-7.0,0.0,-100.0
黃智弘,沙田,AWT,2,32,6,-18.4,6.2,-57.5
黃智弘,沙田,Turf,7,121,22,16.5,5.8,13.6
黃智弘,跑馬地,Turf,11,100,27,16.6,11.0,16.6
黃智弘,跑馬地,Unknown,0,3,0,-3.0,0.0,-100.0
