Jockey,Distance,Wins,Starts,Places,WinRate
麥文堅,1600,2,14,2,14.3
麥文堅,1650,2,19,5,10.5
麥文堅,1800,0,12,2,0.0
麥文堅,2000,0,7,2,0.0
麥文堅,2200,0,2,1,0.0
麥文堅,2400,0,1,0,0.0
麥道朗,1000,1,9,3,11.1
麥道朗,1200,3,38,15,7.9
麥道朗,1400,2,15,8,13.3
麥道朗,1600,4,13,6,30.8
麥道朗,1650,1,14,2,7.1
麥道朗,1800,2,9,3,22.2
麥道朗,2000,4,6,5,66.7
麥道朗,2200,0,2,1,0.0
麥道朗,2400,0,1,0,0.0
黃寶妮,1000,1,17,7,5.9
黃寶妮,1200,5,56,13,8.9
黃寶妮,1400,2,21,4,9.5
黃寶妮,1600,1,6,1,16.7
黃寶妮,1650,0,19,2,0.0
黃寶妮,1800,1,9,2,11.1
黃寶妮,2000,0,4,0,0.0
黃智弘,1000,2,27,7,7.4
黃智弘,1200,11,110,24,10.0
黃智弘,1400,1,43,6,2.3
黃智弘,1600,1,10,2,10.0
黃智弘,1650,3,38,10,7.9
黃智弘,1800,2,20,6,10.0
黃智弘,2000,0,4,0,0.0
黃智弘,2400,0,1,0,0.0
