Jockey,Going,Wins,Starts,Places,WinRate
巴度,第二班 - 1400米 - (100-80),0,3,0,0.0
巴度,第二班 - 1400米 - (105-80),0,4,0,0.0
巴度,第二班 - 1400米 - (90-70),1,1,1,100.0
巴度,第二班 - 1600米 - (100-75),0,1,0,0.0
巴度,第二班 - 1600米 - (100-80),0,2,0,0.0
巴度,第二班 - 1600米 - (105-80),0,1,0,0.0
巴度,第二班 - 1650米 - (100-75),0,2,1,0.0
巴度,第二班 - 1650米 - (100-80),0,3,0,0.0
巴度,第二班 - 1650米 - (105-80),1,1,1,100.0
巴度,第二班 - 1800米 - (100-75),1,2,1,50.0
巴度,第二班 - 1800米 - (100-80),0,1,0,0.0
巴度,第二班 - 1800米 - (90-60),0,1,0,0.0
巴度,第二班 - 2000米 - (100-75),0,1,1,0.0
巴度,第二班 - 2000米 - (95-70),0,1,0,0.0
巴度,第五班 - 1000米 - (40-0),2,4,2,50.0
巴度,第五班 - 1200米 - (40-0),1,17,2,5.9
巴度,第五班 - 1400米 - (40-0),3,15,5,20.0
巴度,第五班 - 1600米 - (40-0),0,7,1,0.0
巴度,第五班 - 1650米 - (40-0),0,8,0,0.0
巴度,第五班 - 1800米 - (40-0),1,8,2,12.5
巴度,第五班 - 2000米 - (40-0),0,2,0,0.0
巴度,第五班 - 2200米 - (40-0),1,3,2,33.3
巴度,第四班 - 1000米 - (60-40),0,25,10,0.0
巴度,第四班 - 1200米 - (60-40),6,94,22,6.4
巴度,第四班 - 1400米 - (60-40),2,37,8,5.4
巴度,第四班 - 1600米 - (60-40),0,14,3,0.0
巴度,第四班 - 1650米 - (60-40),1,36,3,2.8
巴度,第四班 - 1800米 - (60-35),0,1,0,0.0
巴度,第四班 - 1800米 - (60-40),0,14,4,0.0
巴度,第四班 - 2000米 - (60-40),0,4,0,0.0
巴度,第四班 - 2200米 - (60-35),0,3,1,0.0
巴度,第四班 - 2200米 - (60-40),0,2,1,0.0
巴度,第四班（條件限制） - 1200米 - (60-40),0,3,2,0.0
巴度,第四班（條件限制） - 1400米 - (60-40),0,1,1,0.0
巴米高,一級賽 - 2400米,0,1,0,0.0
巴米高,三級賽 - 1800米,0,1,0,0.0
巴米高,四歲 - 1600米,0,1,0,0.0
巴米高,第三班 - 1200米 - (80-60),1,2,1,50.0
巴米高,第三班 - 1400米 - (80-60),0,2,0,0.0
巴米高,第三班 - 1600米 - (80-60),0,1,0,0.0
巴米高,第三班 - 1650米 - (80-60),0,1,0,0.0
巴米高,第三班 - 1800米 - (80-60),0,1,0,0.0
巴米高,第二班 - 1400米 - (105-80),0,1,0,0.0
巴米高,第五班 - 1200米 - (40-0),1,1,1,100.0
巴米高,第五班 - 1650米 - (40-0),0,1,0,0.0
巴米高,第四班 - 1000米 - (60-40),1,1,1,100.0
巴米高,第四班 - 1200米 - (60-40),0,2,1,0.0
巴米高,第四班 - 1600米 - (60-40),0,1,0,0.0
巴米高,第四班 - 1650米 - (60-40),0,1,1,0.0
布宜學,四歲 - 2000米,0,1,0,0.0
布宜學,第三班 - 1200米 - (80-60),0,1,0,0.0
布宜學,第三班 - 1650米 - (80-60),0,1,0,0.0
布宜學,第四班 - 1000米 - (60-40),0,1,1,0.0
布宜學,第四班 - 1400米 - (60-40),0,1,0,0.0
布宜學,第四班 - 1650米 - (60-40),0,1,0,0.0
布文,一級賽 - 1200米,0,3,3,0.0
布文,一級賽 - 1400米,0,1,1,0.0
布文,一級賽 - 1600米,1,3,2,33.3
布文,一級賽 - 2000米,0,3,1,0.0
布文,一級賽 - 2400米,0,1,1,0.0
布文,三級賽 - 1000米,0,2,1,0.0
布文,三級賽 - 1200米,1,1,1,100.0
布文,三級賽 - 1400米,0,2,0,0.0
布文,三級賽 - 1600米,0,1,0,0.0
布文,三級賽 - 1800米,1,4,2,25.0
布文,三級賽 - 2400米,0,1,0,0.0
布文,二級賽 - 1200米,0,3,2,0.0
布文,二級賽 - 1600米,0,3,0,0.0
布文,二級賽 - 2000米,0,1,0,0.0
布文,四歲 - 1600米,0,1,0,0.0
布文,四歲 - 1800米,0,1,0,0.0
布文,四歲 - 2000米,0,1,0,0.0
布文,新馬賽 - 1200米,0,2,0,0.0
布文,第一班 - 1200米 - (110-85),0,2,0,0.0
布文,第一班 - 1200米 - (80+),0,1,0,0.0
布文,第一班 - 1200米 - (85+),0,1,0,0.0
布文,第一班 - 1400米 - (85+),0,1,1,0.0
布文,第一班 - 1600米 - (85+),0,1,0,0.0
布文,第三班 - 1000米 - (80-55),0,1,1,0.0
布文,第三班 - 1000米 - (80-60),1,14,7,7.1
布文,第三班 - 1000米 - (85-60),1,1,1,100.0
布文,第三班 - 1200米 - (80-55),0,6,1,0.0
布文,第三班 - 1200米 - (80-60),4,47,11,8.5
布文,第三班 - 1200米 - (85-60),0,4,1,0.0
布文,第三班 - 1400米 - (80-60),1,30,6,3.3
布文,第三班 - 1600米 - (80-60),3,12,9,25.0
布文,第三班 - 1600米 - (85-60),0,2,0,0.0
布文,第三班 - 1650米 - (80-55),0,1,1,0.0
布文,第三班 - 1650米 - (80-60),5,21,9,23.8
布文,第三班 - 1650米 - (85-60),0,4,1,0.0
布文,第三班 - 1800米 - (80-60),1,8,1,12.5
布文,第三班 - 1800米 - (85-60),0,2,0,0.0
布文,第三班 - 2000米 - (80-60),0,2,0,0.0
布文,第三班 - 2000米 - (85-60),0,2,0,0.0
布文,第三班 - 2200米 - (80-60),0,1,0,0.0
布文,第三班（條件限制） - 1600米 - (85-60),0,1,0,0.0
布文,第二班 - 1000米 - (100-75),0,2,0,0.0
布文,第二班 - 1000米 - (100-80),0,2,0,0.0
布文,第二班 - 1200米 - (100-80),1,4,1,25.0
布文,第二班 - 1200米 - (105-80),2,5,2,40.0
布文,第二班 - 1400米 - (100-75),0,1,0,0.0
布文,第二班 - 1400米 - (100-80),0,1,0,0.0
布文,第二班 - 1400米 - (105-80),1,1,1,100.0
布文,第二班 - 1400米 - (90-70),0,1,0,0.0
布文,第二班 - 1600米 - (100-80),0,3,2,0.0
布文,第二班 - 1600米 - (105-80),1,1,1,100.0
布文,第二班 - 1650米 - (100-75),0,1,0,0.0
布文,第二班 - 1650米 - (100-80),0,1,0,0.0
布文,第二班 - 1800米 - (100-75),0,1,0,0.0
布文,第二班 - 1800米 - (100-80),0,1,1,0.0
布文,第二班 - 1800米 - (90-60),1,1,1,100.0
布文,第二班 - 2000米 - (100-75),0,1,0,0.0
布文,第二班 - 2000米 - (95-70),0,1,0,0.0
布文,第五班 - 1000米 - (40-0),1,9,4,11.1
布文,第五班 - 1200米 - (40-0),1,31,8,3.2
布文,第五班 - 1400米 - (40-0),2,16,7,12.5
