Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
黎應揚,白祈達,0,1,0,-1.0,0.0,0.0,-100.0
何澤堯,容天鵬,0,1,1,-1.0,0.0,100.0,-100.0
何澤堯,巫偉傑,0,3,0,-3.0,0.0,0.0,-100.0
黃智弘,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
黃智弘,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
黃寶妮,徐雨石,0,6,0,-6.0,0.0,0.0,-100.0
黃寶妮,沈集成,0,12,1,-12.0,0.0,8.3,-100.0
黃寶妮,游達榮,0,2,0,-2.0,0.0,0.0,-100.0
奧爾民,文家良,0,7,0,-7.0,0.0,0.0,-100.0
奧爾民,沈集成,0,14,2,-14.0,0.0,14.3,-100.0
奧爾民,游達榮,0,3,0,-3.0,0.0,0.0,-100.0
奧爾民,羅富全,0,5,0,-5.0,0.0,0.0,-100.0
奧爾民,葉楚航,0,3,0,-3.0,0.0,0.0,-100.0
奧爾民,蔡約翰,0,14,1,-14.0,0.0,7.1,-100.0
奧爾民,賀賢,0,9,2,-9.0,0.0,22.2,-100.0
奧爾民,黎昭昇,0,5,0,-5.0,0.0,0.0,-100.0
周俊樂,徐雨石,0,3,0,-3.0,0.0,0.0,-100.0
周俊樂,游達榮,0,1,0,-1.0,0.0,0.0,-100.0
麥道朗,蘇偉賢,0,3,0,-3.0,0.0,0.0,-100.0
麥道朗,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
黃寶妮,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
潘明輝,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
湯普新,呂健威,0,5,0,-5.0,0.0,0.0,-100.0
湯普新,大衛希斯,0,81,7,-81.0,0.0,8.6,-100.0
湯普新,姚本輝,0,13,2,-13.0,0.0,15.4,-100.0
班德禮,姚本輝,0,15,1,-15.0,0.0,6.7,-100.0
班德禮,容天鵬,0,9,2,-9.0,0.0,22.2,-100.0
班德禮,文家良,0,3,0,-3.0,0.0,0.0,-100.0
班德禮,游達榮,0,6,0,-6.0,0.0,0.0,-100.0
班德禮,羅富全,0,14,3,-14.0,0.0,21.4,-100.0
潘頓,巫偉傑,0,13,4,-13.0,0.0,30.8,-100.0
潘頓,徐雨石,0,3,1,-3.0,0.0,33.3,-100.0
潘明輝,蔡約翰,0,3,0,-3.0,0.0,0.0,-100.0
潘明輝,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
潘明輝,黎昭昇,0,4,0,-4.0,0.0,0.0,-100.0
湯普新,韋達,0,1,0,-1.0,0.0,0.0,-100.0
湯普新,黎昭昇,0,41,9,-41.0,0.0,22.0,-100.0
湯普新,蘇偉賢,0,9,0,-9.0,0.0,0.0,-100.0
湯普新,賀賢,0,13,1,-13.0,0.0,7.7,-100.0
楊明綸,巫偉傑,0,9,0,-9.0,0.0,0.0,-100.0
楊明綸,方嘉柏,0,23,3,-23.0,0.0,13.0,-100.0
班德禮,黎昭昇,0,5,0,-5.0,0.0,0.0,-100.0
田泰安,丁冠豪,0,6,2,-6.0,0.0,33.3,-100.0
田泰安,告東尼,0,6,0,-6.0,0.0,0.0,-100.0
田泰安,容天鵬,0,2,0,-2.0,0.0,0.0,-100.0
田泰安,廖康銘,0,3,1,-3.0,0.0,33.3,-100.0
田泰安,文家良,0,7,2,-7.0,0.0,28.6,-100.0
班德禮,伍鵬志,0,11,1,-11.0,0.0,9.1,-100.0
班德禮,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
潘明輝,丁冠豪,0,14,1,-14.0,0.0,7.1,-100.0
潘明輝,呂健威,0,5,3,-5.0,0.0,60.0,-100.0
潘明輝,大衛希斯,0,3,2,-3.0,0.0,66.7,-100.0
潘明輝,徐雨石,0,17,3,-17.0,0.0,17.6,-100.0
湯普新,丁冠豪,0,2,0,-2.0,0.0,0.0,-100.0
湯普新,伍鵬志,0,5,0,-5.0,0.0,0.0,-100.0
梁家俊,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
梁家俊,游達榮,0,5,0,-5.0,0.0,0.0,-100.0
簡國能,丁冠豪,0,1,0,-1.0,0.0,0.0,-100.0
簡國能,姚本輝,0,1,1,-1.0,0.0,100.0,-100.0
簡國能,巫偉傑,0,2,0,-2.0,0.0,0.0,-100.0
簡國能,賀賢,0,1,1,-1.0,0.0,100.0,-100.0
羅敦,岳伯仁,0,2,0,-2.0,0.0,0.0,-100.0
班德禮,蔡約翰,0,2,0,-2.0,0.0,0.0,-100.0
