Jockey,Going,Wins,Starts,Places,WinRate
紀仁安,第三班（條件限制） - 1600米 - (85-60),0,1,1,0.0
紀仁安,第二班 - 1200米 - (100-75),0,1,0,0.0
紀仁安,第二班 - 1200米 - (100-80),1,3,1,33.3
紀仁安,第二班 - 1400米 - (100-80),0,1,0,0.0
紀仁安,第二班 - 1600米 - (100-75),0,1,0,0.0
紀仁安,第二班 - 1600米 - (105-80),0,1,1,0.0
紀仁安,第二班 - 1650米 - (105-80),0,1,1,0.0
紀仁安,第二班 - 1800米 - (100-80),0,1,0,0.0
紀仁安,第二班 - 2000米 - (95-70),0,1,0,0.0
紀仁安,第五班 - 1000米 - (40-0),0,2,0,0.0
紀仁安,第五班 - 1200米 - (40-0),0,8,1,0.0
紀仁安,第五班 - 1400米 - (40-0),2,5,2,40.0
紀仁安,第五班 - 1650米 - (40-0),0,5,4,0.0
紀仁安,第五班 - 1800米 - (40-0),0,3,0,0.0
紀仁安,第五班 - 2000米 - (40-0),0,1,0,0.0
紀仁安,第四班 - 1000米 - (60-40),0,4,0,0.0
紀仁安,第四班 - 1200米 - (60-40),3,30,9,10.0
紀仁安,第四班 - 1400米 - (60-40),1,17,6,5.9
紀仁安,第四班 - 1600米 - (60-40),1,4,1,25.0
紀仁安,第四班 - 1650米 - (60-40),1,12,3,8.3
紀仁安,第四班 - 1800米 - (60-40),0,5,1,0.0
紀仁安,第四班 - 2000米 - (60-40),0,1,0,0.0
紀仁安,第四班 - 2200米 - (60-40),0,1,0,0.0
紀仁安,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
羅敦,一級賽 - 2000米,0,1,0,0.0
羅敦,一級賽 - 2400米,0,1,0,0.0
艾兆禮,一級賽 - 1200米,0,3,0,0.0
艾兆禮,一級賽 - 1400米,0,1,0,0.0
艾兆禮,一級賽 - 1600米,0,3,0,0.0
艾兆禮,一級賽 - 2000米,0,2,0,0.0
艾兆禮,一級賽 - 2400米,0,3,1,0.0
艾兆禮,三級賽 - 1000米,1,2,1,50.0
艾兆禮,三級賽 - 1200米,0,1,0,0.0
艾兆禮,三級賽 - 1400米,0,5,1,0.0
艾兆禮,三級賽 - 1600米,0,1,0,0.0
艾兆禮,三級賽 - 1800米,0,6,1,0.0
艾兆禮,二級賽 - 1200米,0,5,0,0.0
艾兆禮,二級賽 - 1600米,0,5,1,0.0
艾兆禮,二級賽 - 2000米,0,2,1,0.0
艾兆禮,四歲 - 1600米,0,1,0,0.0
艾兆禮,四歲 - 1800米,0,2,0,0.0
艾兆禮,四歲 - 2000米,0,2,0,0.0
艾兆禮,新馬賽 - 1000米,0,2,0,0.0
艾兆禮,新馬賽 - 1200米,0,2,1,0.0
艾兆禮,第一班 - 1000米 - (110-80),0,1,0,0.0
艾兆禮,第一班 - 1200米 - (110-85),0,1,1,0.0
艾兆禮,第一班 - 1200米 - (80+),0,2,0,0.0
艾兆禮,第一班 - 1200米 - (85+),0,1,0,0.0
艾兆禮,第一班 - 1400米 - (110-85),0,1,1,0.0
艾兆禮,第一班 - 1400米 - (85+),0,1,0,0.0
艾兆禮,第一班 - 1600米 - (85+),1,1,1,100.0
艾兆禮,第一班 - 1650米 - (110-85),0,1,0,0.0
艾兆禮,第三班 - 1000米 - (80-55),1,1,1,100.0
艾兆禮,第三班 - 1000米 - (80-60),2,28,6,7.1
艾兆禮,第三班 - 1000米 - (85-60),0,5,0,0.0
艾兆禮,第三班 - 1200米 - (80-55),3,6,3,50.0
艾兆禮,第三班 - 1200米 - (80-60),10,115,30,8.7
艾兆禮,第三班 - 1200米 - (85-60),2,12,5,16.7
艾兆禮,第三班 - 1400米 - (80-60),3,57,13,5.3
艾兆禮,第三班 - 1400米 - (85-60),0,2,1,0.0
艾兆禮,第三班 - 1600米 - (80-60),1,25,6,4.0
艾兆禮,第三班 - 1600米 - (85-60),1,4,1,25.0
艾兆禮,第三班 - 1650米 - (80-55),0,2,1,0.0
艾兆禮,第三班 - 1650米 - (80-60),7,44,16,15.9
艾兆禮,第三班 - 1650米 - (85-60),0,10,3,0.0
艾兆禮,第三班 - 1800米 - (80-60),2,16,3,12.5
艾兆禮,第三班 - 1800米 - (85-60),2,5,2,40.0
艾兆禮,第三班 - 2000米 - (80-60),1,4,2,25.0
艾兆禮,第三班 - 2000米 - (85-60),1,6,4,16.7
艾兆禮,第三班 - 2200米 - (80-55),0,1,0,0.0
艾兆禮,第三班 - 2200米 - (80-60),0,1,0,0.0
艾兆禮,第三班 - 2200米 - (85-60),0,1,0,0.0
艾兆禮,第三班（條件限制） - 1600米 - (85-60),0,3,1,0.0
艾兆禮,第二班 - 1000米 - (100-75),0,3,2,0.0
艾兆禮,第二班 - 1000米 - (100-80),0,2,2,0.0
艾兆禮,第二班 - 1000米 - (105-80),1,2,2,50.0
艾兆禮,第二班 - 1000米 - (90-65),0,1,0,0.0
艾兆禮,第二班 - 1200米 - (100-75),0,2,0,0.0
艾兆禮,第二班 - 1200米 - (100-80),4,19,8,21.1
艾兆禮,第二班 - 1200米 - (105-80),0,6,2,0.0
艾兆禮,第二班 - 1400米 - (100-75),0,1,1,0.0
艾兆禮,第二班 - 1400米 - (100-80),1,5,2,20.0
艾兆禮,第二班 - 1400米 - (105-80),0,7,2,0.0
艾兆禮,第二班 - 1600米 - (100-75),0,2,2,0.0
艾兆禮,第二班 - 1600米 - (100-80),1,2,1,50.0
艾兆禮,第二班 - 1600米 - (105-75),0,1,0,0.0
艾兆禮,第二班 - 1600米 - (105-80),1,4,3,25.0
艾兆禮,第二班 - 1650米 - (100-75),0,4,1,0.0
艾兆禮,第二班 - 1650米 - (100-80),0,3,1,0.0
艾兆禮,第二班 - 1650米 - (105-80),2,4,3,50.0
艾兆禮,第二班 - 1800米 - (100-70),0,1,1,0.0
艾兆禮,第二班 - 1800米 - (100-75),0,3,1,0.0
艾兆禮,第二班 - 1800米 - (100-80),0,1,1,0.0
艾兆禮,第二班 - 2000米 - (100-75),0,2,0,0.0
艾兆禮,第二班 - 2000米 - (95-70),1,2,1,50.0
艾兆禮,第五班 - 1000米 - (40-0),3,13,6,23.1
艾兆禮,第五班 - 1200米 - (40-0),4,34,13,11.8
艾兆禮,第五班 - 1400米 - (40-0),4,23,6,17.4
艾兆禮,第五班 - 1600米 - (40-0),0,11,0,0.0
艾兆禮,第五班 - 1650米 - (40-0),0,20,3,0.0
艾兆禮,第五班 - 1800米 - (40-0),0,12,4,0.0
艾兆禮,第五班 - 2000米 - (40-0),0,2,1,0.0
艾兆禮,第五班 - 2200米 - (40-0),1,4,2,25.0
艾兆禮,第四班 - 1000米 - (60-40),3,34,6,8.8
艾兆禮,第四班 - 1200米 - (60-40),27,214,58,12.6
艾兆禮,第四班 - 1400米 - (60-40),8,97,32,8.2
艾兆禮,第四班 - 1600米 - (60-40),1,25,4,4.0
艾兆禮,第四班 - 1650米 - (60-40),6,80,17,7.5
艾兆禮,第四班 - 1800米 - (60-35),0,1,0,0.0
艾兆禮,第四班 - 1800米 - (60-40),5,30,9,16.7
艾兆禮,第四班 - 2000米 - (60-40),0,4,0,0.0
艾兆禮,第四班 - 2200米 - (60-35),0,3,2,0.0
艾兆禮,第四班 - 2200米 - (60-40),0,2,0,0.0
艾兆禮,第四班（條件限制） - 1200米 - (60-40),0,3,0,0.0
艾兆禮,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
艾道拿,一級賽 - 1200米,0,5,2,0.0
艾道拿,一級賽 - 1400米,0,2,0,0.0
艾道拿,一級賽 - 1600米,0,5,1,0.0
艾道拿,一級賽 - 2000米,0,4,0,0.0
艾道拿,一級賽 - 2400米,0,2,0,0.0
艾道拿,三級賽 - 1000米,0,1,1,0.0
艾道拿,三級賽 - 1400米,1,4,1,25.0
艾道拿,三級賽 - 1800米,1,6,1,16.7
艾道拿,三級賽 - 2400米,0,1,0,0.0
艾道拿,二級賽 - 1200米,0,6,3,0.0
艾道拿,二級賽 - 1600米,0,5,0,0.0
艾道拿,二級賽 - 2000米,0,2,0,0.0
艾道拿,四歲 - 1600米,0,2,0,0.0
艾道拿,四歲 - 1800米,1,2,1,50.0
艾道拿,四歲 - 2000米,0,2,0,0.0
艾道拿,新馬賽 - 1000米,0,2,0,0.0
艾道拿,新馬賽 - 1200米,1,1,1,100.0
艾道拿,第一班 - 1000米 - (110-80),0,1,1,0.0
艾道拿,第一班 - 1200米 - (110-85),0,2,0,0.0
艾道拿,第一班 - 1200米 - (85+),0,1,0,0.0
艾道拿,第一班 - 1400米 - (110-85),0,1,0,0.0
艾道拿,第一班 - 1400米 - (85+),0,1,0,0.0
艾道拿,第一班 - 1650米 - (110-85),0,1,0,0.0
艾道拿,第三班 - 1000米 - (80-60),2,19,7,10.5
艾道拿,第三班 - 1000米 - (85-60),1,3,1,33.3
艾道拿,第三班 - 1200米 - (80-55),1,3,2,33.3
艾道拿,第三班 - 1200米 - (80-60),6,70,22,8.6
艾道拿,第三班 - 1200米 - (85-60),0,2,1,0.0
艾道拿,第三班 - 1400米 - (80-60),4,51,21,7.8
艾道拿,第三班 - 1600米 - (80-60),0,19,3,0.0
艾道拿,第三班 - 1600米 - (85-60),0,1,0,0.0
艾道拿,第三班 - 1650米 - (80-60),1,21,6,4.8
艾道拿,第三班 - 1650米 - (85-60),0,4,1,0.0
艾道拿,第三班 - 1800米 - (80-60),2,12,5,16.7
艾道拿,第三班 - 1800米 - (85-60),1,6,3,16.7
艾道拿,第三班 - 2000米 - (80-60),1,3,1,33.3
艾道拿,第三班 - 2000米 - (85-60),1,4,3,25.0
艾道拿,第三班 - 2200米 - (80-60),0,1,0,0.0
艾道拿,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
艾道拿,第二班 - 1000米 - (100-75),0,3,1,0.0
艾道拿,第二班 - 1000米 - (105-75),0,1,0,0.0
艾道拿,第二班 - 1000米 - (105-80),0,1,0,0.0
艾道拿,第二班 - 1000米 - (90-65),1,1,1,100.0
艾道拿,第二班 - 1200米 - (100-75),0,1,0,0.0
艾道拿,第二班 - 1200米 - (100-80),1,13,2,7.7
艾道拿,第二班 - 1200米 - (105-80),1,7,3,14.3
艾道拿,第二班 - 1400米 - (100-75),1,2,1,50.0
艾道拿,第二班 - 1400米 - (100-80),1,6,4,16.7
艾道拿,第二班 - 1400米 - (105-80),0,7,0,0.0
艾道拿,第二班 - 1600米 - (100-75),0,2,0,0.0
艾道拿,第二班 - 1600米 - (100-80),0,4,2,0.0
艾道拿,第二班 - 1600米 - (105-75),0,1,0,0.0
艾道拿,第二班 - 1600米 - (105-80),0,3,1,0.0
艾道拿,第二班 - 1650米 - (100-75),0,2,0,0.0
艾道拿,第二班 - 1800米 - (100-70),0,1,0,0.0
艾道拿,第二班 - 1800米 - (100-75),0,3,0,0.0
