Trainer,Going,Wins,Starts,Places,WinRate
告東尼,第二班 - 1800米 - (100-70),1,2,1,50.0
告東尼,第二班 - 1800米 - (100-75),1,8,1,12.5
告東尼,第二班 - 1800米 - (100-80),0,6,2,0.0
告東尼,第二班 - 2000米 - (100-75),0,3,2,0.0
告東尼,第二班 - 2000米 - (95-70),0,4,3,0.0
告東尼,第五班 - 1000米 - (40-0),1,9,3,11.1
告東尼,第五班 - 1200米 - (40-0),3,37,11,8.1
告東尼,第五班 - 1400米 - (40-0),2,19,4,10.5
告東尼,第五班 - 1600米 - (40-0),2,11,2,18.2
告東尼,第五班 - 1650米 - (40-0),2,25,6,8.0
告東尼,第五班 - 1800米 - (40-0),3,18,5,16.7
告東尼,第五班 - 2000米 - (40-0),0,2,0,0.0
告東尼,第五班 - 2200米 - (40-0),1,5,1,20.0
告東尼,第四班 - 1000米 - (60-40),5,34,10,14.7
告東尼,第四班 - 1200米 - (60-40),9,135,28,6.7
告東尼,第四班 - 1400米 - (60-40),2,78,12,2.6
告東尼,第四班 - 1600米 - (60-40),1,28,3,3.6
告東尼,第四班 - 1650米 - (60-40),9,89,28,10.1
告東尼,第四班 - 1800米 - (60-35),0,2,0,0.0
告東尼,第四班 - 1800米 - (60-40),2,39,14,5.1
告東尼,第四班 - 2000米 - (60-40),0,9,2,0.0
告東尼,第四班 - 2200米 - (60-35),0,5,1,0.0
告東尼,第四班 - 2200米 - (60-40),1,6,1,16.7
告東尼,第四班（條件限制） - 1200米 - (60-40),0,1,0,0.0
告東尼,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
國枝榮,一級賽 - 2400米,0,1,1,0.0
堀宣行,一級賽 - 1200米,0,4,3,0.0
堀宣行,一級賽 - 2000米,1,2,2,50.0
大衛希斯,一級賽 - 1200米,6,9,6,66.7
大衛希斯,一級賽 - 1400米,2,2,2,100.0
大衛希斯,一級賽 - 1600米,0,1,0,0.0
大衛希斯,一級賽 - 2000米,0,3,0,0.0
大衛希斯,一級賽 - 2400米,0,1,1,0.0
大衛希斯,三級賽 - 1000米,0,4,0,0.0
大衛希斯,三級賽 - 1400米,1,5,1,20.0
大衛希斯,三級賽 - 1800米,0,3,0,0.0
大衛希斯,三級賽 - 2400米,0,1,0,0.0
大衛希斯,二級賽 - 1200米,6,9,6,66.7
大衛希斯,二級賽 - 1600米,0,2,0,0.0
大衛希斯,二級賽 - 2000米,0,1,0,0.0
大衛希斯,四歲 - 1600米,0,3,0,0.0
大衛希斯,四歲 - 1800米,1,3,1,33.3
大衛希斯,四歲 - 2000米,0,1,0,0.0
大衛希斯,新馬賽 - 1000米,0,8,2,0.0
大衛希斯,新馬賽 - 1200米,0,2,1,0.0
大衛希斯,第一班 - 1200米 - (110-85),0,1,0,0.0
大衛希斯,第一班 - 1200米 - (80+),2,4,2,50.0
大衛希斯,第一班 - 1200米 - (85+),0,2,0,0.0
大衛希斯,第一班 - 1400米 - (110-85),0,1,0,0.0
大衛希斯,第一班 - 1400米 - (85+),0,1,0,0.0
大衛希斯,第一班 - 1600米 - (85+),0,1,0,0.0
大衛希斯,第三班 - 1000米 - (80-55),0,1,0,0.0
大衛希斯,第三班 - 1000米 - (80-60),2,34,7,5.9
大衛希斯,第三班 - 1000米 - (85-60),0,6,1,0.0
大衛希斯,第三班 - 1200米 - (80-55),2,11,5,18.2
大衛希斯,第三班 - 1200米 - (80-60),12,126,30,9.5
大衛希斯,第三班 - 1200米 - (85-60),0,10,1,0.0
大衛希斯,第三班 - 1400米 - (80-60),1,51,4,2.0
大衛希斯,第三班 - 1400米 - (85-60),0,2,0,0.0
大衛希斯,第三班 - 1600米 - (80-60),1,26,9,3.8
大衛希斯,第三班 - 1600米 - (85-60),0,4,0,0.0
大衛希斯,第三班 - 1650米 - (80-55),1,3,1,33.3
大衛希斯,第三班 - 1650米 - (80-60),4,54,15,7.4
大衛希斯,第三班 - 1650米 - (85-60),2,10,4,20.0
大衛希斯,第三班 - 1800米 - (80-60),2,22,7,9.1
大衛希斯,第三班 - 1800米 - (85-60),1,10,3,10.0
大衛希斯,第三班 - 2000米 - (80-60),0,2,0,0.0
大衛希斯,第三班 - 2000米 - (85-60),0,6,2,0.0
大衛希斯,第三班 - 2200米 - (85-60),0,1,0,0.0
大衛希斯,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
大衛希斯,第二班 - 1000米 - (100-75),0,3,0,0.0
大衛希斯,第二班 - 1000米 - (100-80),0,1,0,0.0
