Jockey,Month,Wins,Starts,Places,WinRate
金美琪,2025-12,0,4,1,0.0
金誠剛,2025-02,0,4,0,0.0
金誠剛,2025-03,3,33,8,9.1
金誠剛,2025-04,1,5,2,20.0
金誠剛,2025-09,0,32,3,0.0
金誠剛,2025-10,0,46,8,0.0
金誠剛,2025-11,0,47,10,0.0
金誠剛,2025-12,2,33,6,6.1
金誠剛,2026-01,2,50,11,4.0
金誠剛,2026-02,3,43,9,7.0
金誠剛,2026-03,2,56,9,3.6
金誠剛,2026-04,2,43,5,4.7
金誠剛,2026-05,1,15,3,6.7
鍾易禮,2024-09,1,36,8,2.8
鍾易禮,2024-10,1,48,7,2.1
鍾易禮,2024-11,3,38,5,7.9
鍾易禮,2024-12,2,35,10,5.7
鍾易禮,2025-01,1,45,8,2.2
鍾易禮,2025-02,0,10,0,0.0
鍾易禮,2025-03,4,46,9,8.7
鍾易禮,2025-04,3,46,8,6.5
鍾易禮,2025-05,2,63,6,3.2
鍾易禮,2025-06,2,41,5,4.9
鍾易禮,2025-07,1,38,5,2.6
鍾易禮,2025-09,2,29,5,6.9
鍾易禮,2025-10,3,43,9,7.0
鍾易禮,2025-11,1,33,4,3.0
鍾易禮,2025-12,2,35,6,5.7
鍾易禮,2026-01,2,29,4,6.9
鍾易禮,2026-02,4,45,5,8.9
鍾易禮,2026-03,2,51,5,3.9
鍾易禮,2026-04,3,45,7,6.7
鍾易禮,2026-05,0,15,0,0.0
陳嘉熙,2024-09,1,8,4,12.5
陳嘉熙,2024-10,0,2,0,0.0
陳嘉熙,2024-12,0,1,0,0.0
陳嘉熙,2025-01,0,3,0,0.0
陳嘉熙,2025-02,0,2,0,0.0
陳嘉熙,2025-07,0,2,0,0.0
霍宏聲,2024-09,3,27,6,11.1
霍宏聲,2024-10,5,32,8,15.6
霍宏聲,2024-11,5,44,12,11.4
霍宏聲,2024-12,5,46,10,10.9
霍宏聲,2025-01,6,47,11,12.8
霍宏聲,2025-02,4,51,11,7.8
霍宏聲,2025-03,5,54,16,9.3
霍宏聲,2025-04,3,48,14,6.2
霍宏聲,2025-05,7,49,18,14.3
霍宏聲,2025-06,1,47,10,2.1
霍宏聲,2025-07,3,36,6,8.3
霍宏聲,2025-09,3,34,8,8.8
霍宏聲,2025-10,8,51,17,15.7
霍宏聲,2025-11,4,48,9,8.3
霍宏聲,2025-12,3,41,11,7.3
霍宏聲,2026-01,3,48,10,6.2
霍宏聲,2026-02,1,40,4,2.5
霍宏聲,2026-03,5,51,14,9.8
霍宏聲,2026-04,3,34,6,8.8
霍宏聲,2026-05,1,10,1,10.0
韋紀力,2025-01,1,8,1,12.5
韋紀力,2025-03,2,9,3,22.2
韋紀力,2025-04,1,7,2,14.3
韋紀力,2025-05,0,3,2,0.0
韋紀力,2025-12,0,7,2,0.0
韋紀力,2026-04,0,4,2,0.0
馬昆,2024-12,0,2,1,0.0
馬昆,2025-02,2,14,2,14.3
馬昆,2025-03,0,5,0,0.0
馬昆,2025-05,0,3,0,0.0
馬昆,2025-12,0,2,0,0.0
高力德,2026-04,0,1,0,0.0
麥文堅,2025-12,0,3,0,0.0
麥文堅,2026-01,3,41,6,7.3
麥文堅,2026-02,6,47,12,12.8
麥文堅,2026-03,1,51,13,2.0
麥當能,2025-02,0,6,0,0.0
麥當能,2025-03,1,28,2,3.6
麥當能,2025-04,0,1,0,0.0
麥道朗,2024-11,7,31,15,22.6
麥道朗,2024-12,12,58,25,20.7
麥道朗,2025-01,3,10,5,30.0
麥道朗,2025-02,1,2,1,50.0
麥道朗,2025-03,2,7,3,28.6
麥道朗,2025-04,0,8,4,0.0
麥道朗,2025-05,1,5,1,20.0
麥道朗,2025-11,6,40,14,15.0
麥道朗,2025-12,7,43,18,16.3
麥道朗,2026-01,2,6,3,33.3
麥道朗,2026-02,0,5,4,0.0
麥道朗,2026-03,1,6,2,16.7
