Jockey,RaceClass,Wins,Starts,Places,WinRate
蔡明紹,Class 3,15,272,52,5.5
蔡明紹,Class 4,22,410,82,5.4
蔡明紹,Class 5,5,131,26,3.8
蔡明紹,Griffin,1,3,2,33.3
蔡明紹,Group 1,0,6,1,0.0
蔡明紹,Group 2,0,9,0,0.0
蔡明紹,Group 3,1,14,6,7.1
薛凱華,Class 3,0,1,0,0.0
薛凱華,Class 4,0,1,0,0.0
薛凱華,Group 1,0,4,1,0.0
薛恩,Class 2,1,2,1,50.0
薛恩,Class 3,0,5,0,0.0
薛恩,Class 4,1,12,4,8.3
薛恩,Group 1,0,6,1,0.0
蘇銘倫,Class 3,0,7,1,0.0
蘇銘倫,Class 4,0,7,1,0.0
蘇銘倫,Group 1,0,6,3,0.0
袁幸堯,Class 2,0,2,0,0.0
袁幸堯,Class 3,2,14,4,14.3
袁幸堯,Class 4,4,29,14,13.8
袁幸堯,Class 5,1,7,1,14.3
袁幸堯,Griffin,0,1,1,0.0
西村淳也,Group 1,0,1,0,0.0
貝知仁,Class 2,0,7,3,0.0
貝知仁,Class 3,1,30,4,3.3
貝知仁,Class 4,0,52,5,0.0
貝知仁,Class 5,1,15,3,6.7
貝知仁,Group 1,0,1,0,0.0
貝知仁,Group 3,0,1,0,0.0
賀銘年,Class 2,1,10,2,10.0
賀銘年,Class 3,4,77,15,5.2
賀銘年,Class 4,5,141,21,3.5
賀銘年,Class 5,2,42,11,4.8
賀銘年,Griffin,0,2,0,0.0
賀銘年,Group 3,0,1,0,0.0
連達文,Group 1,1,3,2,33.3
郭立基,Group 1,0,1,0,0.0
金美琪,Group 1,0,8,1,0.0
金誠剛,Class 1,0,1,0,0.0
金誠剛,Class 2,0,14,2,0.0
金誠剛,Class 3,4,110,14,3.6
金誠剛,Class 4,9,213,42,4.2
金誠剛,Class 5,3,64,15,4.7
金誠剛,Group 2,0,3,0,0.0
金誠剛,Group 3,0,2,1,0.0
鍾易禮,Class 1,1,4,3,25.0
鍾易禮,Class 2,4,54,8,7.4
鍾易禮,Class 3,12,242,31,5.0
鍾易禮,Class 4,17,353,54,4.8
鍾易禮,Class 5,5,106,19,4.7
鍾易禮,Group 1,0,2,1,0.0
鍾易禮,Group 2,0,4,0,0.0
鍾易禮,Group 3,0,6,0,0.0
陳嘉熙,Class 2,0,1,0,0.0
陳嘉熙,Class 3,0,3,0,0.0
陳嘉熙,Class 4,1,9,4,11.1
陳嘉熙,Class 5,0,5,0,0.0
霍宏聲,Class 1,2,5,2,40.0
霍宏聲,Class 2,3,36,9,8.3
霍宏聲,Class 3,14,219,61,6.4
霍宏聲,Class 4,39,427,87,9.1
霍宏聲,Class 5,18,120,36,15.0
霍宏聲,Griffin,0,3,0,0.0
霍宏聲,Group 1,0,9,0,0.0
霍宏聲,Group 2,0,7,2,0.0
霍宏聲,Group 3,1,6,2,16.7
韋紀力,Class 2,1,5,2,20.0
韋紀力,Class 3,1,13,5,7.7
韋紀力,Class 4,1,7,2,14.3
韋紀力,Class 5,0,1,0,0.0
韋紀力,Group 1,0,10,2,0.0
馬昆,Class 2,0,1,0,0.0
馬昆,Class 3,2,6,2,33.3
馬昆,Class 4,0,13,0,0.0
馬昆,Class 5,0,2,0,0.0
馬昆,Group 1,0,3,1,0.0
高力德,Group 1,0,1,0,0.0
麥文堅,Class 1,0,1,0,0.0
麥文堅,Class 2,0,2,0,0.0
麥文堅,Class 3,6,49,12,12.2
麥文堅,Class 4,4,61,15,6.6
麥文堅,Class 5,0,20,2,0.0
麥文堅,Group 1,0,5,1,0.0
麥文堅,Group 3,0,1,0,0.0
麥當能,Class 2,0,1,0,0.0
麥當能,Class 3,0,14,1,0.0
麥當能,Class 4,0,17,0,0.0
麥當能,Class 5,1,3,1,33.3
麥道朗,Class 1,0,1,1,0.0
麥道朗,Class 2,1,13,3,7.7
麥道朗,Class 3,13,60,27,21.7
麥道朗,Class 4,14,89,37,15.7
麥道朗,Class 5,1,27,6,3.7
麥道朗,Group 1,10,29,16,34.5
麥道朗,Group 2,4,6,6,66.7
黃寶妮,Class 1,0,3,0,0.0
黃寶妮,Class 2,1,22,2,4.5
黃寶妮,Class 3,5,98,10,5.1
黃寶妮,Class 4,11,160,32,6.9
黃寶妮,Class 5,11,57,20,19.3
黃寶妮,Group 1,0,2,0,0.0
黃智弘,Class 1,0,3,2,0.0
黃智弘,Class 2,4,34,8,11.8
黃智弘,Class 3,15,165,32,9.1
黃智弘,Class 4,21,254,63,8.3
黃智弘,Class 5,5,89,25,5.6
黃智弘,Group 1,0,2,1,0.0
黃智弘,Group 2,0,2,0,0.0
黃智弘,Group 3,0,4,0,0.0
黎應揚,Group 1,0,1,0,0.0
