Jockey,Distance,Wins,Starts,Places,WinRate
蔡明紹,1200,18,385,85,4.7
蔡明紹,1400,5,150,20,3.3
蔡明紹,1600,3,68,7,4.4
蔡明紹,1650,11,133,31,8.3
蔡明紹,1800,0,62,12,0.0
蔡明紹,2000,0,21,6,0.0
蔡明紹,2200,1,10,4,10.0
蔡明紹,2400,0,2,0,0.0
薛凱華,1200,0,2,0,0.0
薛凱華,1600,0,3,1,0.0
薛凱華,2400,0,1,0,0.0
薛恩,1000,1,2,1,50.0
薛恩,1200,1,7,1,14.3
薛恩,1400,0,7,1,0.0
薛恩,1600,0,6,4,0.0
薛恩,1800,0,2,0,0.0
薛恩,2000,0,3,0,0.0
蘇銘倫,1200,0,6,1,0.0
蘇銘倫,1400,0,3,1,0.0
蘇銘倫,1600,0,6,1,0.0
蘇銘倫,1800,0,3,0,0.0
蘇銘倫,2000,0,3,1,0.0
蘇銘倫,2400,0,1,1,0.0
袁幸堯,1000,1,6,3,16.7
袁幸堯,1200,4,24,11,16.7
袁幸堯,1400,1,11,3,9.1
袁幸堯,1600,0,4,0,0.0
袁幸堯,1650,0,5,1,0.0
袁幸堯,1800,1,2,1,50.0
袁幸堯,2000,0,1,1,0.0
西村淳也,1200,0,1,0,0.0
貝知仁,1000,1,10,2,10.0
貝知仁,1200,0,43,9,0.0
貝知仁,1400,1,21,2,4.8
貝知仁,1600,0,8,0,0.0
貝知仁,1650,0,13,1,0.0
貝知仁,1800,0,7,0,0.0
貝知仁,2000,0,3,1,0.0
貝知仁,2200,0,1,0,0.0
賀銘年,1000,2,24,4,8.3
賀銘年,1200,5,115,24,4.3
賀銘年,1400,4,44,11,9.1
賀銘年,1600,0,19,2,0.0
賀銘年,1650,1,45,7,2.2
賀銘年,1800,0,18,1,0.0
賀銘年,2000,0,5,0,0.0
賀銘年,2200,0,3,0,0.0
連達文,1200,0,1,0,0.0
連達文,2000,1,2,2,50.0
郭立基,1600,0,1,0,0.0
金美琪,1000,0,2,0,0.0
金美琪,1200,0,2,0,0.0
金美琪,1650,0,4,1,0.0
金誠剛,1000,2,28,3,7.1
金誠剛,1200,9,158,30,5.7
