Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate
艾兆禮,廖康銘,0,4,0,19.4,0.0
艾兆禮,文家良,0,2,0,27.5,0.0
艾兆禮,沈集成,0,2,0,94.5,0.0
艾兆禮,游達榮,0,20,2,30.0,0.0
艾兆禮,羅富全,0,7,0,30.9,0.0
艾兆禮,葉楚航,0,2,0,34.5,0.0
艾兆禮,蔡約翰,0,5,0,29.7,0.0
艾兆禮,蘇偉賢,0,7,1,39.8,0.0
艾兆禮,賀賢,0,3,0,26.3,0.0
艾兆禮,鄭俊偉,0,1,0,45.0,0.0
艾兆禮,黎昭昇,0,4,2,18.8,0.0
艾道拿,伍鵬志,0,1,0,70.0,0.0
麥道朗,大衛希斯,0,2,0,18.5,0.0
麥道朗,文家良,0,1,0,26.0,0.0
艾道拿,姚本輝,0,5,1,16.2,0.0
麥道朗,方嘉柏,0,1,0,24.0,0.0
艾道拿,徐雨石,0,2,0,61.5,0.0
艾道拿,文家良,0,1,0,10.0,0.0
艾道拿,方嘉柏,0,2,1,13.7,0.0
艾道拿,沈集成,0,2,0,64.0,0.0
艾道拿,游達榮,0,1,0,48.0,0.0
艾道拿,葉楚航,0,3,1,17.0,0.0
班德禮,沈集成,0,8,0,48.1,0.0
艾道拿,賀賢,0,11,1,63.3,0.0
艾道拿,鄭俊偉,0,1,0,42.0,0.0
艾道拿,韋達,0,4,1,47.2,0.0
艾道拿,黎昭昇,0,11,2,34.4,0.0
范以誠,雷拿及雷恩,0,1,0,82.0,0.0
莫艾誠,伯特,0,1,0,17.0,0.0
莫艾誠,侯耀誠,0,1,0,147.0,0.0
莫艾誠,包義定,0,2,0,67.5,0.0
莫艾誠,岳品賢,0,1,0,367.0,0.0
黃寶妮,大衛希斯,0,1,0,65.0,0.0
莫雅,岳伯仁,0,4,0,25.8,0.0
莫雅,范景新,0,1,0,79.0,0.0
黃寶妮,姚本輝,0,2,0,16.6,0.0
莫雷拉,國枝榮,0,1,1,3.2,0.0
莫雷拉,堀宣行,0,1,1,15.0,0.0
莫雷拉,方嘉柏,0,2,1,15.7,0.0
莫雷拉,武井亮,0,1,0,29.0,0.0
莫雷拉,武英智,0,1,0,35.0,0.0
莫雷拉,池江泰壽,0,1,1,4.6,0.0
菅原明良,高柳瑞樹,0,1,0,76.0,0.0
董明朗,丁冠豪,0,1,0,82.0,0.0
董明朗,呂健威,0,2,0,105.5,0.0
董明朗,大衛希斯,0,3,0,40.0,0.0
董明朗,姚本輝,0,1,0,52.0,0.0
董明朗,巫偉傑,0,1,0,39.0,0.0
董明朗,徐雨石,0,2,0,167.5,0.0
董明朗,文家良,0,1,0,70.0,0.0
董明朗,方嘉柏,0,2,0,88.0,0.0
董明朗,桂福特,0,1,0,93.0,0.0
董明朗,沈集成,0,1,0,113.0,0.0
董明朗,游達榮,0,1,0,107.0,0.0
董明朗,葉楚航,0,1,0,156.0,0.0
黃寶妮,徐雨石,0,1,0,9.3,0.0
董明朗,賀賢,0,3,0,90.7,0.0
董明朗,鄭俊偉,0,2,0,41.5,0.0
蔡明紹,丁冠豪,0,1,0,14.0,0.0
蔡明紹,伍鵬志,0,1,0,44.0,0.0
蔡明紹,呂健威,0,2,0,32.0,0.0
周俊樂,蘇偉賢,0,2,0,68.0,0.0
蔡明紹,姚本輝,0,1,0,13.0,0.0
周俊樂,韋達,0,2,1,12.5,0.0
蔡明紹,廖康銘,0,2,1,19.6,0.0
蔡明紹,徐雨石,0,2,0,40.0,0.0
蔡明紹,文家良,0,6,1,40.9,0.0
蔡明紹,方嘉柏,0,1,0,35.0,0.0
蔡明紹,沈集成,0,1,0,119.0,0.0
蔡明紹,游達榮,0,1,0,92.0,0.0
蔡明紹,羅富全,0,6,1,29.3,0.0
蔡明紹,葉楚航,0,4,1,20.2,0.0
蔡明紹,蘇偉賢,0,5,1,61.6,0.0
蔡明紹,鄭俊偉,0,2,0,80.5,0.0
周俊樂,黎昭昇,0,1,0,4.0,0.0
蔡明紹,黎昭昇,0,2,0,86.2,0.0
薛凱華,游孝廉,0,1,0,61.0,0.0
薛凱華,菲德文及菲敦盟,0,1,0,5.9,0.0
薛凱華,馬漢雅,0,1,0,148.0,0.0
薛恩,伍鵬志,0,2,0,38.0,0.0
薛恩,巫偉傑,0,1,0,25.0,0.0
薛恩,高亮能,0,1,0,16.0,0.0
蘇銘倫,沈集成,0,1,0,17.0,0.0
蘇銘倫,葛威法,0,2,1,8.0,0.0
奧爾民,伍鵬志,0,3,0,58.8,0.0
袁幸堯,韋達,0,1,1,16.0,0.0
西村淳也,杉山晴紀,0,1,0,32.0,0.0
貝知仁,姚本輝,0,1,1,11.0,0.0
貝知仁,巴伯樂,0,1,0,82.0,0.0
貝知仁,方嘉柏,0,1,0,58.0,0.0
貝知仁,沈集成,0,1,0,26.0,0.0
貝知仁,葉楚航,0,1,0,83.0,0.0
貝知仁,蔡約翰,0,1,0,8.0,0.0
貝知仁,韋達,0,1,0,72.0,0.0
賀銘年,丁冠豪,0,2,0,23.0,0.0
賀銘年,伍鵬志,0,2,0,29.2,0.0
賀銘年,呂健威,0,1,1,23.0,0.0
賀銘年,姚本輝,0,3,1,33.3,0.0
賀銘年,容天鵬,0,3,0,66.3,0.0
賀銘年,巫偉傑,0,4,0,47.5,0.0
賀銘年,文家良,0,2,0,131.5,0.0
賀銘年,方嘉柏,0,1,0,15.0,0.0
賀銘年,游達榮,0,1,0,31.0,0.0
賀銘年,羅富全,0,1,0,7.1,0.0
賀銘年,葉楚航,0,1,0,46.0,0.0
賀銘年,蔡約翰,0,5,0,69.0,0.0
賀銘年,黎昭昇,0,8,0,73.2,0.0
連達文,堀宣行,0,1,1,14.0,0.0
連達文,藤原英昭,0,1,0,94.0,0.0
郭立基,活侯夫人及布特,0,1,0,34.0,0.0
金誠剛,伍鵬志,0,1,0,56.0,0.0
奧爾民,告東尼,0,1,0,87.0,0.0
金誠剛,沈集成,0,1,0,89.0,0.0
金誠剛,游達榮,0,5,0,85.8,0.0
金誠剛,鄭俊偉,0,4,0,77.5,0.0
金誠剛,韋達,0,1,0,57.0,0.0
鍾易禮,丁冠豪,0,1,0,122.0,0.0
奧爾民,大衛希斯,0,1,0,45.0,0.0
鍾易禮,呂健威,0,2,0,87.5,0.0
奧爾民,姚本輝,0,4,1,61.5,0.0
鍾易禮,姚本輝,0,2,0,11.0,0.0
鍾易禮,容天鵬,0,2,0,81.0,0.0
鍾易禮,巫偉傑,0,7,0,79.1,0.0
鍾易禮,廖康銘,0,1,0,33.0,0.0
鍾易禮,徐雨石,0,2,1,150.5,0.0
鍾易禮,文家良,0,3,0,87.0,0.0
鍾易禮,桂福特,0,1,0,85.0,0.0
鍾易禮,沈集成,0,7,0,76.4,0.0
鍾易禮,葉楚航,0,7,1,45.7,0.0
鍾易禮,鄭俊偉,0,1,0,234.0,0.0
鍾易禮,黎昭昇,0,1,0,32.0,0.0
陳嘉熙,方嘉柏,0,1,0,9.9,0.0
陳嘉熙,沈集成,0,6,3,14.1,0.0
奧爾民,徐雨石,0,2,0,58.0,0.0
霍宏聲,伍鵬志,0,2,0,44.0,0.0
霍宏聲,呂健威,0,1,0,9.7,0.0
霍宏聲,大衛希斯,0,4,0,35.0,0.0
霍宏聲,姚本輝,0,3,0,27.7,0.0
霍宏聲,容天鵬,0,1,0,36.0,0.0
奧爾民,方嘉柏,0,1,0,49.0,0.0
奧爾民,游達榮,0,1,0,54.0,0.0
奧爾民,葉楚航,0,1,0,21.0,0.0
奧爾民,蔡約翰,0,4,0,77.5,0.0
霍宏聲,沈集成,0,1,0,117.0,0.0
奧爾民,蘇偉賢,0,2,1,63.0,0.0
霍宏聲,羅富全,0,3,0,15.0,0.0
霍宏聲,葉楚航,0,1,0,37.0,0.0
霍宏聲,賀賢,0,3,1,34.5,0.0
霍宏聲,韋達,0,9,1,44.8,0.0
霍宏聲,黎昭昇,0,2,0,63.5,0.0
韋紀力,吉村圭司,0,1,0,73.0,0.0
韋紀力,比安威詹 希斯,0,1,0,5.6,0.0
韋紀力,鄭俊偉,0,1,0,17.0,0.0
馬昆,大衛希斯,0,1,0,42.0,0.0
馬昆,沈集成,0,1,0,61.0,0.0
馬昆,賀賢,0,1,0,36.0,0.0
馬昆,郗國思,0,1,1,13.0,0.0
高力德,杉山晴紀,0,1,0,101.0,0.0
麥文堅,岳本賢,0,2,0,21.3,0.0
麥文堅,廖康銘,0,1,0,108.0,0.0
麥文堅,沈集成,0,1,0,18.0,0.0
麥文堅,游達榮,0,1,0,46.0,0.0
奧爾民,韋達,0,2,0,47.5,0.0
麥當能,呂健威,0,1,0,26.0,0.0
黃寶妮,沈集成,0,1,0,51.0,0.0
黃寶妮,羅富全,0,1,0,24.0,0.0
黃寶妮,葉楚航,0,2,0,11.8,0.0
黃寶妮,賀賢,0,6,1,31.6,0.0
奧爾民,黎昭昇,0,2,1,35.5,0.0
黃智弘,告東尼,0,1,0,70.0,0.0
黃智弘,大衛希斯,0,5,2,53.7,0.0
黃智弘,姚本輝,0,1,0,7.5,0.0
黃智弘,巫偉傑,0,1,0,22.0,0.0
川田將雅,中內田充正,0,1,1,9.3,0.0
黃智弘,文家良,0,2,0,71.9,0.0
黃智弘,方嘉柏,0,9,0,23.6,0.0
黃智弘,沈集成,0,4,0,29.0,0.0
黃智弘,葉楚航,0,1,0,33.0,0.0
黃智弘,鄭俊偉,0,2,0,12.6,0.0
黎應揚,白祈達,0,1,0,106.0,0.0
川田將雅,杉山晴紀,0,1,0,47.0,0.0
何澤堯,黎昭昇,0,7,1,36.1,0.0
司徒岳,伊比軒,0,1,0,175.0,0.0
周俊樂,丁冠豪,0,3,0,45.7,0.0
周俊樂,伍鵬志,0,3,0,94.3,0.0
周俊樂,呂健威,0,4,0,37.5,0.0
周俊樂,大衛希斯,0,1,0,20.0,0.0
川田將雅,高野友和,0,1,0,10.0,0.0
巫顯東,丁冠豪,0,1,0,116.0,0.0
周俊樂,巫偉傑,0,11,1,83.8,0.0
周俊樂,廖康銘,0,1,0,20.0,0.0
周俊樂,文家良,0,11,1,82.5,0.0
周俊樂,沈集成,0,13,1,45.6,0.0
周俊樂,游達榮,0,2,0,42.0,0.0
巫顯東,呂健威,0,1,0,60.0,0.0
何澤堯,丁冠豪,0,1,0,16.0,0.0
