RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 2,沙田,AWT,1650,29-56d,1,9,2,15.99,11.11,22.22,ClassVenueDistance
Class 3,跑馬地,Turf,1200,91d+,1,9,1,18.51,11.11,11.11,ClassVenueDistance
Class 3,跑馬地,Turf,1650,57-90d,1,9,4,30.41,11.11,44.44,ClassVenueDistance
Class 5,跑馬地,Turf,2200,<=14d,1,9,3,9.93,11.11,33.33,ClassVenueDistance
Class 1,沙田,Turf,1200,<=14d,0,9,2,16.38,0.0,22.22,ClassVenueDistance
Class 2,沙田,AWT,1200,<=14d,2,8,3,11.76,25.0,37.5,ClassVenueDistance
Class 2,跑馬地,Turf,1000,15-28d,2,8,4,15.35,25.0,50.0,ClassVenueDistance
Class 3,跑馬地,Turf,2200,15-28d,2,8,5,8.22,25.0,62.5,ClassVenueDistance
Class 2,沙田,Turf,1600,<=14d,1,8,3,21.28,12.5,37.5,ClassVenueDistance
Class 3,沙田,Turf,1200,91d+,1,8,2,35.22,12.5,25.0,ClassVenueDistance
Class 5,沙田,Turf,1200,57-90d,1,8,3,63.62,12.5,37.5,ClassVenueDistance
Group 1,沙田,AWT,1200,15-28d,1,8,3,13.94,12.5,37.5,ClassVenueDistance
Group 1,沙田,Turf,1400,29-56d,1,8,3,35.31,12.5,37.5,ClassVenueDistance
Group 1,跑馬地,Turf,1000,15-28d,1,8,2,18.48,12.5,25.0,ClassVenueDistance
Group 3,跑馬地,Turf,1800,29-56d,1,8,3,15.91,12.5,37.5,ClassVenueDistance
Unknown,沙田,Turf,1800,29-56d,1,8,2,11.99,12.5,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1800,29-56d,0,8,3,19.39,0.0,37.5,ClassVenueDistance
Class 3,沙田,Turf,1400,91d+,0,8,1,52.38,0.0,12.5,ClassVenueDistance
Class 4,沙田,AWT,1800,<=14d,0,8,2,33.78,0.0,25.0,ClassVenueDistance
Class 4,跑馬地,Turf,1650,91d+,0,8,0,40.25,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1800,<=14d,0,8,0,42.7,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1000,15-28d,2,7,4,20.13,28.57,57.14,ClassVenueDistance
Class 1,沙田,Turf,1600,15-28d,1,7,3,13.76,14.29,42.86,ClassVenueDistance
Group 1,跑馬地,Turf,1650,15-28d,1,7,3,21.71,14.29,42.86,ClassVenueDistance
Class 2,沙田,Turf,2000,29-56d,0,7,3,10.57,0.0,42.86,ClassVenueDistance
Class 3,跑馬地,Turf,2200,29-56d,0,7,1,20.69,0.0,14.29,ClassVenueDistance
Class 5,沙田,Turf,1000,15-28d,0,7,2,19.63,0.0,28.57,ClassVenueDistance
Class 5,沙田,Turf,2000,29-56d,0,7,1,17.1,0.0,14.29,ClassVenueDistance
Group 3,沙田,Turf,1600,29-56d,0,7,2,11.23,0.0,28.57,ClassVenueDistance
Class 4,沙田,AWT,1800,29-56d,2,6,3,38.7,33.33,50.0,ClassVenueDistance
Group 2,沙田,Turf,1200,29-56d,2,6,3,37.95,33.33,50.0,ClassVenueDistance
Class 1,跑馬地,Turf,1650,15-28d,1,6,2,10.55,16.67,33.33,ClassVenueDistance
Class 2,沙田,Turf,1000,29-56d,1,6,2,9.82,16.67,33.33,ClassVenueDistance
Class 2,跑馬地,Turf,1650,<=14d,1,6,2,16.58,16.67,33.33,ClassVenueDistance
Class 5,沙田,AWT,1200,57-90d,1,6,2,8.78,16.67,33.33,ClassVenueDistance
Class 5,沙田,Turf,1000,29-56d,1,6,1,17.88,16.67,16.67,ClassVenueDistance
Group 3,沙田,Turf,1800,<=14d,1,6,2,40.63,16.67,33.33,ClassVenueDistance
Class 1,沙田,Turf,1400,29-56d,0,6,2,17.97,0.0,33.33,ClassVenueDistance
Class 3,沙田,Turf,1000,57-90d,0,6,1,23.17,0.0,16.67,ClassVenueDistance
Class 3,跑馬地,Turf,1200,57-90d,0,6,1,36.42,0.0,16.67,ClassVenueDistance
Class 4,沙田,Turf,1000,91d+,0,6,0,62.65,0.0,0.0,ClassVenueDistance
Class 5,跑馬地,Turf,1000,57-90d,0,6,1,16.35,0.0,16.67,ClassVenueDistance
Group 2,沙田,Turf,2000,<=14d,0,6,1,37.67,0.0,16.67,ClassVenueDistance
Class 1,沙田,Turf,1000,15-28d,1,5,2,6.98,20.0,40.0,ClassVenueDistance
Class 3,沙田,Turf,1200,57-90d,1,5,1,81.34,20.0,20.0,ClassVenueDistance
Class 3,跑馬地,Turf,1800,57-90d,1,5,2,13.36,20.0,40.0,ClassVenueDistance
Group 1,沙田,Turf,1200,29-56d,1,5,2,40.92,20.0,40.0,ClassVenueDistance
Group 1,沙田,Turf,1600,29-56d,1,5,2,9.8,20.0,40.0,ClassVenueDistance
Group 3,沙田,Turf,1400,29-56d,1,5,2,30.26,20.0,40.0,ClassVenueDistance
Group 3,沙田,Turf,2400,<=14d,1,5,2,8.62,20.0,40.0,ClassVenueDistance
Class 2,跑馬地,Turf,1800,<=14d,0,5,0,32.56,0.0,0.0,ClassVenueDistance
Class 4,沙田,Turf,1000,57-90d,0,5,1,50.0,0.0,20.0,ClassVenueDistance
Class 4,沙田,Turf,1600,91d+,0,5,0,80.84,0.0,0.0,ClassVenueDistance
Class 5,跑馬地,Turf,1200,57-90d,0,5,1,47.6,0.0,20.0,ClassVenueDistance
Group 1,跑馬地,Turf,1650,29-56d,0,5,1,13.54,0.0,20.0,ClassVenueDistance
Group 3,沙田,Turf,1800,29-56d,0,5,1,25.54,0.0,20.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,15-28d,1,4,2,5.2,25.0,50.0,ClassVenueDistance
Class 5,沙田,AWT,1800,57-90d,1,4,2,10.95,25.0,50.0,ClassVenueDistance
Class 5,跑馬地,Turf,1800,29-56d,1,4,2,9.57,25.0,50.0,ClassVenueDistance
Class 5,跑馬地,Turf,2200,29-56d,1,4,2,16.12,25.0,50.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,<=14d,1,4,1,13.5,25.0,25.0,ClassVenueDistance
Class 1,沙田,Turf,1200,29-56d,0,4,1,9.98,0.0,25.0,ClassVenueDistance
Class 2,沙田,AWT,1200,29-56d,0,4,2,18.48,0.0,50.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,29-56d,0,4,2,16.42,0.0,50.0,ClassVenueDistance
Class 4,跑馬地,Turf,1000,91d+,0,4,0,40.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,Turf,1200,91d+,0,4,0,30.0,0.0,0.0,ClassVenueDistance
Class 5,沙田,Turf,1400,91d+,0,4,1,33.75,0.0,25.0,ClassVenueDistance
Class 5,沙田,Turf,1600,57-90d,0,4,1,42.75,0.0,25.0,ClassVenueDistance
Class 5,跑馬地,Turf,1650,57-90d,0,4,0,43.75,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,15-28d,0,4,0,12.18,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,29-56d,0,4,2,20.27,0.0,50.0,ClassVenueDistance
Group 2,沙田,Turf,1600,15-28d,0,4,0,54.1,0.0,0.0,ClassVenueDistance
Unknown,沙田,Turf,2000,<=14d,0,4,0,19.5,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1200,15-28d,2,3,3,8.37,66.67,100.0,ClassVenueDistance
Class 3,沙田,Turf,1000,91d+,1,3,2,108.93,33.33,66.67,ClassVenueDistance
Group 1,沙田,Turf,2000,29-56d,1,3,1,7.47,33.33,33.33,ClassVenueDistance
Group 1,沙田,Turf,2000,91d+,1,3,2,19.57,33.33,66.67,ClassVenueDistance
Class 1,跑馬地,Turf,1650,<=14d,0,3,1,9.9,0.0,33.33,ClassVenueDistance
Class 2,沙田,Turf,1200,91d+,0,3,1,59.27,0.0,33.33,ClassVenueDistance
Class 2,沙田,Turf,2000,<=14d,0,3,0,24.07,0.0,0.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,<=14d,0,3,0,27.0,0.0,0.0,ClassVenueDistance
Class 3,跑馬地,Turf,2200,<=14d,0,3,0,22.33,0.0,0.0,ClassVenueDistance
Class 4,沙田,AWT,1650,57-90d,0,3,0,16.1,0.0,0.0,ClassVenueDistance
Class 5,沙田,AWT,1800,29-56d,0,3,1,20.43,0.0,33.33,ClassVenueDistance
Class 5,沙田,Turf,1800,29-56d,0,3,1,8.3,0.0,33.33,ClassVenueDistance
Class 5,跑馬地,Turf,1000,91d+,0,3,0,33.1,0.0,0.0,ClassVenueDistance
Class 5,跑馬地,Turf,2200,57-90d,0,3,0,32.53,0.0,0.0,ClassVenueDistance
Griffin,沙田,Turf,1200,29-56d,0,3,1,11.97,0.0,33.33,ClassVenueDistance
Group 1,沙田,Turf,1200,91d+,0,3,1,76.33,0.0,33.33,ClassVenueDistance
Group 1,沙田,Turf,1200,<=14d,0,3,0,157.67,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1000,<=14d,0,3,0,19.0,0.0,0.0,ClassVenueDistance
Group 2,沙田,Turf,2000,29-56d,0,3,1,64.33,0.0,33.33,ClassVenueDistance
Group 3,沙田,Turf,1400,<=14d,0,3,0,10.3,0.0,0.0,ClassVenueDistance
