Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
奧爾民,跑馬地,Turf,1200,5,41,15,33.4,36.05,12.2,36.59,81.46
奧爾民,沙田,Turf,1200,4,41,10,-13.8,44.2,9.76,24.39,-33.66
何澤堯,沙田,Turf,1200,3,41,13,-31.5,28.58,7.32,31.71,-76.83
艾道拿,跑馬地,Turf,1650,3,41,7,-19.9,22.85,7.32,17.07,-48.54
奧爾民,沙田,Turf,1400,1,41,4,-25.0,48.62,2.44,9.76,-60.98
黃寶妮,沙田,AWT,1200,6,40,10,15.099999999999998,15.0,15.0,25.0,37.75
湯普新,跑馬地,Turf,1650,0,40,5,-40.0,51.34,0.0,12.5,-100.0
蔡明紹,沙田,AWT,1200,5,38,19,-8.3,17.31,13.16,50.0,-21.84
賀銘年,沙田,Turf,1200,1,38,5,-25.0,41.73,2.63,13.16,-65.79
霍宏聲,沙田,Turf,1600,3,37,8,-9.0,28.32,8.11,21.62,-24.32
黃智弘,沙田,Turf,1200,5,35,7,6.699999999999999,34.77,14.29,20.0,19.14
班德禮,沙田,Turf,1600,2,35,10,-8.7,25.07,5.71,28.57,-24.86
何澤堯,跑馬地,Turf,1650,5,33,9,21.6,17.01,15.15,27.27,65.45
湯普新,沙田,Turf,1600,1,33,2,-15.0,49.06,3.03,6.06,-45.45
賀銘年,跑馬地,Turf,1650,1,32,6,-16.0,44.2,3.12,18.75,-50.0
潘頓,沙田,Turf,1000,10,31,20,-1.9,4.16,32.26,64.52,-6.13
霍宏聲,沙田,AWT,1200,3,31,9,-4.0,14.48,9.68,29.03,-12.9
董明朗,跑馬地,Turf,1650,2,31,6,-12.3,43.11,6.45,19.35,-39.68
巫顯東,沙田,Turf,1400,0,31,0,-31.0,128.23,0.0,0.0,-100.0
艾兆禮,跑馬地,Turf,1000,7,30,14,13.5,14.81,23.33,46.67,45.0
楊明綸,沙田,Turf,1600,3,30,6,26.6,44.56,10.0,20.0,88.67
田泰安,沙田,Turf,1000,0,30,4,-30.0,17.88,0.0,13.33,-100.0
蔡明紹,沙田,Turf,1000,5,29,11,7.600000000000001,28.46,17.24,37.93,26.21
潘明輝,沙田,AWT,1650,2,29,6,-8.6,18.49,6.9,20.69,-29.66
田泰安,跑馬地,Turf,1000,2,29,5,-8.2,20.83,6.9,17.24,-28.28
鍾易禮,沙田,Turf,1600,1,29,5,-14.0,43.11,3.45,17.24,-48.28
奧爾民,跑馬地,Turf,1650,0,29,6,-29.0,21.94,0.0,20.69,-100.0
艾兆禮,沙田,AWT,1200,6,28,10,2.9999999999999982,22.22,21.43,35.71,10.71
巴度,沙田,Turf,1000,2,28,7,-22.1,36.24,7.14,25.0,-78.93
潘明輝,沙田,AWT,1200,0,28,7,-28.0,20.76,0.0,25.0,-100.0
希威森,沙田,Turf,1600,2,27,8,-18.1,24.69,7.41,29.63,-67.04
潘明輝,沙田,Turf,1000,1,27,9,-17.2,35.67,3.7,33.33,-63.7
希威森,沙田,Turf,1000,0,27,3,-27.0,38.42,0.0,11.11,-100.0
楊明綸,沙田,AWT,1200,0,27,2,-27.0,38.03,0.0,7.41,-100.0
潘頓,跑馬地,Turf,1000,4,26,9,-8.7,6.08,15.38,34.62,-33.46
周俊樂,沙田,Turf,1600,2,26,3,-7.2,38.18,7.69,11.54,-27.69
艾道拿,沙田,AWT,1200,1,26,5,-16.8,19.8,3.85,19.23,-64.62
蔡明紹,沙田,AWT,1650,1,26,4,-19.3,20.04,3.85,15.38,-74.23
霍宏聲,跑馬地,Turf,1000,1,26,11,3.0,13.16,3.85,42.31,11.54
布文,沙田,AWT,1200,0,26,3,-26.0,18.63,0.0,11.54,-100.0
布文,沙田,Turf,1000,1,25,10,-22.5,15.25,4.0,40.0,-90.0
希威森,跑馬地,Turf,1000,1,25,6,-22.3,42.87,4.0,24.0,-89.2
艾兆禮,沙田,Turf,1000,0,25,5,-25.0,32.22,0.0,20.0,-100.0
麥道朗,沙田,Turf,1200,8,24,14,12.100000000000001,9.8,33.33,58.33,50.42
布文,跑馬地,Turf,1000,3,24,9,-11.1,8.97,12.5,37.5,-46.25
田泰安,沙田,AWT,1200,3,24,10,-15.3,9.52,12.5,41.67,-63.75
艾道拿,沙田,Turf,1000,3,24,11,1.5999999999999996,21.15,12.5,45.83,6.67
麥道朗,沙田,Turf,1400,3,24,8,-16.7,12.05,12.5,33.33,-69.58
蔡明紹,跑馬地,Turf,1000,2,24,5,-14.2,24.38,8.33,20.83,-59.17
黃智弘,跑馬地,Turf,1000,2,24,8,-10.8,13.25,8.33,33.33,-45.0
鍾易禮,沙田,AWT,1200,1,24,3,-4.0,35.92,4.17,12.5,-16.67
班德禮,跑馬地,Turf,1000,5,23,8,18.6,23.77,21.74,34.78,80.87
田泰安,跑馬地,Turf,1800,5,23,7,21.8,14.08,21.74,30.43,94.78
潘明輝,跑馬地,Turf,1000,1,23,6,-18.5,20.71,4.35,26.09,-80.43
楊明綸,沙田,Turf,1000,0,23,0,-23.0,72.83,0.0,0.0,-100.0
潘頓,沙田,AWT,1200,4,22,10,1.0000000000000009,6.05,18.18,45.45,4.55
黃寶妮,沙田,Turf,1000,3,22,6,0.39999999999999947,25.61,13.64,27.27,1.82
班德禮,沙田,AWT,1200,2,22,4,5.0,25.39,9.09,18.18,22.73
田泰安,沙田,Turf,1800,2,22,5,-3.9000000000000004,22.62,9.09,22.73,-17.73
艾兆禮,跑馬地,Turf,1800,2,22,4,-9.2,19.23,9.09,18.18,-41.82
黃智弘,沙田,AWT,1200,2,22,9,-9.5,14.74,9.09,40.91,-43.18
艾兆禮,沙田,AWT,1650,0,22,2,-22.0,18.84,0.0,9.09,-100.0
梁家俊,沙田,Turf,1000,3,21,7,7.7,35.52,14.29,33.33,36.67
何澤堯,沙田,Turf,1600,2,21,10,-15.2,14.28,9.52,47.62,-72.38
巴度,跑馬地,Turf,1800,2,21,7,-9.5,11.04,9.52,33.33,-45.24
奧爾民,沙田,Turf,1600,1,21,4,-9.0,27.63,4.76,19.05,-42.86
巴度,沙田,AWT,1200,1,21,4,-12.6,25.17,4.76,19.05,-60.0
巴度,沙田,Turf,1800,1,21,4,-14.8,15.0,4.76,19.05,-70.48
湯普新,沙田,AWT,1200,1,21,1,-16.0,48.63,4.76,4.76,-76.19
湯普新,沙田,AWT,1650,1,21,5,-14.9,28.69,4.76,23.81,-70.95
貝知仁,沙田,Turf,1400,1,21,2,-7.0,54.25,4.76,9.52,-33.33
鍾易禮,沙田,Turf,1000,1,21,1,-11.0,80.02,4.76,4.76,-52.38
田泰安,沙田,AWT,1650,0,21,6,-21.0,11.96,0.0,28.57,-100.0
蔡明紹,跑馬地,Turf,1800,0,21,4,-21.0,21.72,0.0,19.05,-100.0
楊明綸,沙田,AWT,1650,3,20,5,10.3,41.86,15.0,25.0,51.5
布文,沙田,AWT,1650,2,20,7,-10.8,11.05,10.0,35.0,-54.0
鍾易禮,沙田,AWT,1650,2,20,5,81.0,34.96,10.0,25.0,405.0
鍾易禮,跑馬地,Turf,1000,2,20,5,3.7,26.49,10.0,25.0,18.5
霍宏聲,沙田,Turf,1000,2,20,4,-13.0,21.8,10.0,20.0,-65.0
周俊樂,沙田,AWT,1200,1,20,3,-15.5,31.58,5.0,15.0,-77.5
梁家俊,沙田,AWT,1200,1,20,5,-12.1,24.64,5.0,25.0,-60.5
艾道拿,沙田,AWT,1650,1,20,4,-10.4,14.46,5.0,20.0,-52.0
楊明綸,跑馬地,Turf,1000,0,20,2,-20.0,45.22,0.0,10.0,-100.0
布文,跑馬地,Turf,1800,4,19,7,6.0,13.19,21.05,36.84,31.58
艾道拿,沙田,Turf,1800,4,19,8,18.7,12.32,21.05,42.11,98.42
潘頓,跑馬地,Turf,1800,3,19,8,-6.5,6.76,15.79,42.11,-34.21
艾兆禮,沙田,Turf,1800,3,19,6,1.0,16.69,15.79,31.58,5.26
周俊樂,沙田,Turf,1000,2,19,4,48.3,48.64,10.53,21.05,254.21
巴度,跑馬地,Turf,1000,2,19,8,-9.3,18.66,10.53,42.11,-48.95
黃寶妮,沙田,AWT,1650,2,19,4,-0.3000000000000007,20.03,10.53,21.05,-1.58
巫顯東,跑馬地,Turf,1200,1,19,4,46.0,53.03,5.26,21.05,242.11
班德禮,沙田,Turf,1000,0,19,1,-19.0,36.37,0.0,5.26,-100.0
賀銘年,沙田,Turf,1600,0,19,2,-19.0,36.38,0.0,10.53,-100.0
潘頓,沙田,AWT,1650,5,18,12,1.4000000000000004,6.22,27.78,66.67,7.78
黃智弘,沙田,AWT,1650,3,18,7,36.0,17.12,16.67,38.89,200.0
梁家俊,沙田,AWT,1650,2,18,5,-2.0,30.25,11.11,27.78,-11.11
潘明輝,沙田,Turf,1800,0,18,2,-18.0,31.83,0.0,11.11,-100.0
潘明輝,跑馬地,Turf,1800,0,18,7,-18.0,15.79,0.0,38.89,-100.0
董明朗,沙田,Turf,1600,0,18,1,-18.0,47.85,0.0,5.56,-100.0
艾道拿,沙田,Turf,2000,3,17,6,11.7,23.81,17.65,35.29,68.82
布文,沙田,Turf,1800,2,17,5,-7.4,13.1,11.76,29.41,-43.53
希威森,沙田,AWT,1650,2,17,3,-2.9,40.05,11.76,17.65,-17.06
霍宏聲,沙田,AWT,1650,2,17,6,1.7999999999999998,24.02,11.76,35.29,10.59
布文,沙田,Turf,2000,1,17,2,-11.5,17.41,5.88,11.76,-67.65
黃寶妮,沙田,Turf,1600,1,17,2,-12.9,39.17,5.88,11.76,-75.88
艾道拿,跑馬地,Turf,1000,0,17,3,-17.0,22.09,0.0,17.65,-100.0
蔡明紹,沙田,Turf,1800,0,17,6,-17.0,35.27,0.0,35.29,-100.0
貝知仁,沙田,Turf,1200,0,17,5,-17.0,52.02,0.0,29.41,-100.0
貝知仁,跑馬地,Turf,1200,0,17,3,-17.0,35.24,0.0,17.65,-100.0
潘頓,沙田,Turf,1800,3,16,6,-4.0,5.01,18.75,37.5,-25.0
艾道拿,跑馬地,Turf,1800,2,16,5,11.9,18.34,12.5,31.25,74.38
巫顯東,沙田,Turf,1200,1,16,3,-12.7,94.14,6.25,18.75,-79.38
巴度,沙田,AWT,1650,1,16,4,-4.0,14.4,6.25,25.0,-25.0
巴度,沙田,Turf,2000,0,16,2,-16.0,24.79,0.0,12.5,-100.0
希威森,跑馬地,Turf,1800,0,16,2,-16.0,19.54,0.0,12.5,-100.0
霍宏聲,跑馬地,Turf,1800,0,16,4,-16.0,23.31,0.0,25.0,-100.0
潘明輝,沙田,Turf,2000,3,15,5,-1.7000000000000002,30.89,20.0,33.33,-11.33
艾兆禮,沙田,Turf,2000,2,15,5,-6.2,32.39,13.33,33.33,-41.33
周俊樂,跑馬地,Turf,1800,1,15,4,10.0,17.57,6.67,26.67,66.67
梁家俊,跑馬地,Turf,1800,0,15,2,-15.0,19.83,0.0,13.33,-100.0
湯普新,沙田,Turf,1000,0,15,3,-15.0,75.52,0.0,20.0,-100.0
班德禮,沙田,AWT,1650,0,15,2,-15.0,40.91,0.0,13.33,-100.0
田泰安,沙田,Turf,2000,0,15,6,-15.0,15.35,0.0,40.0,-100.0
賀銘年,沙田,AWT,1200,0,15,3,-15.0,40.29,0.0,20.0,-100.0
何澤堯,沙田,AWT,1200,3,14,7,5.5,7.81,21.43,50.0,39.29
梁家俊,跑馬地,Turf,1000,1,14,1,-9.7,23.23,7.14,7.14,-69.29
楊明綸,跑馬地,Turf,1800,1,14,3,-2.0,29.52,7.14,21.43,-14.29
賀銘年,沙田,Turf,1000,1,14,2,-4.0,44.71,7.14,14.29,-28.57
周俊樂,沙田,AWT,1650,0,14,0,-14.0,23.22,0.0,0.0,-100.0
班德禮,沙田,Turf,1800,0,14,4,-14.0,30.49,0.0,28.57,-100.0
麥道朗,跑馬地,Turf,1200,3,13,8,-2.0000000000000004,4.54,23.08,61.54,-15.38
湯普新,跑馬地,Turf,1800,2,13,5,-1.7999999999999998,44.52,15.38,38.46,-13.85
潘頓,沙田,Turf,2000,2,13,5,-9.0,6.4,15.38,38.46,-69.23
董明朗,沙田,AWT,1200,2,13,3,58.0,24.75,15.38,23.08,446.15
何澤堯,沙田,Turf,1000,1,13,1,-8.5,37.58,7.69,7.69,-65.38
希威森,沙田,Turf,1800,1,13,2,-1.0,41.3,7.69,15.38,-7.69
周俊樂,跑馬地,Turf,1000,0,13,0,-13.0,28.13,0.0,0.0,-100.0
湯普新,跑馬地,Turf,1000,0,13,2,-13.0,47.89,0.0,15.38,-100.0
蔡明紹,沙田,Turf,2000,0,13,2,-13.0,36.44,0.0,15.38,-100.0
賀銘年,沙田,AWT,1650,0,13,1,-13.0,35.2,0.0,7.69,-100.0
鍾易禮,沙田,Turf,1800,0,13,1,-13.0,51.56,0.0,7.69,-100.0
鍾易禮,跑馬地,Turf,1800,0,13,0,-13.0,48.23,0.0,0.0,-100.0
黃智弘,沙田,Turf,1600,0,13,1,-13.0,46.31,0.0,7.69,-100.0
霍宏聲,沙田,Turf,1800,1,12,4,-2.1999999999999993,28.17,8.33,33.33,-18.33
湯普新,沙田,Turf,2000,0,12,1,-12.0,46.48,0.0,8.33,-100.0
莫雷拉,沙田,Turf,1400,3,11,4,-2.1000000000000005,10.21,27.27,36.36,-19.09
楊明綸,沙田,Turf,1800,2,11,4,14.2,36.84,18.18,36.36,129.09
希威森,沙田,AWT,1200,1,11,2,-8.2,48.25,9.09,18.18,-74.55
班德禮,跑馬地,Turf,1800,1,11,1,-6.1,13.43,9.09,9.09,-55.45
黃智弘,沙田,Turf,1000,1,11,3,2.0,44.06,9.09,27.27,18.18
巫顯東,跑馬地,Turf,1650,0,11,0,-11.0,73.0,0.0,0.0,-100.0
梁家俊,沙田,Turf,1800,0,11,1,-11.0,35.29,0.0,9.09,-100.0
金誠剛,沙田,Turf,1400,0,11,1,-11.0,81.17,0.0,9.09,-100.0
麥當能,沙田,Turf,1400,0,11,0,-11.0,97.27,0.0,0.0,-100.0
麥道朗,沙田,Turf,1600,3,10,6,-2.0999999999999996,5.08,30.0,60.0,-21.0
巫顯東,沙田,AWT,1650,1,10,1,-3.5999999999999996,58.34,10.0,10.0,-36.0
湯普新,沙田,Turf,1800,1,10,1,-3.8,66.22,10.0,10.0,-38.0
艾兆禮,跑馬地,Turf,2200,1,10,4,-7.1,9.69,10.0,40.0,-71.0
賀銘年,跑馬地,Turf,1000,1,10,2,14.0,34.88,10.0,20.0,140.0
奧爾民,沙田,AWT,1200,0,10,0,-10.0,41.58,0.0,0.0,-100.0
奧爾民,沙田,Turf,1000,0,10,1,-10.0,45.31,0.0,10.0,-100.0
奧爾民,沙田,Turf,1800,0,10,1,-10.0,38.1,0.0,10.0,-100.0
董明朗,沙田,Turf,1000,0,10,0,-10.0,80.1,0.0,0.0,-100.0
賀銘年,沙田,Turf,1800,0,10,0,-10.0,42.65,0.0,0.0,-100.0
黃智弘,跑馬地,Turf,1800,0,10,2,-10.0,16.94,0.0,20.0,-100.0
何澤堯,跑馬地,Turf,1800,3,9,4,21.3,8.68,33.33,44.44,236.67
韋紀力,沙田,Turf,1400,3,9,4,8.900000000000002,14.58,33.33,44.44,98.89
何澤堯,沙田,AWT,1650,1,9,2,-3.4000000000000004,7.71,11.11,22.22,-37.78
巴度,跑馬地,Turf,2200,1,9,5,-3.5999999999999996,11.41,11.11,55.56,-40.0
希威森,沙田,Turf,2000,1,9,2,-4.0,46.67,11.11,22.22,-44.44
莫雅,跑馬地,Turf,1200,1,9,3,-4.4,7.69,11.11,33.33,-48.89
奧爾民,沙田,AWT,1650,0,9,0,-9.0,44.78,0.0,0.0,-100.0
貝知仁,沙田,AWT,1200,0,9,1,-9.0,34.22,0.0,11.11,-100.0
麥道朗,沙田,Turf,2000,3,8,5,-4.5,5.18,37.5,62.5,-56.25
奧爾民,跑馬地,Turf,1000,2,8,3,56.4,17.77,25.0,37.5,705.0
何澤堯,跑馬地,Turf,1000,1,8,2,-4.1,11.0,12.5,25.0,-51.25
金誠剛,跑馬地,Turf,1200,1,8,1,4.0,33.88,12.5,12.5,50.0
麥道朗,沙田,AWT,1200,1,8,4,-3.8,8.16,12.5,50.0,-47.5
麥道朗,跑馬地,Turf,1650,1,8,1,2.0,10.15,12.5,12.5,25.0
周俊樂,沙田,Turf,1800,0,8,2,-8.0,56.5,0.0,25.0,-100.0
巫顯東,沙田,Turf,1600,0,8,1,-8.0,98.75,0.0,12.5,-100.0
布文,跑馬地,Turf,2200,0,8,0,-8.0,9.01,0.0,0.0,-100.0
希威森,跑馬地,Turf,2200,0,8,2,-8.0,21.55,0.0,25.0,-100.0
班德禮,沙田,Turf,2000,0,8,1,-8.0,28.11,0.0,12.5,-100.0
莫雷拉,沙田,Turf,1200,0,8,6,-8.0,12.82,0.0,75.0,-100.0
董明朗,跑馬地,Turf,1000,0,8,0,-8.0,40.75,0.0,0.0,-100.0
貝知仁,跑馬地,Turf,1650,0,8,0,-8.0,23.38,0.0,0.0,-100.0
莫雅,跑馬地,Turf,1650,2,7,2,-2.0,5.59,28.57,28.57,-28.57
周俊樂,沙田,Turf,2000,1,7,2,-3.0,35.84,14.29,28.57,-42.86
潘頓,跑馬地,Turf,2200,1,7,3,-3.8,5.94,14.29,42.86,-54.29
田泰安,跑馬地,Turf,2200,1,7,2,-4.0,5.61,14.29,28.57,-57.14
薛恩,沙田,Turf,1200,1,7,1,-3.2,41.97,14.29,14.29,-45.71
鍾易禮,沙田,Turf,2000,1,7,2,2.6999999999999993,52.96,14.29,28.57,38.57
杜苑欣,跑馬地,Turf,1200,0,7,2,-7.0,17.46,0.0,28.57,-100.0
楊明綸,沙田,Turf,2000,0,7,2,-7.0,29.94,0.0,28.57,-100.0
董明朗,跑馬地,Turf,1800,0,7,2,-7.0,63.0,0.0,28.57,-100.0
薛恩,沙田,Turf,1400,0,7,1,-7.0,28.71,0.0,14.29,-100.0
貝知仁,沙田,Turf,1600,0,7,0,-7.0,45.66,0.0,0.0,-100.0
金誠剛,跑馬地,Turf,1650,0,7,3,-7.0,20.33,0.0,42.86,-100.0
韋紀力,沙田,Turf,1200,0,7,1,-7.0,22.33,0.0,14.29,-100.0
楊明綸,跑馬地,Turf,2200,2,6,4,5.5,13.92,33.33,66.67,91.67
班德禮,跑馬地,Turf,2200,2,6,3,4.6000000000000005,11.6,33.33,50.0,76.67
布文,沙田,AWT,1800,1,6,2,-2.7,6.03,16.67,33.33,-45.0
莫雅,沙田,Turf,1200,1,6,3,-0.9000000000000004,5.23,16.67,50.0,-15.0
莫雅,沙田,Turf,1400,1,6,5,-4.3,5.17,16.67,83.33,-71.67
蔡明紹,跑馬地,Turf,2200,1,6,3,-0.5,21.92,16.67,50.0,-8.33
馬昆,沙田,Turf,1200,1,6,1,2.3000000000000007,32.07,16.67,16.67,38.33
奧爾民,沙田,Turf,2000,0,6,0,-6.0,46.33,0.0,0.0,-100.0
奧爾民,跑馬地,Turf,1800,0,6,3,-6.0,17.57,0.0,50.0,-100.0
梁家俊,沙田,Turf,2000,0,6,0,-6.0,57.0,0.0,0.0,-100.0
湯普新,沙田,AWT,1800,0,6,1,-6.0,42.83,0.0,16.67,-100.0
董明朗,沙田,AWT,1650,0,6,1,-6.0,43.6,0.0,16.67,-100.0
薛恩,沙田,Turf,1600,0,6,4,-6.0,19.08,0.0,66.67,-100.0
賀銘年,跑馬地,Turf,1800,0,6,1,-6.0,26.15,0.0,16.67,-100.0
陳嘉熙,跑馬地,Turf,1200,0,6,1,-6.0,16.08,0.0,16.67,-100.0
霍宏聲,沙田,Turf,2000,0,6,1,-6.0,31.92,0.0,16.67,-100.0
巫顯東,沙田,Turf,1800,1,5,2,0.09999999999999964,16.68,20.0,40.0,2.0
杜苑欣,跑馬地,Turf,1650,1,5,2,1.2999999999999998,16.72,20.0,40.0,26.0
潘明輝,沙田,AWT,1800,1,5,2,1.2000000000000002,17.24,20.0,40.0,24.0
貝知仁,沙田,Turf,1000,1,5,1,8.0,38.6,20.0,20.0,160.0
麥道朗,沙田,Turf,1000,1,5,2,0.5999999999999996,8.82,20.0,40.0,12.0
