Jockey,Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
苗傑美,伍鵬志,0,1,0,-1.0,11.0,0.0,0.0,-100.0
苗傑美,姚本輝,0,1,0,-1.0,42.0,0.0,0.0,-100.0
范以誠,納斯,0,1,1,-1.0,49.0,0.0,100.0,-100.0
范以誠,雷拿及雷恩,0,1,0,-1.0,82.0,0.0,0.0,-100.0
莫艾誠,包義定,0,1,0,-1.0,114.0,0.0,0.0,-100.0
莫雅,伍鵬志,0,1,0,-1.0,12.0,0.0,0.0,-100.0
莫雅,羅富全,0,1,0,-1.0,4.3,0.0,0.0,-100.0
莫雅,范景新,0,1,0,-1.0,79.0,0.0,0.0,-100.0
莫雅,葉楚航,0,1,0,-1.0,6.7,0.0,0.0,-100.0
莫雅,蘇偉賢,0,1,0,-1.0,3.4,0.0,0.0,-100.0
莫雅,黎昭昇,0,1,0,-1.0,13.0,0.0,0.0,-100.0
莫雷拉,國枝榮,0,1,1,-1.0,3.2,0.0,100.0,-100.0
莫雷拉,廖康銘,0,1,0,-1.0,15.0,0.0,0.0,-100.0
莫雷拉,池江泰壽,0,1,1,-1.0,4.6,0.0,100.0,-100.0
莫雷拉,沈集成,0,1,0,-1.0,30.0,0.0,0.0,-100.0
菅原明良,高柳瑞樹,0,1,0,-1.0,76.0,0.0,0.0,-100.0
董明朗,巫偉傑,0,1,0,-1.0,39.0,0.0,0.0,-100.0
董明朗,廖康銘,0,1,0,-1.0,105.0,0.0,0.0,-100.0
董明朗,沈集成,0,1,0,-1.0,113.0,0.0,0.0,-100.0
薛凱華,游孝廉,0,1,0,-1.0,61.0,0.0,0.0,-100.0
薛凱華,菲德文及菲敦盟,0,1,0,-1.0,5.9,0.0,0.0,-100.0
薛凱華,馬漢雅,0,1,0,-1.0,148.0,0.0,0.0,-100.0
薛恩,廖康銘,0,1,0,-1.0,10.0,0.0,0.0,-100.0
薛恩,賀賢,0,1,0,-1.0,135.0,0.0,0.0,-100.0
薛恩,韋達,0,1,0,-1.0,35.0,0.0,0.0,-100.0
薛恩,高亮能,0,1,0,-1.0,16.0,0.0,0.0,-100.0
蘇銘倫,呂健威,0,1,0,-1.0,29.0,0.0,0.0,-100.0
蘇銘倫,告東尼,0,1,0,-1.0,7.9,0.0,0.0,-100.0
蘇銘倫,姚本輝,0,1,1,-1.0,60.0,0.0,100.0,-100.0
蘇銘倫,巫偉傑,0,1,0,-1.0,197.0,0.0,0.0,-100.0
蘇銘倫,葛威法,0,1,0,-1.0,6.1,0.0,0.0,-100.0
蘇銘倫,黎昭昇,0,1,0,-1.0,62.0,0.0,0.0,-100.0
西村淳也,杉山晴紀,0,1,0,-1.0,32.0,0.0,0.0,-100.0
貝知仁,巫偉傑,0,1,0,-1.0,15.0,0.0,0.0,-100.0
貝知仁,方嘉柏,0,1,0,-1.0,58.0,0.0,0.0,-100.0
貝知仁,蘇偉賢,0,1,0,-1.0,37.0,0.0,0.0,-100.0
貝知仁,賀賢,0,1,0,-1.0,16.0,0.0,0.0,-100.0
貝知仁,鄭俊偉,0,1,0,-1.0,62.0,0.0,0.0,-100.0
賀銘年,蘇偉賢,0,1,1,-1.0,26.0,0.0,100.0,-100.0
連達文,藤原英昭,0,1,0,-1.0,94.0,0.0,0.0,-100.0
郭立基,活侯夫人及布特,0,1,0,-1.0,34.0,0.0,0.0,-100.0
金美琪,大衛希斯,0,1,0,-1.0,47.0,0.0,0.0,-100.0
金美琪,廖康銘,0,1,0,-1.0,6.4,0.0,0.0,-100.0
金美琪,方嘉柏,0,1,0,-1.0,21.0,0.0,0.0,-100.0
金美琪,黎昭昇,0,1,0,-1.0,10.0,0.0,0.0,-100.0
金誠剛,葉楚航,0,1,0,-1.0,13.0,0.0,0.0,-100.0
金誠剛,蔡約翰,0,1,0,-1.0,8.3,0.0,0.0,-100.0
金誠剛,韋達,0,1,0,-1.0,7.3,0.0,0.0,-100.0
鍾易禮,大衛希斯,0,1,0,-1.0,169.0,0.0,0.0,-100.0
鍾易禮,廖康銘,0,1,0,-1.0,42.0,0.0,0.0,-100.0
鍾易禮,方嘉柏,0,1,0,-1.0,8.1,0.0,0.0,-100.0
鍾易禮,蘇偉賢,0,1,0,-1.0,18.0,0.0,0.0,-100.0
陳嘉熙,呂健威,0,1,0,-1.0,80.0,0.0,0.0,-100.0
陳嘉熙,巫偉傑,0,1,0,-1.0,12.0,0.0,0.0,-100.0
霍宏聲,告東尼,0,1,0,-1.0,11.0,0.0,0.0,-100.0
韋紀力,吉村圭司,0,1,0,-1.0,73.0,0.0,0.0,-100.0
韋紀力,廖康銘,0,1,0,-1.0,4.2,0.0,0.0,-100.0
韋紀力,方嘉柏,0,1,0,-1.0,20.0,0.0,0.0,-100.0
韋紀力,比安威詹 希斯,0,1,0,-1.0,5.6,0.0,0.0,-100.0
韋紀力,鄭俊偉,0,1,0,-1.0,17.0,0.0,0.0,-100.0
韋紀力,韋達,0,1,0,-1.0,21.0,0.0,0.0,-100.0
馬昆,丁冠豪,0,1,0,-1.0,106.0,0.0,0.0,-100.0
馬昆,容天鵬,0,1,0,-1.0,38.0,0.0,0.0,-100.0
馬昆,沈集成,0,1,0,-1.0,61.0,0.0,0.0,-100.0
馬昆,游達榮,0,1,0,-1.0,3.2,0.0,0.0,-100.0
馬昆,蘇偉賢,0,1,0,-1.0,35.0,0.0,0.0,-100.0
馬昆,黎昭昇,0,1,0,-1.0,76.0,0.0,0.0,-100.0
麥當能,伍鵬志,0,1,0,-1.0,32.0,0.0,0.0,-100.0
麥當能,廖康銘,0,1,0,-1.0,48.0,0.0,0.0,-100.0
麥當能,文家良,0,1,0,-1.0,16.0,0.0,0.0,-100.0
麥當能,游達榮,0,1,0,-1.0,155.0,0.0,0.0,-100.0
麥當能,羅富全,0,1,0,-1.0,16.0,0.0,0.0,-100.0
麥當能,葉楚航,0,1,0,-1.0,70.0,0.0,0.0,-100.0
麥當能,賀賢,0,1,0,-1.0,192.0,0.0,0.0,-100.0
麥當能,黎昭昇,0,1,0,-1.0,180.0,0.0,0.0,-100.0
麥道朗,中內田充正,0,1,1,-1.0,3.5,0.0,100.0,-100.0
麥道朗,廖康銘,0,1,0,-1.0,6.0,0.0,0.0,-100.0
麥道朗,賀賢,0,1,0,-1.0,6.9,0.0,0.0,-100.0
黃寶妮,呂健威,0,1,0,-1.0,12.0,0.0,0.0,-100.0
黃寶妮,黎昭昇,0,1,0,-1.0,8.7,0.0,0.0,-100.0
黃智弘,呂健威,0,1,0,-1.0,14.0,0.0,0.0,-100.0
黃智弘,告東尼,0,1,0,-1.0,70.0,0.0,0.0,-100.0
黃智弘,容天鵬,0,1,0,-1.0,4.3,0.0,0.0,-100.0
黃智弘,廖康銘,0,1,0,-1.0,25.0,0.0,0.0,-100.0
黎應揚,白祈達,0,1,0,-1.0,106.0,0.0,0.0,-100.0
