Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
葉楚航,跑馬地,Turf,1650,2,27,6,9.100000000000001,18.76,7.41,22.22,33.7
大衛希斯,跑馬地,Turf,1800,1,27,8,-19.1,19.19,3.7,29.63,-70.74
賀賢,沙田,Turf,1600,1,27,6,-19.4,23.14,3.7,22.22,-71.85
黎昭昇,跑馬地,Turf,1000,1,27,8,-24.3,14.58,3.7,29.63,-90.0
巫偉傑,沙田,AWT,1200,2,26,7,-6.1,16.14,7.69,26.92,-23.46
徐雨石,沙田,AWT,1200,1,26,7,-19.8,27.18,3.85,26.92,-76.15
沈集成,沙田,AWT,1200,1,26,6,-21.5,17.33,3.85,23.08,-82.69
文家良,沙田,Turf,1600,5,25,9,42.1,39.79,20.0,36.0,168.4
告東尼,跑馬地,Turf,1800,4,25,11,3.8,17.22,16.0,44.0,15.2
伍鵬志,沙田,AWT,1200,2,25,7,-9.2,12.58,8.0,28.0,-36.8
呂健威,沙田,Turf,1000,1,25,2,-12.0,53.66,4.0,8.0,-48.0
沈集成,沙田,Turf,1600,0,25,5,-25.0,64.88,0.0,20.0,-100.0
巫偉傑,跑馬地,Turf,1000,4,24,7,23.5,19.97,16.67,29.17,97.92
文家良,沙田,Turf,1000,2,24,7,-8.1,49.99,8.33,29.17,-33.75
賀賢,沙田,Turf,1000,1,24,8,-22.0,34.12,4.17,33.33,-91.67
丁冠豪,跑馬地,Turf,1650,3,23,7,91.6,41.41,13.04,30.43,398.26
蔡約翰,沙田,AWT,1650,2,23,5,-10.7,14.74,8.7,21.74,-46.52
蔡約翰,沙田,Turf,1800,2,23,6,-5.8,15.93,8.7,26.09,-25.22
方嘉柏,跑馬地,Turf,1000,1,23,10,-19.2,19.58,4.35,43.48,-83.48
蘇偉賢,沙田,Turf,1000,1,23,2,-21.1,46.09,4.35,8.7,-91.74
鄭俊偉,沙田,AWT,1650,1,23,6,-16.9,26.01,4.35,26.09,-73.48
鄭俊偉,沙田,AWT,1200,0,23,1,-23.0,50.65,0.0,4.35,-100.0
黎昭昇,沙田,Turf,1000,4,22,8,-9.3,24.83,18.18,36.36,-42.27
方嘉柏,跑馬地,Turf,1800,3,22,6,0.40000000000000036,13.64,13.64,27.27,1.82
葉楚航,沙田,Turf,1600,2,22,3,2.0,29.68,9.09,13.64,9.09
羅富全,跑馬地,Turf,1800,1,22,6,-16.3,15.72,4.55,27.27,-74.09
大衛希斯,沙田,Turf,1800,4,21,6,5.3,30.25,19.05,28.57,25.24
姚本輝,沙田,AWT,1650,4,21,6,10.3,21.01,19.05,28.57,49.05
告東尼,沙田,AWT,1200,1,21,1,-1.0,32.96,4.76,4.76,-4.76
伍鵬志,沙田,Turf,2000,0,21,4,-21.0,23.24,0.0,19.05,-100.0
大衛希斯,跑馬地,Turf,1000,0,21,2,-21.0,26.44,0.0,9.52,-100.0
沈集成,跑馬地,Turf,1800,4,20,5,12.0,19.12,20.0,25.0,60.0
姚本輝,沙田,Turf,1800,1,20,2,-10.2,27.01,5.0,10.0,-51.0
文家良,沙田,AWT,1650,1,20,5,-10.0,15.76,5.0,25.0,-50.0
葉楚航,沙田,AWT,1200,0,20,3,-20.0,26.88,0.0,15.0,-100.0
羅富全,跑馬地,Turf,1000,3,19,8,-6.1000000000000005,8.49,15.79,42.11,-32.11
游達榮,沙田,AWT,1650,2,19,4,-5.8999999999999995,18.13,10.53,21.05,-31.05
蔡約翰,沙田,Turf,2000,2,19,4,-5.3,13.34,10.53,21.05,-27.89
葉楚航,跑馬地,Turf,1000,1,19,5,-14.1,10.84,5.26,26.32,-74.21
告東尼,沙田,AWT,1650,0,19,1,-19.0,21.74,0.0,5.26,-100.0
文家良,跑馬地,Turf,1000,0,19,1,-19.0,34.93,0.0,5.26,-100.0
羅富全,沙田,Turf,1800,0,19,0,-19.0,52.88,0.0,0.0,-100.0
姚本輝,沙田,Turf,2000,2,18,4,-10.9,34.18,11.11,22.22,-60.56
沈集成,跑馬地,Turf,1000,1,18,9,-14.3,13.11,5.56,50.0,-79.44
韋達,沙田,AWT,1200,0,18,0,-18.0,66.11,0.0,0.0,-100.0
黎昭昇,沙田,AWT,1200,0,18,2,-18.0,37.39,0.0,11.11,-100.0
