RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Group 1,沙田,Turf,2400,False,1,8,3,33.6,12.5,37.5,ClassVenueDistance
Group 3,沙田,Turf,1600,True,1,8,3,23.09,12.5,37.5,ClassVenueDistance
Unknown,沙田,Turf,2000,False,1,8,3,22.82,12.5,37.5,ClassVenueDistance
Group 1,沙田,Turf,2000,True,0,8,1,56.88,0.0,12.5,ClassVenueDistance
Group 3,沙田,Turf,1200,True,0,8,2,22.71,0.0,25.0,ClassVenueDistance
Group 1,沙田,Turf,1400,True,1,7,2,44.89,14.29,28.57,ClassVenueDistance
Unknown,沙田,Turf,1600,False,1,7,1,36.74,14.29,14.29,ClassVenueDistance
Unknown,沙田,Turf,1600,True,0,7,2,45.66,0.0,28.57,ClassVenueDistance
Class 1,沙田,Turf,1000,True,1,6,3,11.88,16.67,50.0,ClassVenueDistance
Group 3,沙田,Turf,1000,True,1,6,2,23.8,16.67,33.33,ClassVenueDistance
Group 3,跑馬地,Turf,1800,True,1,6,1,16.2,16.67,16.67,ClassVenueDistance
Class 1,沙田,Turf,1600,True,0,6,1,16.57,0.0,16.67,ClassVenueDistance
Class 2,沙田,Turf,1800,False,0,6,2,13.75,0.0,33.33,ClassVenueDistance
Class 2,跑馬地,Turf,1000,False,0,6,3,17.05,0.0,50.0,ClassVenueDistance
Griffin,沙田,Turf,1200,True,0,6,2,66.7,0.0,33.33,ClassVenueDistance
Group 1,沙田,Turf,2400,True,0,6,0,35.82,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1400,False,0,6,3,7.78,0.0,50.0,ClassVenueDistance
Group 3,跑馬地,Turf,1800,False,0,6,2,15.85,0.0,33.33,ClassVenueDistance
Unknown,沙田,Turf,2000,True,0,6,0,19.67,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1600,False,1,5,2,8.38,20.0,40.0,ClassVenueDistance
Group 1,沙田,AWT,1200,True,1,5,2,11.74,20.0,40.0,ClassVenueDistance
Class 1,跑馬地,Turf,1650,False,0,5,1,10.74,0.0,20.0,ClassVenueDistance
Class 5,沙田,Turf,1000,False,0,5,1,13.08,0.0,20.0,ClassVenueDistance
Group 2,沙田,Turf,2000,False,0,5,1,38.4,0.0,20.0,ClassVenueDistance
Group 2,沙田,Turf,2000,True,0,5,1,72.8,0.0,20.0,ClassVenueDistance
Class 1,沙田,Turf,1200,False,1,4,1,13.5,25.0,25.0,ClassVenueDistance
Class 1,跑馬地,Turf,1650,True,1,4,2,9.82,25.0,50.0,ClassVenueDistance
Group 3,沙田,Turf,1000,False,1,4,3,10.42,25.0,75.0,ClassVenueDistance
Unknown,沙田,Turf,1800,False,1,4,2,12.55,25.0,50.0,ClassVenueDistance
Group 1,沙田,AWT,1200,False,0,4,1,14.65,0.0,25.0,ClassVenueDistance
Group 3,沙田,Turf,2400,True,0,4,2,10.68,0.0,50.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,True,1,3,3,5.77,33.33,100.0,ClassVenueDistance
Group 3,沙田,Turf,1200,False,1,3,1,11.33,33.33,33.33,ClassVenueDistance
Group 3,沙田,Turf,1600,False,0,3,0,8.5,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,2400,False,1,2,1,3.25,50.0,50.0,ClassVenueDistance
Class 1,沙田,Turf,1000,False,0,2,0,8.05,0.0,0.0,ClassVenueDistance
Class 1,跑馬地,Turf,1200,False,0,2,0,5.6,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,1400,False,0,2,1,20.15,0.0,50.0,ClassVenueDistance
Class 1,沙田,Turf,1400,False,0,1,0,21.0,0.0,0.0,ClassVenueDistance
Group 1,跑馬地,Turf,1650,False,0,1,0,10.0,0.0,0.0,ClassVenueDistance
