RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 5,跑馬地,Turf,1200,True,7,94,20,29.21,7.45,21.28,ClassVenueDistance
Class 3,沙田,Turf,1600,False,6,94,26,26.02,6.38,27.66,ClassVenueDistance
Class 5,沙田,Turf,1400,False,5,90,21,25.21,5.56,23.33,ClassVenueDistance
Class 4,沙田,AWT,1650,True,6,86,23,33.4,6.98,26.74,ClassVenueDistance
Class 5,沙田,Turf,1200,True,6,86,21,30.84,6.98,24.42,ClassVenueDistance
Class 4,沙田,Turf,1000,True,5,81,18,54.81,6.17,22.22,ClassVenueDistance
Class 5,跑馬地,Turf,1650,True,10,77,21,22.58,12.99,27.27,ClassVenueDistance
Class 2,沙田,Turf,1400,True,5,76,18,35.48,6.58,23.68,ClassVenueDistance
Class 3,沙田,Turf,1000,True,6,74,17,34.43,8.11,22.97,ClassVenueDistance
Class 4,跑馬地,Turf,1000,True,3,69,12,35.37,4.35,17.39,ClassVenueDistance
Class 3,沙田,AWT,1200,True,8,68,21,21.3,11.76,30.88,ClassVenueDistance
Class 4,沙田,Turf,1000,False,5,66,15,25.62,7.58,22.73,ClassVenueDistance
Class 3,沙田,AWT,1650,True,2,66,15,32.34,3.03,22.73,ClassVenueDistance
Class 4,沙田,AWT,1650,False,5,64,10,26.17,7.81,15.62,ClassVenueDistance
Class 5,跑馬地,Turf,1200,False,6,61,19,17.2,9.84,31.15,ClassVenueDistance
Class 3,沙田,Turf,1000,False,4,60,14,30.17,6.67,23.33,ClassVenueDistance
Class 5,沙田,AWT,1650,True,5,56,13,34.21,8.93,23.21,ClassVenueDistance
Class 2,沙田,Turf,1200,True,3,55,15,27.56,5.45,27.27,ClassVenueDistance
Class 3,沙田,AWT,1200,False,3,54,12,27.6,5.56,22.22,ClassVenueDistance
Class 3,沙田,AWT,1650,False,7,53,12,24.57,13.21,22.64,ClassVenueDistance
Class 5,跑馬地,Turf,1000,True,7,51,13,21.54,13.73,25.49,ClassVenueDistance
Class 5,跑馬地,Turf,1650,False,2,51,12,19.69,3.92,23.53,ClassVenueDistance
Class 4,跑馬地,Turf,1800,True,4,49,10,23.71,8.16,20.41,ClassVenueDistance
Class 2,沙田,Turf,1200,False,6,48,12,28.84,12.5,25.0,ClassVenueDistance
Class 5,沙田,Turf,1200,False,4,48,9,24.0,8.33,18.75,ClassVenueDistance
Class 5,沙田,AWT,1200,True,3,47,10,22.8,6.38,21.28,ClassVenueDistance
Class 4,沙田,Turf,1800,True,2,46,10,33.63,4.35,21.74,ClassVenueDistance
Class 3,跑馬地,Turf,1000,True,5,44,11,25.48,11.36,25.0,ClassVenueDistance
Class 4,跑馬地,Turf,1000,False,6,43,15,25.78,13.95,34.88,ClassVenueDistance
Class 5,沙田,Turf,1600,True,3,43,8,28.82,6.98,18.6,ClassVenueDistance
Class 3,沙田,Turf,2000,False,5,42,14,17.67,11.9,33.33,ClassVenueDistance
Class 5,沙田,AWT,1650,False,2,39,8,21.06,5.13,20.51,ClassVenueDistance
Class 3,跑馬地,Turf,1000,False,3,38,12,16.03,7.89,31.58,ClassVenueDistance
Class 4,沙田,Turf,1800,False,4,37,8,27.5,10.81,21.62,ClassVenueDistance
Class 5,沙田,AWT,1200,False,4,37,11,20.99,10.81,29.73,ClassVenueDistance
Class 2,沙田,Turf,1600,True,4,36,12,22.54,11.11,33.33,ClassVenueDistance
Class 3,沙田,Turf,1800,True,4,36,8,31.21,11.11,22.22,ClassVenueDistance
Class 3,跑馬地,Turf,1800,False,4,36,13,16.54,11.11,36.11,ClassVenueDistance
Class 5,跑馬地,Turf,1800,True,2,36,7,25.93,5.56,19.44,ClassVenueDistance
Class 4,跑馬地,Turf,1800,False,3,35,12,17.16,8.57,34.29,ClassVenueDistance
Class 3,跑馬地,Turf,1800,True,2,35,5,33.36,5.71,14.29,ClassVenueDistance
Class 3,沙田,Turf,2000,True,1,35,4,30.25,2.86,11.43,ClassVenueDistance
Class 2,沙田,Turf,1400,False,4,34,9,28.49,11.76,26.47,ClassVenueDistance
Class 5,跑馬地,Turf,1000,False,0,32,8,30.48,0.0,25.0,ClassVenueDistance
Class 5,沙田,Turf,1800,True,2,31,5,15.38,6.45,16.13,ClassVenueDistance
Class 3,沙田,Turf,1800,False,1,31,7,17.91,3.23,22.58,ClassVenueDistance
Class 4,沙田,AWT,1800,True,4,29,7,23.71,13.79,24.14,ClassVenueDistance
Class 5,沙田,Turf,1600,False,2,27,7,18.96,7.41,25.93,ClassVenueDistance
Class 2,沙田,Turf,1600,False,1,26,5,23.86,3.85,19.23,ClassVenueDistance
Class 2,跑馬地,Turf,1650,True,2,24,6,20.26,8.33,25.0,ClassVenueDistance
Class 4,沙田,Turf,2000,True,2,24,6,30.13,8.33,25.0,ClassVenueDistance
Group 1,跑馬地,Turf,1650,True,2,24,6,18.76,8.33,25.0,ClassVenueDistance
Group 2,沙田,Turf,1600,True,2,24,3,59.59,8.33,12.5,ClassVenueDistance
Class 5,跑馬地,Turf,1800,False,3,23,8,13.43,13.04,34.78,ClassVenueDistance
Class 4,沙田,AWT,1800,False,0,23,5,21.87,0.0,21.74,ClassVenueDistance
Class 2,跑馬地,Turf,1200,True,3,22,6,31.32,13.64,27.27,ClassVenueDistance
Class 2,跑馬地,Turf,1200,False,1,22,6,13.66,4.55,27.27,ClassVenueDistance
Class 4,跑馬地,Turf,2200,True,0,22,4,17.05,0.0,18.18,ClassVenueDistance
Class 2,跑馬地,Turf,1650,False,3,20,6,13.99,15.0,30.0,ClassVenueDistance
Class 5,沙田,Turf,1800,False,2,20,7,27.86,10.0,35.0,ClassVenueDistance
Group 1,沙田,Turf,1200,False,3,19,8,127.58,15.79,42.11,ClassVenueDistance
Class 2,跑馬地,Turf,1800,True,3,18,4,16.21,16.67,22.22,ClassVenueDistance
Group 2,沙田,Turf,1200,False,3,18,7,62.56,16.67,38.89,ClassVenueDistance
Class 5,跑馬地,Turf,2200,True,2,18,5,20.02,11.11,27.78,ClassVenueDistance
Group 1,跑馬地,Turf,1000,True,1,17,3,15.51,5.88,17.65,ClassVenueDistance
Group 2,沙田,Turf,1600,False,1,17,6,30.39,5.88,35.29,ClassVenueDistance
Group 1,沙田,Turf,1600,True,0,17,3,49.99,0.0,17.65,ClassVenueDistance
Group 1,沙田,Turf,1600,False,3,16,6,32.71,18.75,37.5,ClassVenueDistance
Class 4,沙田,Turf,2000,False,1,16,3,17.82,6.25,18.75,ClassVenueDistance
Class 5,沙田,AWT,1800,True,1,16,3,22.69,6.25,18.75,ClassVenueDistance
Class 1,沙田,Turf,1200,True,1,15,1,43.59,6.67,6.67,ClassVenueDistance
Class 4,跑馬地,Turf,2200,False,3,14,5,26.43,21.43,35.71,ClassVenueDistance
Group 3,沙田,Turf,1000,True,2,14,5,22.06,14.29,35.71,ClassVenueDistance
Group 3,沙田,Turf,1400,False,2,13,4,25.8,15.38,30.77,ClassVenueDistance
Class 2,沙田,AWT,1650,True,1,13,2,23.3,7.69,15.38,ClassVenueDistance
Class 5,跑馬地,Turf,2200,False,1,13,4,9.8,7.69,30.77,ClassVenueDistance
Group 2,沙田,Turf,1200,True,0,13,2,54.75,0.0,15.38,ClassVenueDistance
Group 3,沙田,Turf,1400,True,0,13,2,49.17,0.0,15.38,ClassVenueDistance
Class 2,沙田,Turf,1000,True,1,12,1,34.64,8.33,8.33,ClassVenueDistance
Class 2,沙田,Turf,1800,False,1,12,2,31.06,8.33,16.67,ClassVenueDistance
Class 5,沙田,AWT,1800,False,1,12,3,26.68,8.33,25.0,ClassVenueDistance
Class 2,跑馬地,Turf,1000,True,0,12,1,15.43,0.0,8.33,ClassVenueDistance
Group 3,沙田,Turf,1800,False,2,11,4,22.86,18.18,36.36,ClassVenueDistance
Group 1,跑馬地,Turf,1200,True,1,11,3,13.81,9.09,27.27,ClassVenueDistance
Class 2,沙田,Turf,1800,True,0,11,3,34.32,0.0,27.27,ClassVenueDistance
Class 2,沙田,Turf,2000,True,0,10,2,14.65,0.0,20.0,ClassVenueDistance
Class 2,跑馬地,Turf,1800,False,0,10,4,10.48,0.0,40.0,ClassVenueDistance
Class 1,沙田,Turf,1200,False,1,9,5,35.1,11.11,55.56,ClassVenueDistance
Class 2,沙田,Turf,1000,False,1,9,5,14.49,11.11,55.56,ClassVenueDistance
Unknown,沙田,Turf,1600,True,1,9,2,39.24,11.11,22.22,ClassVenueDistance
Unknown,沙田,Turf,2000,False,1,9,3,23.9,11.11,33.33,ClassVenueDistance
Group 3,沙田,Turf,1800,True,0,9,2,14.68,0.0,22.22,ClassVenueDistance
Class 2,沙田,Turf,2000,False,2,8,4,12.92,25.0,50.0,ClassVenueDistance
Class 3,跑馬地,Turf,2200,True,1,8,3,13.18,12.5,37.5,ClassVenueDistance
Unknown,沙田,Turf,1800,False,1,8,2,16.95,12.5,25.0,ClassVenueDistance
Group 1,沙田,Turf,2000,False,3,7,5,9.34,42.86,71.43,ClassVenueDistance
Class 2,跑馬地,Turf,1000,False,2,7,5,7.61,28.57,71.43,ClassVenueDistance
Class 2,沙田,AWT,1200,True,1,7,3,20.77,14.29,42.86,ClassVenueDistance
Class 5,沙田,Turf,2000,True,1,7,2,13.5,14.29,28.57,ClassVenueDistance
Group 1,跑馬地,Turf,1000,False,1,7,3,58.54,14.29,42.86,ClassVenueDistance
Class 5,沙田,Turf,2000,False,0,7,1,18.73,0.0,14.29,ClassVenueDistance
Group 3,跑馬地,Turf,1800,False,0,7,1,16.09,0.0,14.29,ClassVenueDistance
Group 2,沙田,Turf,2000,False,1,6,1,54.07,16.67,16.67,ClassVenueDistance
Group 1,沙田,Turf,1200,True,0,6,1,122.5,0.0,16.67,ClassVenueDistance
Group 1,沙田,Turf,2000,True,0,6,1,66.67,0.0,16.67,ClassVenueDistance
Unknown,沙田,Turf,1800,True,0,6,1,72.33,0.0,16.67,ClassVenueDistance
Class 2,沙田,AWT,1650,False,1,5,4,4.44,20.0,80.0,ClassVenueDistance
Group 1,沙田,Turf,1400,False,1,5,3,86.8,20.0,60.0,ClassVenueDistance
Group 3,跑馬地,Turf,1800,True,1,5,2,13.68,20.0,40.0,ClassVenueDistance
Class 2,沙田,AWT,1200,False,0,5,0,23.58,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,1400,True,0,5,0,157.2,0.0,0.0,ClassVenueDistance
Group 3,沙田,Turf,1000,False,0,5,1,11.86,0.0,20.0,ClassVenueDistance
Group 3,沙田,Turf,2400,False,0,5,2,7.94,0.0,40.0,ClassVenueDistance
Unknown,沙田,Turf,1600,False,0,5,1,47.74,0.0,20.0,ClassVenueDistance
Unknown,沙田,Turf,2000,True,0,5,0,25.8,0.0,0.0,ClassVenueDistance
Class 1,沙田,Turf,1400,False,1,4,1,8.95,25.0,25.0,ClassVenueDistance
Class 3,跑馬地,Turf,2200,False,0,4,0,24.25,0.0,0.0,ClassVenueDistance
Griffin,沙田,Turf,1000,False,0,4,0,26.75,0.0,0.0,ClassVenueDistance
Group 1,沙田,Turf,2400,True,0,4,1,29.3,0.0,25.0,ClassVenueDistance
Group 2,沙田,Turf,2000,True,0,3,2,27.07,0.0,66.67,ClassVenueDistance
Group 3,沙田,Turf,2400,True,1,2,1,15.2,50.0,50.0,ClassVenueDistance
Class 1,沙田,Turf,1400,True,0,2,2,5.15,0.0,100.0,ClassVenueDistance
Group 1,沙田,Turf,2400,False,0,2,1,31.0,0.0,50.0,ClassVenueDistance
Group 1,跑馬地,Turf,1200,False,0,1,0,7.9,0.0,0.0,ClassVenueDistance
