Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
希威森,沙田,AWT,1200,2,22,6,-8.8,19.15,9.09,27.27,-40.0
周俊樂,沙田,AWT,1200,1,22,3,-4.0,33.79,4.55,13.64,-18.18
蔡明紹,沙田,AWT,1200,1,22,3,-13.8,23.8,4.55,13.64,-62.73
金誠剛,沙田,AWT,1200,0,22,4,-22.0,36.45,0.0,18.18,-100.0
布文,跑馬地,Turf,1800,5,21,8,1.9000000000000004,9.2,23.81,38.1,9.05
金誠剛,沙田,AWT,1650,2,21,4,2.0,21.37,9.52,19.05,9.52
黃寶妮,沙田,Turf,1200,2,21,4,40.7,27.93,9.52,19.05,193.81
黃寶妮,沙田,Turf,1400,2,21,4,-2.8000000000000007,34.2,9.52,19.05,-13.33
奧爾民,沙田,AWT,1200,1,21,3,-17.1,43.79,4.76,14.29,-81.43
蔡明紹,沙田,Turf,1000,1,21,4,-15.0,43.43,4.76,19.05,-71.43
麥道朗,沙田,Turf,1200,1,21,9,-13.2,23.39,4.76,42.86,-62.86
楊明綸,沙田,AWT,1200,0,21,3,-21.0,71.77,0.0,14.29,-100.0
楊明綸,沙田,AWT,1650,0,21,3,-21.0,52.98,0.0,14.29,-100.0
潘大衛,沙田,Turf,1200,0,21,1,-21.0,63.42,0.0,4.76,-100.0
艾道拿,沙田,Turf,1000,3,20,10,3.500000000000001,20.97,15.0,50.0,17.5
巴度,沙田,Turf,1000,1,20,9,-14.5,25.58,5.0,45.0,-72.5
潘明輝,沙田,Turf,1000,1,20,4,12.0,28.9,5.0,20.0,60.0
紀仁安,跑馬地,Turf,1200,1,20,5,-16.7,15.22,5.0,25.0,-83.5
霍宏聲,沙田,AWT,1650,4,19,7,10.2,22.76,21.05,36.84,53.68
霍宏聲,沙田,AWT,1200,3,19,5,7.100000000000001,17.55,15.79,26.32,37.37
梁家俊,沙田,Turf,1000,2,19,6,7.199999999999999,36.63,10.53,31.58,37.89
麥文堅,跑馬地,Turf,1200,2,19,3,-3.5999999999999996,18.42,10.53,15.79,-18.95
希威森,沙田,Turf,1000,1,19,3,-3.0,30.29,5.26,15.79,-15.79
鍾易禮,沙田,AWT,1200,1,19,5,-7.0,51.08,5.26,26.32,-36.84
艾道拿,沙田,AWT,1200,0,19,2,-19.0,37.77,0.0,10.53,-100.0
鍾易禮,跑馬地,Turf,1000,4,18,7,23.7,21.89,22.22,38.89,131.67
霍宏聲,跑馬地,Turf,1000,4,18,8,17.2,17.76,22.22,44.44,95.56
潘頓,沙田,Turf,1800,3,18,6,5.300000000000001,5.85,16.67,33.33,29.44
田泰安,沙田,Turf,1800,2,18,6,4.9,22.41,11.11,33.33,27.22
布文,沙田,AWT,1650,1,18,7,-14.2,12.64,5.56,38.89,-78.89
紀仁安,跑馬地,Turf,1650,1,18,5,-9.0,15.62,5.56,27.78,-50.0
黃智弘,沙田,AWT,1200,1,18,3,-7.0,16.3,5.56,16.67,-38.89
班德禮,沙田,AWT,1650,0,18,1,-18.0,41.98,0.0,5.56,-100.0
班德禮,沙田,Turf,1000,0,18,1,-18.0,31.44,0.0,5.56,-100.0
班德禮,跑馬地,Turf,1000,0,18,2,-18.0,15.57,0.0,11.11,-100.0
