RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,AWT,1200,10+,5,64,15,41.52,7.81,23.44
Class 3,跑馬地,Turf,1650,1-3,9,63,21,15.8,14.29,33.33
Class 3,跑馬地,Turf,1650,7-9,7,63,17,29.5,11.11,26.98
Class 3,跑馬地,Turf,1650,4-6,3,63,16,16.7,4.76,25.4
Class 3,跑馬地,Turf,1650,10+,2,55,9,33.05,3.64,16.36
Class 4,沙田,AWT,1650,10+,4,53,10,36.21,7.55,18.87
Class 3,沙田,Turf,1000,10+,3,49,14,30.13,6.12,28.57
Class 4,沙田,Turf,1600,1-3,7,48,15,29.58,14.58,31.25
Class 3,沙田,Turf,1600,1-3,6,48,13,27.58,12.5,27.08
Class 3,沙田,Turf,1600,7-9,4,48,13,59.22,8.33,27.08
Class 5,沙田,Turf,1400,1-3,4,48,15,18.66,8.33,31.25
Class 4,沙田,Turf,1600,4-6,2,48,10,41.6,4.17,20.83
Class 3,沙田,Turf,1600,4-6,1,48,12,29.15,2.08,25.0
Class 4,沙田,Turf,1600,7-9,1,48,7,27.14,2.08,14.58
Class 5,沙田,Turf,1400,7-9,3,47,9,30.04,6.38,19.15
Class 5,沙田,Turf,1400,4-6,2,47,8,28.68,4.26,17.02
Class 4,沙田,Turf,1000,7-9,7,45,12,39.66,15.56,26.67
Class 4,沙田,Turf,1000,4-6,4,44,11,45.76,9.09,25.0
Class 5,沙田,Turf,1200,10+,2,44,8,34.57,4.55,18.18
Class 4,沙田,Turf,1000,1-3,1,44,3,49.78,2.27,6.82
Class 3,沙田,AWT,1650,10+,2,40,4,39.57,5.0,10.0
Class 5,跑馬地,Turf,1200,4-6,3,39,9,21.1,7.69,23.08
Class 5,跑馬地,Turf,1200,10+,2,39,8,36.58,5.13,20.51
Class 5,跑馬地,Turf,1200,7-9,2,39,8,27.76,5.13,20.51
Class 5,跑馬地,Turf,1200,1-3,6,38,14,12.17,15.79,36.84
Class 3,沙田,Turf,1000,7-9,8,36,11,31.99,22.22,30.56
Class 3,沙田,Turf,1000,1-3,1,36,5,40.27,2.78,13.89
Class 3,沙田,Turf,1000,4-6,1,36,6,33.33,2.78,16.67
Class 3,沙田,AWT,1200,1-3,5,33,12,15.79,15.15,36.36
Class 5,跑馬地,Turf,1650,1-3,5,33,12,17.61,15.15,36.36
Class 3,沙田,AWT,1200,4-6,4,33,10,19.86,12.12,30.3
Class 4,沙田,AWT,1650,4-6,4,33,10,20.12,12.12,30.3
Class 5,跑馬地,Turf,1650,7-9,3,33,7,24.23,9.09,21.21
Class 4,沙田,AWT,1650,7-9,0,33,6,38.28,0.0,18.18
Class 5,跑馬地,Turf,1650,4-6,4,32,10,13.91,12.5,31.25
Class 4,沙田,AWT,1650,1-3,3,32,7,24.48,9.38,21.88
Class 3,沙田,AWT,1200,7-9,0,32,2,37.13,0.0,6.25
Class 5,沙田,AWT,1650,10+,0,32,5,39.52,0.0,15.62
Class 5,沙田,Turf,1200,1-3,4,30,12,16.73,13.33,40.0
Class 4,跑馬地,Turf,1000,1-3,3,30,10,21.31,10.0,33.33
Class 4,跑馬地,Turf,1000,10+,3,30,8,47.16,10.0,26.67
Class 4,沙田,Turf,1800,10+,2,30,6,48.38,6.67,20.0
Class 4,跑馬地,Turf,1000,4-6,2,30,4,27.4,6.67,13.33
Class 4,跑馬地,Turf,1000,7-9,2,30,8,30.5,6.67,26.67
Class 5,沙田,Turf,1200,4-6,2,30,4,28.74,6.67,13.33
Class 5,沙田,Turf,1200,7-9,2,30,6,30.62,6.67,20.0
Class 2,沙田,Turf,1400,10+,1,30,3,38.59,3.33,10.0
Class 5,跑馬地,Turf,1650,10+,0,30,4,30.59,0.0,13.33
Class 3,沙田,AWT,1200,10+,2,29,9,30.08,6.9,31.03
Class 2,沙田,Turf,1200,1-3,4,27,10,21.36,14.81,37.04
Class 3,沙田,AWT,1650,1-3,4,27,12,20.03,14.81,44.44
Class 2,沙田,Turf,1400,1-3,3,27,8,27.26,11.11,29.63
Class 2,沙田,Turf,1400,4-6,3,27,9,33.87,11.11,33.33
Class 2,沙田,Turf,1200,4-6,2,27,6,25.91,7.41,22.22
Class 2,沙田,Turf,1400,7-9,2,27,7,33.85,7.41,25.93
Class 3,沙田,AWT,1650,4-6,2,27,7,21.38,7.41,25.93
Class 2,沙田,Turf,1200,7-9,2,26,8,34.79,7.69,30.77
Class 3,沙田,AWT,1650,7-9,1,26,4,30.3,3.85,15.38
Class 5,沙田,Turf,1600,10+,2,25,4,31.85,8.0,16.0
Class 3,跑馬地,Turf,1000,1-3,4,24,9,16.71,16.67,37.5
Class 3,跑馬地,Turf,1000,4-6,2,24,6,17.28,8.33,25.0
Class 2,沙田,Turf,1200,10+,1,24,3,31.35,4.17,12.5
Class 3,沙田,Turf,1800,10+,0,24,3,29.25,0.0,12.5
Class 3,沙田,Turf,2000,10+,2,23,5,28.26,8.7,21.74
Class 3,跑馬地,Turf,1000,7-9,0,23,5,27.15,0.0,21.74
Class 3,跑馬地,Turf,1000,10+,2,22,4,32.28,9.09,18.18
Class 5,沙田,AWT,1650,1-3,4,21,6,20.32,19.05,28.57
Class 4,跑馬地,Turf,1800,10+,3,21,6,30.89,14.29,28.57
Class 5,沙田,AWT,1200,1-3,3,21,8,16.39,14.29,38.1
Class 5,沙田,AWT,1200,7-9,3,21,7,16.42,14.29,33.33
Class 5,沙田,AWT,1650,7-9,3,21,9,19.0,14.29,42.86
Class 4,跑馬地,Turf,1800,1-3,2,21,8,16.01,9.52,38.1
Class 5,跑馬地,Turf,1000,1-3,2,21,4,29.82,9.52,19.05
Class 4,跑馬地,Turf,1800,4-6,1,21,4,16.74,4.76,19.05
Class 4,跑馬地,Turf,1800,7-9,1,21,4,20.27,4.76,19.05
Class 5,沙田,AWT,1200,4-6,1,21,3,21.19,4.76,14.29
Class 5,跑馬地,Turf,1000,10+,1,21,5,26.1,4.76,23.81
Class 5,跑馬地,Turf,1000,4-6,1,21,9,16.91,4.76,42.86
Class 5,沙田,AWT,1200,10+,0,21,3,34.02,0.0,14.29
Class 5,沙田,AWT,1650,4-6,0,21,1,30.8,0.0,4.76
Class 5,跑馬地,Turf,1000,7-9,3,20,3,27.2,15.0,15.0
Class 2,沙田,Turf,1600,1-3,4,18,7,14.23,22.22,38.89
Class 3,跑馬地,Turf,1800,4-6,3,18,7,26.29,16.67,38.89
Class 2,沙田,Turf,1600,4-6,2,18,6,17.2,11.11,33.33
Class 3,沙田,Turf,2000,7-9,2,18,3,26.68,11.11,16.67
Class 4,沙田,Turf,1800,4-6,2,18,6,18.17,11.11,33.33
Class 3,沙田,Turf,2000,1-3,1,18,5,19.39,5.56,27.78
Class 3,沙田,Turf,2000,4-6,1,18,5,17.86,5.56,27.78
Class 3,跑馬地,Turf,1800,7-9,1,18,2,33.53,5.56,11.11
Class 4,沙田,Turf,1800,1-3,1,18,5,17.04,5.56,27.78
Class 4,沙田,Turf,1800,7-9,1,18,1,35.05,5.56,5.56
Class 2,沙田,Turf,1600,7-9,0,18,1,36.57,0.0,5.56
Class 3,跑馬地,Turf,1800,10+,0,18,2,26.77,0.0,11.11
Class 3,跑馬地,Turf,1800,1-3,2,17,7,12.01,11.76,41.18
Class 4,沙田,AWT,1800,10+,1,16,2,32.75,6.25,12.5
Class 3,沙田,Turf,1800,4-6,2,15,7,22.31,13.33,46.67
Class 3,沙田,Turf,1800,7-9,2,15,3,16.27,13.33,20.0
Class 5,沙田,Turf,1600,1-3,2,15,4,13.81,13.33,26.67
Class 5,跑馬地,Turf,1800,4-6,2,15,4,13.47,13.33,26.67
Class 5,跑馬地,Turf,1800,7-9,2,15,5,30.97,13.33,33.33
Class 3,沙田,Turf,1800,1-3,1,15,2,33.86,6.67,13.33
Class 5,沙田,Turf,1600,7-9,1,15,5,16.71,6.67,33.33
Class 5,沙田,Turf,1800,10+,1,15,2,23.68,6.67,13.33
Class 5,沙田,Turf,1600,4-6,0,15,2,33.14,0.0,13.33
Class 5,跑馬地,Turf,1800,1-3,0,15,1,19.99,0.0,6.67
Group 2,沙田,Turf,1600,10+,2,14,5,43.0,14.29,35.71
Class 5,跑馬地,Turf,1800,10+,1,14,5,19.71,7.14,35.71
Class 4,沙田,Turf,2000,10+,1,13,1,28.98,7.69,7.69
Class 2,沙田,Turf,1600,10+,0,13,4,25.86,0.0,30.77
Class 4,沙田,AWT,1800,1-3,3,12,5,16.63,25.0,41.67
Class 2,跑馬地,Turf,1650,1-3,2,12,3,15.39,16.67,25.0
Class 5,沙田,Turf,1800,4-6,2,12,4,31.48,16.67,33.33
Class 2,跑馬地,Turf,1650,4-6,1,12,3,12.13,8.33,25.0
Class 5,沙田,Turf,1800,7-9,1,12,2,14.28,8.33,16.67
Class 2,跑馬地,Turf,1200,7-9,0,12,1,25.76,0.0,8.33
Class 4,沙田,AWT,1800,4-6,0,12,3,17.34,0.0,25.0
Class 4,沙田,AWT,1800,7-9,0,12,2,21.57,0.0,16.67
Class 5,沙田,Turf,1800,1-3,0,12,4,10.81,0.0,33.33
Class 2,跑馬地,Turf,1200,1-3,3,11,4,15.29,27.27,36.36
Class 2,跑馬地,Turf,1650,7-9,2,11,5,13.53,18.18,45.45
Class 2,跑馬地,Turf,1200,4-6,0,11,4,18.96,0.0,36.36
Group 1,沙田,Turf,1600,10+,2,10,4,26.53,20.0,40.0
Class 2,跑馬地,Turf,1200,10+,1,10,3,30.37,10.0,30.0
Class 5,沙田,AWT,1800,10+,0,10,1,41.01,0.0,10.0
Class 2,跑馬地,Turf,1800,1-3,2,9,5,9.92,22.22,55.56
Class 5,跑馬地,Turf,2200,4-6,2,9,4,11.52,22.22,44.44
Group 1,沙田,Turf,1200,1-3,2,9,5,113.33,22.22,55.56
