HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
H134,精益大師(H134),沙田,AWT,1200,0,1,0,-1.0,21.0,0.0,0.0,-100.0
H134,精益大師(H134),沙田,Turf,1200,0,1,0,-1.0,37.0,0.0,0.0,-100.0
H135,競駿光輝(H135),沙田,AWT,1800,0,1,0,-1.0,21.0,0.0,0.0,-100.0
H137,包裝旋風(H137),跑馬地,Turf,1800,0,1,0,-1.0,21.0,0.0,0.0,-100.0
H153,歐洲傳奇(H153),沙田,AWT,1200,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H153,歐洲傳奇(H153),沙田,Turf,1200,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H153,歐洲傳奇(H153),跑馬地,Turf,1200,0,1,0,-1.0,67.0,0.0,0.0,-100.0
H155,愛馬善(H155),沙田,AWT,1200,0,1,0,-1.0,36.0,0.0,0.0,-100.0
H155,愛馬善(H155),沙田,Turf,1400,0,1,0,-1.0,51.0,0.0,0.0,-100.0
H156,宇宙動力(H156),沙田,Turf,1400,0,1,0,-1.0,58.0,0.0,0.0,-100.0
H156,宇宙動力(H156),跑馬地,Turf,1000,0,1,0,-1.0,54.0,0.0,0.0,-100.0
H156,宇宙動力(H156),跑馬地,Turf,1200,0,1,0,-1.0,86.0,0.0,0.0,-100.0
H161,安泰(H161),沙田,Turf,1600,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H162,撼天鐵翼(H162),跑馬地,Turf,1000,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H164,神虎龍駒(H164),跑馬地,Turf,1650,0,1,0,-1.0,30.0,0.0,0.0,-100.0
H165,都靈福星(H165),跑馬地,Turf,2200,0,1,0,-1.0,26.0,0.0,0.0,-100.0
H168,夢照發(H168),沙田,Turf,1600,0,1,0,-1.0,96.0,0.0,0.0,-100.0
H168,夢照發(H168),沙田,Turf,2000,0,1,1,-1.0,15.0,0.0,100.0,-100.0
H173,焦點(H173),沙田,Turf,1200,0,1,0,-1.0,42.0,0.0,0.0,-100.0
H173,焦點(H173),沙田,Turf,1400,0,1,0,-1.0,23.0,0.0,0.0,-100.0
H177,勇冠群英(H177),沙田,Turf,1000,0,1,0,-1.0,83.0,0.0,0.0,-100.0
H178,南區旺(H178),沙田,Turf,1200,0,1,0,-1.0,44.0,0.0,0.0,-100.0
H178,南區旺(H178),跑馬地,Turf,1000,0,1,0,-1.0,13.0,0.0,0.0,-100.0
H178,南區旺(H178),跑馬地,Turf,1200,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H180,駿先生(H180),沙田,Turf,1200,0,1,0,-1.0,28.0,0.0,0.0,-100.0
H180,駿先生(H180),跑馬地,Turf,1200,0,1,0,-1.0,28.0,0.0,0.0,-100.0
H192,港林福將(H192),跑馬地,Turf,1800,0,1,0,-1.0,35.0,0.0,0.0,-100.0
H196,上市魅力(H196),沙田,AWT,1800,0,1,0,-1.0,9.4,0.0,0.0,-100.0
H196,上市魅力(H196),沙田,Turf,1600,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H196,上市魅力(H196),沙田,Turf,1800,0,1,0,-1.0,30.0,0.0,0.0,-100.0
H196,上市魅力(H196),跑馬地,Turf,1650,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H197,智勝攻略(H197),跑馬地,Turf,1000,0,1,0,-1.0,24.0,0.0,0.0,-100.0
H202,神煞金剛(H202),沙田,Turf,1800,0,1,0,-1.0,33.0,0.0,0.0,-100.0
H202,神煞金剛(H202),沙田,Turf,2000,0,1,0,-1.0,41.0,0.0,0.0,-100.0
H202,神煞金剛(H202),跑馬地,Turf,1800,0,1,0,-1.0,31.0,0.0,0.0,-100.0
H203,添開心(H203),沙田,Turf,1000,0,1,0,-1.0,31.0,0.0,0.0,-100.0
