Jockey,Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
艾兆禮,游達榮,0,29,4,-29.0,25.18,0.0,13.79,-100.0
楊明綸,呂健威,5,28,6,12.4,41.76,17.86,21.43,44.29
霍宏聲,伍鵬志,4,28,7,52.0,21.69,14.29,25.0,185.71
鍾易禮,徐雨石,2,28,6,5.0,45.52,7.14,21.43,17.86
紀仁安,伍鵬志,2,27,6,-14.4,11.91,7.41,22.22,-53.33
潘頓,伍鵬志,6,26,13,-0.7000000000000002,6.2,23.08,50.0,-2.69
鍾易禮,沈集成,2,26,4,6.0,47.92,7.69,15.38,23.08
楊明綸,黎昭昇,1,26,3,-7.0,57.33,3.85,11.54,-26.92
田泰安,游達榮,0,26,4,-26.0,24.58,0.0,15.38,-100.0
班德禮,羅富全,5,25,9,10.600000000000001,12.76,20.0,36.0,42.4
布文,游達榮,4,25,8,-8.5,10.44,16.0,32.0,-34.0
潘頓,蔡約翰,4,25,13,-6.699999999999999,4.68,16.0,52.0,-26.8
潘頓,游達榮,3,25,8,-12.6,6.52,12.0,32.0,-50.4
周俊樂,羅富全,2,25,5,9.0,38.33,8.0,20.0,36.0
巫顯東,徐雨石,0,25,0,-25.0,99.56,0.0,0.0,-100.0
班德禮,伍鵬志,0,25,5,-25.0,26.7,0.0,20.0,-100.0
艾道拿,告東尼,0,25,0,-25.0,40.77,0.0,0.0,-100.0
金誠剛,韋達,0,25,3,-25.0,45.15,0.0,12.0,-100.0
艾兆禮,姚本輝,3,24,8,3.3,10.56,12.5,33.33,13.75
周俊樂,沈集成,2,24,9,-6.1,25.2,8.33,37.5,-25.42
艾兆禮,黎昭昇,2,24,3,-19.6,31.5,8.33,12.5,-81.67
袁幸堯,姚本輝,2,24,9,1.6000000000000014,10.03,8.33,37.5,6.67
田泰安,賀賢,1,24,6,-18.5,20.81,4.17,25.0,-77.08
田泰安,姚本輝,0,24,6,-24.0,23.51,0.0,25.0,-100.0
鍾易禮,葉楚航,0,24,1,-24.0,95.67,0.0,4.17,-100.0
奧爾民,廖康銘,3,23,8,-11.399999999999999,29.73,13.04,34.78,-49.57
何澤堯,蘇偉賢,2,23,4,20.0,19.89,8.7,17.39,86.96
何澤堯,羅富全,1,23,6,-15.3,20.98,4.35,26.09,-66.52
楊明綸,告東尼,1,23,3,-7.0,24.96,4.35,13.04,-30.43
黃智弘,姚本輝,1,23,3,7.0,39.33,4.35,13.04,30.43
潘頓,姚本輝,8,22,13,9.4,4.91,36.36,59.09,42.73
布文,廖康銘,4,22,7,-4.1,11.19,18.18,31.82,-18.64
巴度,葉楚航,2,22,3,14.5,39.16,9.09,13.64,65.91
楊明綸,蔡約翰,1,22,3,10.0,36.14,4.55,13.64,45.45
潘明輝,伍鵬志,0,22,3,-22.0,50.35,0.0,13.64,-100.0
周俊樂,廖康銘,4,21,6,-1.6,14.56,19.05,28.57,-7.62
布文,巫偉傑,3,21,7,2.0,15.43,14.29,33.33,9.52
霍宏聲,羅富全,2,21,3,-6.5,44.37,9.52,14.29,-30.95
班德禮,巫偉傑,1,21,3,-16.6,25.69,4.76,14.29,-79.05
金誠剛,徐雨石,0,21,0,-21.0,70.62,0.0,0.0,-100.0
紀仁安,呂健威,2,20,6,-13.0,23.93,10.0,30.0,-65.0
蔡明紹,徐雨石,2,20,4,-3.0,45.52,10.0,20.0,-15.0
奧爾民,伍鵬志,0,20,2,-20.0,48.32,0.0,10.0,-100.0
班德禮,葉楚航,0,20,2,-20.0,29.55,0.0,10.0,-100.0
布文,黎昭昇,2,19,8,-8.5,19.14,10.53,42.11,-44.74
艾道拿,游達榮,1,19,5,-4.0,30.18,5.26,26.32,-21.05
奧爾民,鄭俊偉,0,19,3,-19.0,72.36,0.0,15.79,-100.0
巫顯東,鄭俊偉,0,19,0,-19.0,102.11,0.0,0.0,-100.0
潘大衛,韋達,0,19,3,-19.0,73.37,0.0,15.79,-100.0
田泰安,鄭俊偉,0,19,1,-19.0,27.33,0.0,5.26,-100.0
田泰安,沈集成,4,18,5,8.7,16.01,22.22,27.78,48.33
艾兆禮,蘇偉賢,2,18,5,0.20000000000000107,33.07,11.11,27.78,1.11
麥文堅,游達榮,1,18,3,17.0,21.16,5.56,16.67,94.44
巫顯東,沈集成,0,18,1,-18.0,69.84,0.0,5.56,-100.0
黃智弘,大衛希斯,0,18,3,-18.0,73.3,0.0,16.67,-100.0
麥道朗,沈集成,6,17,7,10.3,7.05,35.29,41.18,60.59
艾兆禮,文家良,3,17,5,11.2,32.36,17.65,29.41,65.88
奧爾民,呂健威,2,17,7,-8.1,50.09,11.76,41.18,-47.65
布文,文家良,2,17,8,-8.399999999999999,10.2,11.76,47.06,-49.41
霍宏聲,呂健威,2,17,7,61.5,24.65,11.76,41.18,361.76
周俊樂,姚本輝,1,17,6,-11.7,14.05,5.88,35.29,-68.82
希威森,游達榮,1,17,3,5.0,64.53,5.88,17.65,29.41
蔡明紹,文家良,1,17,3,-13.1,38.78,5.88,17.65,-77.06
周俊樂,鄭俊偉,0,17,2,-17.0,42.36,0.0,11.76,-100.0
希威森,黎昭昇,0,17,4,-17.0,36.35,0.0,23.53,-100.0
潘大衛,蘇偉賢,0,17,0,-17.0,54.71,0.0,0.0,-100.0
董明朗,呂健威,0,17,7,-17.0,38.49,0.0,41.18,-100.0
蔡明紹,姚本輝,0,17,2,-17.0,24.84,0.0,11.76,-100.0
蔡明紹,黎昭昇,0,17,5,-17.0,35.6,0.0,29.41,-100.0
金誠剛,蘇偉賢,0,17,6,-17.0,35.69,0.0,35.29,-100.0
潘頓,韋達,4,16,10,-5.3999999999999995,4.03,25.0,62.5,-33.75
布文,賀賢,1,16,5,-12.1,19.26,6.25,31.25,-75.62
田泰安,蘇偉賢,1,16,6,-1.0,33.16,6.25,37.5,-6.25
艾道拿,葉楚航,1,16,3,11.0,54.31,6.25,18.75,68.75
艾道拿,韋達,1,16,2,-11.2,46.76,6.25,12.5,-70.0
黃寶妮,賀賢,1,16,5,-8.8,14.81,6.25,31.25,-55.0
何澤堯,伍鵬志,0,16,3,-16.0,33.09,0.0,18.75,-100.0
奧爾民,韋達,0,16,2,-16.0,67.52,0.0,12.5,-100.0
希威森,伍鵬志,0,16,0,-16.0,47.38,0.0,0.0,-100.0
田泰安,羅富全,0,16,3,-16.0,28.45,0.0,18.75,-100.0
潘頓,葉楚航,3,15,5,-7.9,6.11,20.0,33.33,-52.67
麥文堅,姚本輝,3,15,5,3.0999999999999996,23.33,20.0,33.33,20.67
奧爾民,文家良,2,15,5,6.0,43.28,13.33,33.33,40.0
杜苑欣,文家良,2,15,4,-3.0999999999999996,13.11,13.33,26.67,-20.67
巴度,蔡約翰,1,15,3,-1.0,17.79,6.67,20.0,-6.67
巴度,韋達,1,15,6,-8.4,16.65,6.67,40.0,-56.0
希威森,鄭俊偉,1,15,1,-3.0,43.19,6.67,6.67,-20.0
梁家俊,丁冠豪,1,15,1,-8.0,68.77,6.67,6.67,-53.33
潘明輝,沈集成,1,15,4,-9.6,15.64,6.67,26.67,-64.0
楊明綸,韋達,0,15,0,-15.0,74.55,0.0,0.0,-100.0
董明朗,蘇偉賢,0,15,4,-15.0,43.15,0.0,26.67,-100.0
奧爾民,方嘉柏,2,14,6,-0.20000000000000018,24.26,14.29,42.86,-1.43
紀仁安,蔡約翰,2,14,5,-8.0,14.52,14.29,35.71,-57.14
艾兆禮,呂健威,2,14,4,2.8,50.13,14.29,28.57,20.0
霍宏聲,方嘉柏,2,14,4,7.300000000000001,16.96,14.29,28.57,52.14
布文,葉楚航,1,14,4,-2.0,22.05,7.14,28.57,-14.29
田泰安,徐雨石,1,14,2,-3.0,34.94,7.14,14.29,-21.43
楊明綸,伍鵬志,0,14,2,-14.0,74.79,0.0,14.29,-100.0
金誠剛,大衛希斯,0,14,0,-14.0,43.15,0.0,0.0,-100.0
布文,呂健威,3,13,7,5.999999999999999,8.07,23.08,53.85,46.15
田泰安,巫偉傑,2,13,2,65.6,47.19,15.38,15.38,504.62
金誠剛,廖康銘,2,13,3,16.8,50.07,15.38,23.08,129.23
巴度,蘇偉賢,1,13,5,-10.5,30.71,7.69,38.46,-80.77
潘明輝,徐雨石,1,13,5,-5.2,38.62,7.69,38.46,-40.0
黃寶妮,伍鵬志,1,13,1,20.0,39.15,7.69,7.69,153.85
巫顯東,蘇偉賢,0,13,0,-13.0,121.46,0.0,0.0,-100.0
巴度,賀賢,0,13,2,-13.0,33.62,0.0,15.38,-100.0
潘頓,桂福特,0,13,6,-13.0,7.38,0.0,46.15,-100.0
田泰安,黎昭昇,0,13,1,-13.0,29.23,0.0,7.69,-100.0
鍾易禮,文家良,0,13,0,-13.0,120.62,0.0,0.0,-100.0
周俊樂,告東尼,2,12,6,-5.3,8.92,16.67,50.0,-44.17
杜苑欣,羅富全,2,12,6,18.6,11.96,16.67,50.0,155.0
田泰安,告東尼,2,12,4,0.1999999999999993,26.42,16.67,33.33,1.67
何澤堯,葉楚航,1,12,3,3.0,27.52,8.33,25.0,25.0
巴度,姚本輝,1,12,5,-9.9,9.04,8.33,41.67,-82.5
布文,姚本輝,1,12,5,-6.1,8.89,8.33,41.67,-50.83
布文,徐雨石,1,12,4,-5.4,19.37,8.33,33.33,-45.0
田泰安,廖康銘,1,12,5,-7.6,19.88,8.33,41.67,-63.33
金誠剛,伍鵬志,1,12,3,86.0,63.58,8.33,25.0,716.67
何澤堯,姚本輝,0,12,1,-12.0,43.66,0.0,8.33,-100.0
奧爾民,蔡約翰,0,12,3,-12.0,35.1,0.0,25.0,-100.0
班德禮,黎昭昇,0,12,2,-12.0,26.22,0.0,16.67,-100.0
艾兆禮,羅富全,0,12,1,-12.0,30.62,0.0,8.33,-100.0
艾兆禮,葉楚航,0,12,2,-12.0,21.82,0.0,16.67,-100.0
艾道拿,巫偉傑,0,12,2,-12.0,34.02,0.0,16.67,-100.0
艾道拿,賀賢,0,12,3,-12.0,24.92,0.0,25.0,-100.0
蔡明紹,廖康銘,0,12,2,-12.0,26.74,0.0,16.67,-100.0
蔡明紹,羅富全,0,12,0,-12.0,46.35,0.0,0.0,-100.0
鍾易禮,伍鵬志,0,12,0,-12.0,65.58,0.0,0.0,-100.0
霍宏聲,丁冠豪,0,12,0,-12.0,37.83,0.0,0.0,-100.0
麥文堅,沈集成,0,12,2,-12.0,23.02,0.0,16.67,-100.0
黃寶妮,大衛希斯,0,12,2,-12.0,24.59,0.0,16.67,-100.0
黃智弘,文家良,0,12,1,-12.0,45.61,0.0,8.33,-100.0
巴度,鄭俊偉,3,11,6,17.5,11.93,27.27,54.55,159.09
巴度,文家良,1,11,3,-6.8,44.58,9.09,27.27,-61.82
艾道拿,沈集成,1,11,2,-2.0999999999999996,22.35,9.09,18.18,-19.09
霍宏聲,姚本輝,1,11,3,-7.8,18.15,9.09,27.27,-70.91
奧爾民,姚本輝,0,11,3,-11.0,21.42,0.0,27.27,-100.0
奧爾民,沈集成,0,11,1,-11.0,30.2,0.0,9.09,-100.0
奧爾民,羅富全,0,11,0,-11.0,45.17,0.0,0.0,-100.0
巫顯東,丁冠豪,0,11,1,-11.0,65.45,0.0,9.09,-100.0
巴度,伍鵬志,0,11,1,-11.0,26.64,0.0,9.09,-100.0
梁家俊,韋達,0,11,1,-11.0,73.22,0.0,9.09,-100.0
潘大衛,游達榮,0,11,0,-11.0,82.07,0.0,0.0,-100.0
潘明輝,葉楚航,0,11,0,-11.0,30.91,0.0,0.0,-100.0
奧爾民,黎昭昇,2,10,4,23.4,34.84,20.0,40.0,234.0
楊明綸,沈集成,2,10,4,-5.0,73.4,20.0,40.0,-50.0
梁家俊,葉楚航,1,10,1,-6.7,51.08,10.0,10.0,-67.0
潘頓,巫偉傑,1,10,8,-2.7,5.75,10.0,80.0,-27.0
蔡明紹,方嘉柏,1,10,1,-0.9000000000000004,29.88,10.0,10.0,-9.0
麥道朗,伍鵬志,1,10,2,-3.7,11.28,10.0,20.0,-37.0
楊明綸,徐雨石,0,10,0,-10.0,66.03,0.0,0.0,-100.0
楊明綸,桂福特,0,10,0,-10.0,85.8,0.0,0.0,-100.0
潘明輝,丁冠豪,0,10,1,-10.0,31.8,0.0,10.0,-100.0
班德禮,告東尼,0,10,1,-10.0,34.3,0.0,10.0,-100.0
紀仁安,文家良,0,10,1,-10.0,27.84,0.0,10.0,-100.0
蔡明紹,鄭俊偉,0,10,1,-10.0,61.23,0.0,10.0,-100.0
金誠剛,葉楚航,0,10,1,-10.0,50.3,0.0,10.0,-100.0
巫顯東,呂健威,3,9,6,1.7999999999999998,8.61,33.33,66.67,20.0
麥道朗,蔡約翰,3,9,6,4.6,8.84,33.33,66.67,51.11
何澤堯,丁冠豪,2,9,2,4.9,18.36,22.22,22.22,54.44
巴度,丁冠豪,1,9,4,-0.09999999999999964,12.3,11.11,44.44,-1.11
希威森,方嘉柏,1,9,4,0.1999999999999993,8.74,11.11,44.44,2.22
杜苑欣,姚本輝,1,9,2,0.0,14.58,11.11,22.22,0.0
鍾易禮,游達榮,1,9,3,-6.0,25.86,11.11,33.33,-66.67
周俊樂,丁冠豪,0,9,0,-9.0,19.84,0.0,0.0,-100.0
布文,伍鵬志,0,9,2,-9.0,21.19,0.0,22.22,-100.0
希威森,徐雨石,0,9,0,-9.0,38.22,0.0,0.0,-100.0
杜苑欣,伍鵬志,0,9,3,-9.0,16.14,0.0,33.33,-100.0
潘大衛,呂健威,0,9,0,-9.0,71.0,0.0,0.0,-100.0
潘大衛,羅富全,0,9,0,-9.0,90.33,0.0,0.0,-100.0
艾道拿,姚本輝,0,9,2,-9.0,34.71,0.0,22.22,-100.0
艾道拿,廖康銘,0,9,0,-9.0,21.19,0.0,0.0,-100.0
董明朗,韋達,0,9,0,-9.0,40.89,0.0,0.0,-100.0
蔡明紹,蔡約翰,0,9,2,-9.0,49.33,0.0,22.22,-100.0
金誠剛,呂健威,0,9,1,-9.0,74.22,0.0,11.11,-100.0
麥道朗,賀賢,0,9,2,-9.0,9.9,0.0,22.22,-100.0
黃寶妮,黎昭昇,0,9,2,-9.0,42.22,0.0,22.22,-100.0
黃智弘,葉楚航,0,9,0,-9.0,82.11,0.0,0.0,-100.0
黃寶妮,沈集成,2,8,2,2.4000000000000004,36.05,25.0,25.0,30.0
潘頓,鄭俊偉,1,8,4,-1.2000000000000002,10.02,12.5,50.0,-15.0
麥文堅,文家良,1,8,3,1.6999999999999993,27.16,12.5,37.5,21.25
何澤堯,巫偉傑,0,8,3,-8.0,28.56,0.0,37.5,-100.0
巴度,呂健威,0,8,0,-8.0,46.28,0.0,0.0,-100.0
杜苑欣,呂健威,0,8,2,-8.0,44.26,0.0,25.0,-100.0
杜苑欣,告東尼,0,8,1,-8.0,27.61,0.0,12.5,-100.0
楊明綸,羅富全,0,8,0,-8.0,60.25,0.0,0.0,-100.0
潘大衛,大衛希斯,0,8,1,-8.0,77.6,0.0,12.5,-100.0
潘明輝,游達榮,0,8,1,-8.0,25.28,0.0,12.5,-100.0
艾兆禮,大衛希斯,0,8,1,-8.0,26.48,0.0,12.5,-100.0
艾兆禮,韋達,0,8,1,-8.0,18.73,0.0,12.5,-100.0
艾道拿,方嘉柏,0,8,1,-8.0,28.35,0.0,12.5,-100.0
董明朗,桂福特,0,8,1,-8.0,39.79,0.0,12.5,-100.0
鍾易禮,丁冠豪,0,8,0,-8.0,33.54,0.0,0.0,-100.0
霍宏聲,桂福特,0,8,3,-8.0,11.1,0.0,37.5,-100.0
麥道朗,大衛希斯,0,8,2,-8.0,17.2,0.0,25.0,-100.0
黃寶妮,徐雨石,0,8,0,-8.0,36.84,0.0,0.0,-100.0
黃智弘,鄭俊偉,0,8,0,-8.0,30.04,0.0,0.0,-100.0
潘頓,丁冠豪,4,7,6,2.6000000000000005,3.84,57.14,85.71,37.14
布文,桂福特,2,7,3,41.8,15.74,28.57,42.86,597.14
麥道朗,游達榮,2,7,5,5.2,4.87,28.57,71.43,74.29
奧爾民,大衛希斯,1,7,2,0.20000000000000018,42.57,14.29,28.57,2.86
巫顯東,姚本輝,1,7,2,49.0,92.0,14.29,28.57,700.0
潘明輝,廖康銘,1,7,2,-1.2999999999999998,12.67,14.29,28.57,-18.57
班德禮,桂福特,1,7,3,5.0,12.34,14.29,42.86,71.43
麥道朗,蘇偉賢,1,7,3,6.0,7.53,14.29,42.86,85.71
何澤堯,徐雨石,0,7,0,-7.0,33.0,0.0,0.0,-100.0
周俊樂,韋達,0,7,2,-7.0,13.47,0.0,28.57,-100.0
布文,羅富全,0,7,0,-7.0,17.06,0.0,0.0,-100.0
布浩榮,徐雨石,0,7,0,-7.0,29.56,0.0,0.0,-100.0
希威森,蘇偉賢,0,7,0,-7.0,50.26,0.0,0.0,-100.0
杜苑欣,葉楚航,0,7,1,-7.0,18.86,0.0,14.29,-100.0
梁家俊,伍鵬志,0,7,0,-7.0,33.54,0.0,0.0,-100.0
梁家俊,徐雨石,0,7,0,-7.0,66.73,0.0,0.0,-100.0
楊明綸,文家良,0,7,0,-7.0,44.11,0.0,0.0,-100.0
楊明綸,方嘉柏,0,7,1,-7.0,24.44,0.0,14.29,-100.0
紀仁安,黎昭昇,0,7,1,-7.0,24.14,0.0,14.29,-100.0
麥文堅,方嘉柏,0,7,2,-7.0,19.99,0.0,28.57,-100.0
麥文堅,韋達,0,7,2,-7.0,15.97,0.0,28.57,-100.0
麥道朗,黎昭昇,0,7,2,-7.0,9.7,0.0,28.57,-100.0
黃寶妮,葉楚航,0,7,0,-7.0,41.29,0.0,0.0,-100.0
黃智弘,游達榮,0,7,2,-7.0,19.39,0.0,28.57,-100.0
紀仁安,姚本輝,2,6,3,8.2,13.32,33.33,50.0,136.67
班德禮,呂健威,1,6,1,1.5,65.43,16.67,16.67,25.0
田泰安,文家良,1,6,1,24.0,67.83,16.67,16.67,400.0
袁幸堯,伍鵬志,1,6,3,-1.7000000000000002,8.4,16.67,50.0,-28.33
麥文堅,大衛希斯,1,6,1,-0.5,33.75,16.67,16.67,-8.33
麥文堅,葉楚航,1,6,1,-1.2999999999999998,53.12,16.67,16.67,-21.67
何澤堯,游達榮,0,6,1,-6.0,49.97,0.0,16.67,-100.0
巫顯東,羅富全,0,6,0,-6.0,49.67,0.0,0.0,-100.0
巴度,大衛希斯,0,6,0,-6.0,21.37,0.0,0.0,-100.0
杜苑欣,大衛希斯,0,6,0,-6.0,19.17,0.0,0.0,-100.0
梁家俊,桂福特,0,6,0,-6.0,16.92,0.0,0.0,-100.0
梁家俊,沈集成,0,6,0,-6.0,53.33,0.0,0.0,-100.0
楊明綸,葉楚航,0,6,0,-6.0,78.33,0.0,0.0,-100.0
潘大衛,姚本輝,0,6,0,-6.0,59.83,0.0,0.0,-100.0
班德禮,姚本輝,0,6,2,-6.0,77.45,0.0,33.33,-100.0
田泰安,呂健威,0,6,0,-6.0,27.17,0.0,0.0,-100.0
田泰安,方嘉柏,0,6,1,-6.0,9.33,0.0,16.67,-100.0
田泰安,韋達,0,6,2,-6.0,25.28,0.0,33.33,-100.0
紀仁安,游達榮,0,6,1,-6.0,30.5,0.0,16.67,-100.0
紀仁安,羅富全,0,6,2,-6.0,10.67,0.0,33.33,-100.0
艾道拿,伍鵬志,0,6,0,-6.0,23.6,0.0,0.0,-100.0
艾道拿,徐雨石,0,6,0,-6.0,69.0,0.0,0.0,-100.0
蔡明紹,呂健威,0,6,0,-6.0,39.67,0.0,0.0,-100.0
鍾易禮,桂福特,0,6,0,-6.0,75.17,0.0,0.0,-100.0
霍宏聲,蘇偉賢,0,6,1,-6.0,21.38,0.0,16.67,-100.0
韋紀力,蔡約翰,0,6,2,-6.0,33.13,0.0,33.33,-100.0
麥文堅,巫偉傑,0,6,0,-6.0,29.3,0.0,0.0,-100.0
黃寶妮,告東尼,2,5,2,27.0,23.0,40.0,40.0,540.0
巴度,徐雨石,1,5,2,5.0,15.2,20.0,40.0,100.0
班德禮,方嘉柏,1,5,2,-1.1,8.7,20.0,40.0,-22.0
麥道朗,巫偉傑,1,5,3,-2.9,4.84,20.0,60.0,-58.0
奧爾民,游達榮,0,5,0,-5.0,65.6,0.0,0.0,-100.0
巴度,桂福特,0,5,1,-5.0,22.4,0.0,20.0,-100.0
巴度,游達榮,0,5,0,-5.0,46.42,0.0,0.0,-100.0
