Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
徐雨石,沙田,Turf,1600,2,20,5,8.0,68.74,10.0,25.0,40.0
沈集成,跑馬地,Turf,1000,2,20,8,-8.3,21.3,10.0,40.0,-41.5
鄭俊偉,跑馬地,Turf,1650,0,20,1,-20.0,43.48,0.0,5.0,-100.0
鄭俊偉,跑馬地,Turf,1000,2,19,5,7.1,53.73,10.53,26.32,37.37
丁冠豪,沙田,Turf,1600,1,19,8,-13.6,16.27,5.26,42.11,-71.58
大衛希斯,跑馬地,Turf,1000,1,19,4,-12.6,25.86,5.26,21.05,-66.32
巫偉傑,沙田,Turf,1000,1,19,6,51.0,31.44,5.26,31.58,268.42
方嘉柏,沙田,Turf,1000,1,19,4,-16.2,20.4,5.26,21.05,-85.26
羅富全,沙田,Turf,1000,1,19,5,-13.8,15.62,5.26,26.32,-72.63
伍鵬志,沙田,Turf,1000,0,19,1,-19.0,44.71,0.0,5.26,-100.0
羅富全,沙田,AWT,1650,0,19,0,-19.0,25.02,0.0,0.0,-100.0
黎昭昇,沙田,AWT,1200,0,19,3,-19.0,61.8,0.0,15.79,-100.0
羅富全,沙田,Turf,1800,3,18,6,27.7,47.13,16.67,33.33,153.89
蔡約翰,沙田,AWT,1650,3,18,10,-7.7,9.09,16.67,55.56,-42.78
葉楚航,沙田,Turf,1000,2,18,5,-10.3,27.02,11.11,27.78,-57.22
伍鵬志,跑馬地,Turf,1800,1,18,5,-12.4,15.92,5.56,27.78,-68.89
姚本輝,沙田,AWT,1650,1,18,4,-13.9,14.96,5.56,22.22,-77.22
徐雨石,沙田,Turf,1000,1,18,2,-12.0,45.38,5.56,11.11,-66.67
葉楚航,沙田,Turf,1600,1,18,5,-15.1,33.58,5.56,27.78,-83.89
蘇偉賢,沙田,AWT,1650,1,18,4,-3.0,33.83,5.56,22.22,-16.67
告東尼,跑馬地,Turf,1000,3,17,4,-3.8999999999999995,26.28,17.65,23.53,-22.94
黎昭昇,沙田,Turf,1600,3,17,6,6.9,32.95,17.65,35.29,40.59
羅富全,跑馬地,Turf,1000,2,17,6,-6.2,7.34,11.76,35.29,-36.47
蔡約翰,沙田,Turf,1800,2,17,4,2.5,17.48,11.76,23.53,14.71
鄭俊偉,沙田,Turf,1600,2,17,4,-0.2999999999999998,35.38,11.76,23.53,-1.76
徐雨石,沙田,AWT,1650,1,17,3,-6.0,29.48,5.88,17.65,-35.29
沈集成,沙田,Turf,1600,1,17,2,-15.5,51.92,5.88,11.76,-91.18
巫偉傑,沙田,AWT,1200,0,17,2,-17.0,35.56,0.0,11.76,-100.0
葉楚航,跑馬地,Turf,1000,0,17,3,-17.0,14.19,0.0,17.65,-100.0
韋達,沙田,AWT,1200,0,17,2,-17.0,43.15,0.0,11.76,-100.0
桂福特,沙田,AWT,1200,2,16,5,-8.8,23.5,12.5,31.25,-55.0
沈集成,跑馬地,Turf,1800,5,15,9,23.0,7.69,33.33,60.0,153.33
大衛希斯,跑馬地,Turf,1800,3,15,5,-3.3999999999999995,7.78,20.0,33.33,-22.67
文家良,跑馬地,Turf,1000,3,15,6,0.8000000000000007,31.38,20.0,40.0,5.33
呂健威,沙田,AWT,1200,1,15,1,-1.0,32.62,6.67,6.67,-6.67
姚本輝,沙田,Turf,1000,1,15,5,-8.6,25.54,6.67,33.33,-57.33
巫偉傑,跑馬地,Turf,1000,1,15,6,-11.2,14.72,6.67,40.0,-74.67
文家良,沙田,AWT,1650,1,15,2,7.0,25.61,6.67,13.33,46.67
游達榮,沙田,Turf,1800,0,15,3,-15.0,22.49,0.0,20.0,-100.0
姚本輝,沙田,Turf,1800,3,14,4,55.0,20.86,21.43,28.57,392.86
姚本輝,跑馬地,Turf,1800,1,14,4,16.0,24.32,7.14,28.57,114.29
蘇偉賢,沙田,AWT,1200,1,14,2,-5.800000000000001,27.65,7.14,14.29,-41.43
桂福特,跑馬地,Turf,1650,0,14,3,-14.0,35.09,0.0,21.43,-100.0
羅富全,跑馬地,Turf,1800,0,14,4,-14.0,23.07,0.0,28.57,-100.0
廖康銘,沙田,Turf,2000,2,13,5,0.0,18.07,15.38,38.46,0.0
丁冠豪,跑馬地,Turf,1000,1,13,3,-9.3,11.64,7.69,23.08,-71.54
羅富全,沙田,Turf,2000,1,13,5,-7.0,29.75,7.69,38.46,-53.85
蔡約翰,沙田,Turf,2000,1,13,4,-6.8,25.15,7.69,30.77,-52.31
蘇偉賢,沙田,Turf,1800,1,13,4,-8.6,35.95,7.69,30.77,-66.15
黎昭昇,沙田,Turf,1000,1,13,5,-9.4,12.68,7.69,38.46,-72.31
丁冠豪,沙田,AWT,1650,0,13,3,-13.0,29.39,0.0,23.08,-100.0
伍鵬志,沙田,AWT,1200,0,13,3,-13.0,48.18,0.0,23.08,-100.0
伍鵬志,沙田,Turf,2000,0,13,2,-13.0,19.83,0.0,15.38,-100.0
大衛希斯,沙田,Turf,2000,0,13,3,-13.0,23.84,0.0,23.08,-100.0
桂福特,沙田,Turf,1000,0,13,3,-13.0,42.35,0.0,23.08,-100.0
蔡約翰,跑馬地,Turf,1800,0,13,2,-13.0,18.39,0.0,15.38,-100.0
桂福特,跑馬地,Turf,1800,2,12,4,-2.5,35.91,16.67,33.33,-20.83
伍鵬志,沙田,AWT,1800,1,12,3,-7.7,18.41,8.33,25.0,-64.17
姚本輝,沙田,Turf,2000,0,12,6,-12.0,9.52,0.0,50.0,-100.0
方嘉柏,沙田,Turf,1800,0,12,5,-12.0,13.94,0.0,41.67,-100.0
蔡約翰,跑馬地,Turf,1000,0,12,1,-12.0,16.37,0.0,8.33,-100.0
蘇偉賢,跑馬地,Turf,1800,0,12,2,-12.0,28.62,0.0,16.67,-100.0
呂健威,跑馬地,Turf,1800,2,11,3,4.0,13.88,18.18,27.27,36.36
葉楚航,沙田,Turf,2000,2,11,2,27.0,27.4,18.18,18.18,245.45
沈集成,沙田,Turf,1800,1,11,2,-5.7,43.79,9.09,18.18,-51.82
韋達,跑馬地,Turf,1800,1,11,2,-3.2,30.55,9.09,18.18,-29.09
游達榮,沙田,AWT,1200,0,11,3,-11.0,24.55,0.0,27.27,-100.0
游達榮,沙田,Turf,1000,1,10,3,-6.2,50.11,10.0,30.0,-62.0
賀賢,跑馬地,Turf,1800,1,10,1,21.0,20.24,10.0,10.0,210.0
伍鵬志,跑馬地,Turf,2200,0,10,3,-10.0,22.11,0.0,30.0,-100.0
廖康銘,沙田,Turf,1800,0,10,1,-10.0,30.91,0.0,10.0,-100.0
葉楚航,沙田,Turf,1800,0,10,1,-10.0,19.71,0.0,10.0,-100.0
蘇偉賢,跑馬地,Turf,1000,0,10,0,-10.0,65.4,0.0,0.0,-100.0
黎昭昇,跑馬地,Turf,1000,0,10,2,-10.0,17.98,0.0,20.0,-100.0
沈集成,沙田,Turf,2000,4,9,4,-4.2,17.3,44.44,44.44,-46.67
賀賢,沙田,AWT,1650,2,9,3,30.0,15.18,22.22,33.33,333.33
丁冠豪,沙田,Turf,1000,1,9,1,-5.0,46.63,11.11,11.11,-55.56
呂健威,跑馬地,Turf,1000,1,9,3,5.0,41.9,11.11,33.33,55.56
丁冠豪,沙田,AWT,1200,0,9,3,-9.0,34.23,0.0,33.33,-100.0
巫偉傑,沙田,Turf,1800,0,9,0,-9.0,79.56,0.0,0.0,-100.0
徐雨石,沙田,Turf,1800,0,9,2,-9.0,36.78,0.0,22.22,-100.0
文家良,沙田,Turf,1800,0,9,2,-9.0,29.91,0.0,22.22,-100.0
沈集成,沙田,Turf,1000,0,9,0,-9.0,60.87,0.0,0.0,-100.0
游達榮,跑馬地,Turf,1000,0,9,2,-9.0,36.77,0.0,22.22,-100.0
游達榮,跑馬地,Turf,1800,0,9,1,-9.0,16.1,0.0,11.11,-100.0
葉楚航,跑馬地,Turf,1800,0,9,1,-9.0,44.11,0.0,11.11,-100.0
廖康銘,跑馬地,Turf,1800,2,8,3,-0.8999999999999997,10.28,25.0,37.5,-11.25
桂福特,沙田,AWT,1650,1,8,1,-0.2999999999999998,31.01,12.5,12.5,-3.75
游達榮,沙田,Turf,2000,1,8,1,-4.7,44.05,12.5,12.5,-58.75
鄭俊偉,沙田,Turf,1800,1,8,2,4.0,41.62,12.5,25.0,50.0
丁冠豪,沙田,Turf,1800,0,8,0,-8.0,33.12,0.0,0.0,-100.0
丁冠豪,跑馬地,Turf,1800,0,8,2,-8.0,23.25,0.0,25.0,-100.0
呂健威,沙田,AWT,1650,0,8,1,-8.0,37.41,0.0,12.5,-100.0
告東尼,跑馬地,Turf,2200,0,8,1,-8.0,11.02,0.0,12.5,-100.0
姚本輝,跑馬地,Turf,1000,0,8,0,-8.0,44.09,0.0,0.0,-100.0
巫偉傑,沙田,AWT,1650,0,8,0,-8.0,78.66,0.0,0.0,-100.0
方嘉柏,沙田,Turf,2000,0,8,0,-8.0,17.94,0.0,0.0,-100.0
賀賢,沙田,Turf,1800,0,8,2,-8.0,24.6,0.0,25.0,-100.0
賀賢,沙田,Turf,2000,0,8,0,-8.0,13.85,0.0,0.0,-100.0
沈集成,沙田,AWT,1800,4,7,5,9.7,6.39,57.14,71.43,138.57
丁冠豪,沙田,AWT,1800,1,7,2,0.0,24.0,14.29,28.57,0.0
桂福特,沙田,Turf,1800,1,7,4,0.9000000000000004,14.8,14.29,57.14,12.86
呂健威,沙田,Turf,1800,0,7,1,-7.0,11.36,0.0,14.29,-100.0
告東尼,沙田,AWT,1800,0,7,1,-7.0,17.99,0.0,14.29,-100.0
巫偉傑,跑馬地,Turf,1800,0,7,0,-7.0,40.6,0.0,0.0,-100.0
賀賢,跑馬地,Turf,1000,0,7,0,-7.0,47.14,0.0,0.0,-100.0
韋達,沙田,AWT,1650,0,7,0,-7.0,76.03,0.0,0.0,-100.0
韋達,沙田,Turf,1800,0,7,0,-7.0,44.43,0.0,0.0,-100.0
黎昭昇,沙田,AWT,1650,0,7,0,-7.0,30.71,0.0,0.0,-100.0
呂健威,沙田,Turf,2000,3,6,5,4.8,14.02,50.0,83.33,80.0
徐雨石,跑馬地,Turf,1800,1,6,1,4.0,51.17,16.67,16.67,66.67
文家良,跑馬地,Turf,2200,1,6,3,-0.09999999999999964,18.18,16.67,50.0,-1.67
徐雨石,沙田,Turf,2000,0,6,0,-6.0,15.85,0.0,0.0,-100.0
游達榮,沙田,AWT,1800,0,6,0,-6.0,27.17,0.0,0.0,-100.0
蘇偉賢,沙田,Turf,2000,0,6,0,-6.0,27.17,0.0,0.0,-100.0
鄭俊偉,跑馬地,Turf,1800,0,6,0,-6.0,54.48,0.0,0.0,-100.0
大衛希斯,跑馬地,Turf,2200,1,5,2,0.5999999999999996,13.9,20.0,40.0,12.0
文家良,沙田,Turf,2000,1,5,1,1.0,10.48,20.0,20.0,20.0
桂福特,跑馬地,Turf,1000,1,5,1,-2.2,34.14,20.0,20.0,-44.0
丁冠豪,沙田,Turf,2000,0,5,0,-5.0,21.38,0.0,0.0,-100.0
大衛希斯,沙田,AWT,1800,0,5,1,-5.0,34.2,0.0,20.0,-100.0
文家良,跑馬地,Turf,1800,0,5,0,-5.0,15.08,0.0,0.0,-100.0
桂福特,沙田,Turf,2000,0,5,1,-5.0,28.46,0.0,20.0,-100.0
蔡約翰,沙田,AWT,1800,0,5,1,-5.0,11.04,0.0,20.0,-100.0
蔡約翰,跑馬地,Turf,2200,0,5,1,-5.0,11.1,0.0,20.0,-100.0
蘇偉賢,沙田,AWT,1800,0,5,3,-5.0,6.46,0.0,60.0,-100.0
賀賢,跑馬地,Turf,2200,0,5,1,-5.0,11.64,0.0,20.0,-100.0
鄭俊偉,沙田,AWT,1800,0,5,0,-5.0,48.34,0.0,0.0,-100.0
黎昭昇,沙田,Turf,1800,0,5,1,-5.0,7.82,0.0,20.0,-100.0
徐雨石,跑馬地,Turf,2200,1,4,1,0.09999999999999964,23.78,25.0,25.0,2.5
沈集成,跑馬地,Turf,2200,1,4,2,5.4,11.1,25.0,50.0,135.0
葉楚航,跑馬地,Turf,2200,1,4,1,4.300000000000001,15.42,25.0,25.0,107.5
丁冠豪,跑馬地,Turf,2200,0,4,0,-4.0,15.25,0.0,0.0,-100.0
姚本輝,跑馬地,Turf,2200,0,4,0,-4.0,23.5,0.0,0.0,-100.0
巫偉傑,沙田,Turf,2000,0,4,0,-4.0,61.0,0.0,0.0,-100.0
方嘉柏,沙田,AWT,1800,0,4,0,-4.0,10.12,0.0,0.0,-100.0
韋達,沙田,Turf,2000,0,4,0,-4.0,87.75,0.0,0.0,-100.0
黎昭昇,跑馬地,Turf,1800,0,4,2,-4.0,15.85,0.0,50.0,-100.0
黎昭昇,跑馬地,Turf,2200,0,4,1,-4.0,7.78,0.0,25.0,-100.0
廖康銘,跑馬地,Turf,2200,1,3,1,-0.20000000000000018,4.7,33.33,33.33,-6.67
方嘉柏,跑馬地,Turf,2200,0,3,1,-3.0,11.3,0.0,33.33,-100.0
桂福特,沙田,AWT,1800,0,3,1,-3.0,22.7,0.0,33.33,-100.0
羅富全,沙田,AWT,1800,0,3,0,-3.0,40.5,0.0,0.0,-100.0
葉楚航,沙田,AWT,1800,0,3,1,-3.0,21.0,0.0,33.33,-100.0
蔡約翰,沙田,Turf,2400,0,3,0,-3.0,21.53,0.0,0.0,-100.0
巫偉傑,跑馬地,Turf,2200,1,2,1,86.0,107.0,50.0,50.0,4300.0
沈集成,沙田,Turf,2400,1,2,1,3.4000000000000004,28.2,50.0,50.0,170.0
告東尼,沙田,Turf,2400,0,2,1,-2.0,10.75,0.0,50.0,-100.0
堀宣行,沙田,Turf,1200,0,2,1,-2.0,61.5,0.0,50.0,-100.0
文家良,沙田,AWT,1800,0,2,0,-2.0,30.0,0.0,0.0,-100.0
游孝廉,沙田,Turf,1600,0,2,1,-2.0,52.5,0.0,50.0,-100.0
蘇偉賢,跑馬地,Turf,2200,0,2,0,-2.0,32.0,0.0,0.0,-100.0
賀賢,沙田,AWT,1800,0,2,0,-2.0,62.0,0.0,0.0,-100.0
鄭俊偉,跑馬地,Turf,2200,0,2,1,-2.0,38.0,0.0,50.0,-100.0
韋達,沙田,AWT,1800,0,2,0,-2.0,30.5,0.0,0.0,-100.0
費伯華,沙田,Turf,2400,1,1,1,1.7000000000000002,2.7,100.0,100.0,170.0
上村洋行,沙田,Turf,2000,0,1,1,-1.0,9.4,0.0,100.0,-100.0
伍鵬志,沙田,Turf,2400,0,1,0,-1.0,42.0,0.0,0.0,-100.0
