Jockey,Trainer,Wins,Starts,Places,WinRate,PlaceRate
布宜學,羅富全,0,1,0,0.0,0.0
布宜學,葉楚航,0,1,1,0.0,100.0
布文,丁冠豪,0,4,2,0.0,50.0
布文,伍鵬志,0,10,2,0.0,20.0
布文,呂健威,1,11,5,9.1,45.5
布文,告東尼,1,21,4,4.8,19.0
布文,大衛希斯,4,40,14,10.0,35.0
布文,姚本輝,5,24,10,20.8,41.7
布文,容天鵬,1,23,6,4.3,26.1
布文,巫偉傑,0,4,1,0.0,25.0
布文,廖康銘,4,23,9,17.4,39.1
布文,徐雨石,0,4,0,0.0,0.0
布文,文家良,2,19,4,10.5,21.1
布文,方嘉柏,18,113,42,15.9,37.2
布文,沈集成,8,49,13,16.3,26.5
布文,游達榮,1,17,4,5.9,23.5
布文,羅富全,0,16,7,0.0,43.8
布文,葉楚航,1,6,2,16.7,33.3
布文,蔡約翰,11,85,34,12.9,40.0
布文,蘇偉賢,0,10,1,0.0,10.0
布文,賀賢,3,45,14,6.7,31.1
布文,鄭俊偉,0,1,0,0.0,0.0
布文,韋達,10,42,18,23.8,42.9
布文,黎昭昇,2,27,7,7.4,25.9
希威森,丁冠豪,0,8,3,0.0,37.5
希威森,伍鵬志,0,15,0,0.0,0.0
希威森,呂健威,8,101,24,7.9,23.8
希威森,大衛希斯,3,53,13,5.7,24.5
希威森,姚本輝,0,3,0,0.0,0.0
希威森,容天鵬,2,39,8,5.1,20.5
希威森,巫偉傑,0,4,2,0.0,50.0
希威森,廖康銘,6,81,19,7.4,23.5
希威森,徐雨石,0,3,0,0.0,0.0
希威森,文家良,1,7,3,14.3,42.9
希威森,方嘉柏,1,11,2,9.1,18.2
希威森,沈集成,0,7,2,0.0,28.6
希威森,游達榮,0,9,2,0.0,22.2
希威森,羅富全,0,13,2,0.0,15.4
希威森,葉楚航,0,5,1,0.0,20.0
希威森,蘇偉賢,1,17,4,5.9,23.5
希威森,賀賢,0,2,0,0.0,0.0
希威森,鄭俊偉,0,18,2,0.0,11.1
希威森,韋達,5,79,18,6.3,22.8
希威森,黎昭昇,2,19,4,10.5,21.1
杜滿樂,池添學,0,1,0,0.0,0.0
杜滿樂,雷里雅,0,1,0,0.0,0.0
杜苑欣,丁冠豪,1,1,1,100.0,100.0
杜苑欣,伍鵬志,0,1,0,0.0,0.0
杜苑欣,呂健威,0,1,0,0.0,0.0
杜苑欣,大衛希斯,1,4,2,25.0,50.0
杜苑欣,姚本輝,0,2,1,0.0,50.0
杜苑欣,巫偉傑,0,1,1,0.0,100.0
杜苑欣,徐雨石,0,4,0,0.0,0.0
杜苑欣,文家良,0,1,1,0.0,100.0
杜苑欣,沈集成,0,3,1,0.0,33.3
杜苑欣,葉楚航,0,1,0,0.0,0.0
杜苑欣,賀賢,0,1,0,0.0,0.0
杜苑欣,韋達,0,2,0,0.0,0.0
杜苑欣,黎昭昇,0,2,0,0.0,0.0
柯浩新,范鴻禧,0,1,0,0.0,0.0
梁家俊,丁冠豪,3,30,7,10.0,23.3
梁家俊,伍鵬志,0,30,6,0.0,20.0
梁家俊,呂健威,1,14,4,7.1,28.6
梁家俊,告東尼,0,3,1,0.0,33.3
梁家俊,大衛希斯,1,25,3,4.0,12.0
梁家俊,姚本輝,2,35,15,5.7,42.9
梁家俊,容天鵬,2,30,8,6.7,26.7
梁家俊,巫偉傑,10,80,23,12.5,28.7
梁家俊,廖康銘,0,2,1,0.0,50.0
梁家俊,徐雨石,1,4,1,25.0,25.0
梁家俊,文家良,5,47,11,10.6,23.4
梁家俊,方嘉柏,0,1,0,0.0,0.0
梁家俊,沈集成,1,17,4,5.9,23.5
梁家俊,游達榮,0,5,0,0.0,0.0
梁家俊,羅富全,7,82,20,8.5,24.4
梁家俊,葉楚航,0,5,1,0.0,20.0
梁家俊,蘇偉賢,0,1,0,0.0,0.0
梁家俊,鄭俊偉,3,30,4,10.0,13.3
梁家俊,韋達,0,1,0,0.0,0.0
梁家俊,黎昭昇,0,5,0,0.0,0.0
楊明綸,丁冠豪,0,8,1,0.0,12.5
楊明綸,伍鵬志,0,7,1,0.0,14.3
楊明綸,呂健威,1,22,5,4.5,22.7
楊明綸,告東尼,4,16,5,25.0,31.2
楊明綸,大衛希斯,2,66,6,3.0,9.1
楊明綸,容天鵬,0,9,0,0.0,0.0
楊明綸,巫偉傑,0,9,0,0.0,0.0
楊明綸,徐雨石,2,38,6,5.3,15.8
楊明綸,文家良,1,36,7,2.8,19.4
楊明綸,方嘉柏,0,23,3,0.0,13.0
楊明綸,沈集成,0,9,0,0.0,0.0
楊明綸,游達榮,0,2,0,0.0,0.0
楊明綸,羅富全,3,25,7,12.0,28.0
楊明綸,葉楚航,0,4,0,0.0,0.0
楊明綸,蔡約翰,1,7,3,14.3,42.9
楊明綸,蘇偉賢,2,58,14,3.4,24.1
楊明綸,賀賢,0,1,0,0.0,0.0
楊明綸,鄭俊偉,2,62,10,3.2,16.1
楊明綸,韋達,0,19,1,0.0,5.3
楊明綸,黎昭昇,2,13,3,15.4,23.1
湯普新,丁冠豪,0,2,0,0.0,0.0
湯普新,伍鵬志,0,5,0,0.0,0.0
湯普新,呂健威,0,5,0,0.0,0.0
湯普新,告東尼,2,19,5,10.5,26.3
湯普新,大衛希斯,0,81,7,0.0,8.6
湯普新,姚本輝,0,13,2,0.0,15.4
湯普新,容天鵬,0,24,3,0.0,12.5
湯普新,巫偉傑,0,2,0,0.0,0.0
湯普新,廖康銘,0,15,0,0.0,0.0
湯普新,徐雨石,0,5,0,0.0,0.0
湯普新,文家良,0,4,2,0.0,50.0
湯普新,方嘉柏,1,15,3,6.7,20.0
湯普新,游達榮,1,15,2,6.7,13.3
湯普新,羅富全,0,4,0,0.0,0.0
湯普新,葉楚航,1,21,1,4.8,4.8
湯普新,蔡約翰,1,33,5,3.0,15.2
湯普新,蘇偉賢,0,9,0,0.0,0.0
湯普新,賀賢,0,13,1,0.0,7.7
湯普新,鄭俊偉,3,53,12,5.7,22.6
湯普新,韋達,0,1,0,0.0,0.0
湯普新,黎昭昇,0,41,9,0.0,22.0
溫蘿,顧永賢,0,1,0,0.0,0.0
潘明輝,丁冠豪,0,14,1,0.0,7.1
潘明輝,伍鵬志,3,66,16,4.5,24.2
潘明輝,呂健威,0,5,3,0.0,60.0
潘明輝,告東尼,2,12,5,16.7,41.7
潘明輝,大衛希斯,0,3,2,0.0,66.7
潘明輝,姚本輝,8,62,18,12.9,29.0
潘明輝,容天鵬,1,12,3,8.3,25.0
潘明輝,巫偉傑,1,25,3,4.0,12.0
潘明輝,廖康銘,3,28,8,10.7,28.6
潘明輝,徐雨石,0,17,3,0.0,17.6
潘明輝,文家良,2,40,6,5.0,15.0
潘明輝,方嘉柏,0,1,0,0.0,0.0
潘明輝,沈集成,2,38,7,5.3,18.4
潘明輝,游達榮,3,28,10,10.7,35.7
潘明輝,羅富全,2,58,14,3.4,24.1
潘明輝,葉楚航,2,27,7,7.4,25.9
潘明輝,蔡約翰,0,3,0,0.0,0.0
潘明輝,蘇偉賢,0,1,0,0.0,0.0
潘明輝,賀賢,5,84,16,6.0,19.0
潘明輝,鄭俊偉,2,32,8,6.2,25.0
潘明輝,黎昭昇,0,4,0,0.0,0.0
潘頓,丁冠豪,3,8,4,37.5,50.0
潘頓,伍鵬志,8,58,26,13.8,44.8
潘頓,呂健威,9,29,19,31.0,65.5
潘頓,告東尼,6,25,13,24.0,52.0
潘頓,大衛希斯,18,74,40,24.3,54.1
潘頓,姚本輝,2,10,4,20.0,40.0
潘頓,容天鵬,2,17,6,11.8,35.3
潘頓,巫偉傑,0,13,4,0.0,30.8
潘頓,廖康銘,2,18,5,11.1,27.8
潘頓,徐雨石,0,3,1,0.0,33.3
潘頓,文家良,8,24,12,33.3,50.0
潘頓,方嘉柏,0,1,0,0.0,0.0
潘頓,沈集成,7,26,10,26.9,38.5
潘頓,游達榮,6,18,10,33.3,55.6
潘頓,羅富全,15,47,28,31.9,59.6
潘頓,葉楚航,7,27,12,25.9,44.4
潘頓,蔡約翰,15,58,30,25.9,51.7
潘頓,蘇偉賢,10,48,22,20.8,45.8
潘頓,賀賢,9,34,19,26.5,55.9
潘頓,鄭俊偉,0,5,1,0.0,20.0
潘頓,韋達,1,9,5,11.1,55.6
潘頓,馬晏殊,0,1,0,0.0,0.0
潘頓,黎昭昇,10,40,21,25.0,52.5
班德禮,丁冠豪,4,67,12,6.0,17.9
班德禮,伍鵬志,0,11,1,0.0,9.1
班德禮,呂健威,0,1,0,0.0,0.0
班德禮,告東尼,2,31,11,6.5,35.5
班德禮,大衛希斯,1,14,6,7.1,42.9
班德禮,姚本輝,0,15,1,0.0,6.7
班德禮,容天鵬,0,9,2,0.0,22.2
班德禮,巫偉傑,5,35,11,14.3,31.4
班德禮,廖康銘,1,24,9,4.2,37.5
班德禮,徐雨石,1,12,3,8.3,25.0
班德禮,文家良,0,3,0,0.0,0.0
班德禮,方嘉柏,2,29,2,6.9,6.9
班德禮,沈集成,3,52,10,5.8,19.2
班德禮,游達榮,0,6,0,0.0,0.0
班德禮,羅富全,0,14,3,0.0,21.4
班德禮,葉楚航,1,19,2,5.3,10.5
班德禮,蔡約翰,0,2,0,0.0,0.0
班德禮,蘇偉賢,6,31,12,19.4,38.7
班德禮,賀賢,1,9,3,11.1,33.3
班德禮,韋達,4,73,15,5.5,20.5
班德禮,黎昭昇,0,5,0,0.0,0.0
田泰安,丁冠豪,0,6,2,0.0,33.3
田泰安,伍鵬志,2,53,9,3.8,17.0
田泰安,呂健威,1,14,6,7.1,42.9
田泰安,告東尼,0,6,0,0.0,0.0
田泰安,大衛希斯,8,71,27,11.3,38.0
田泰安,姚本輝,1,23,4,4.3,17.4
田泰安,容天鵬,0,2,0,0.0,0.0
田泰安,巫偉傑,2,24,9,8.3,37.5
田泰安,廖康銘,0,3,1,0.0,33.3
田泰安,徐雨石,3,45,8,6.7,17.8
田泰安,文家良,0,7,2,0.0,28.6
田泰安,方嘉柏,0,8,2,0.0,25.0
田泰安,沈集成,0,5,1,0.0,20.0
田泰安,游達榮,7,77,23,9.1,29.9
田泰安,羅富全,2,25,6,8.0,24.0
田泰安,葉楚航,3,28,8,10.7,28.6
田泰安,蔡約翰,6,49,14,12.2,28.6
田泰安,蘇偉賢,1,28,5,3.6,17.9
田泰安,賀賢,3,74,16,4.1,21.6
田泰安,鄭俊偉,3,29,13,10.3,44.8
田泰安,韋達,1,29,2,3.4,6.9
田泰安,黎昭昇,1,28,6,3.6,21.4
簡國能,丁冠豪,0,1,0,0.0,0.0
簡國能,姚本輝,0,1,1,0.0,100.0
簡國能,巫偉傑,0,2,0,0.0,0.0
簡國能,賀賢,0,1,1,0.0,100.0
羅敦,岳伯仁,0,2,0,0.0,0.0
艾兆禮,丁冠豪,0,1,0,0.0,0.0
艾兆禮,伍鵬志,11,95,24,11.6,25.3
艾兆禮,呂健威,4,36,11,11.1,30.6
艾兆禮,告東尼,0,5,3,0.0,60.0
艾兆禮,大衛希斯,0,29,6,0.0,20.7
艾兆禮,姚本輝,4,50,21,8.0,42.0
艾兆禮,容天鵬,0,12,4,0.0,33.3
艾兆禮,巫偉傑,2,19,4,10.5,21.1
艾兆禮,廖康銘,4,13,5,30.8,38.5
艾兆禮,徐雨石,1,8,3,12.5,37.5
艾兆禮,文家良,3,19,6,15.8,31.6
艾兆禮,方嘉柏,3,14,7,21.4,50.0
艾兆禮,沈集成,1,23,5,4.3,21.7
艾兆禮,游達榮,4,62,15,6.5,24.2
艾兆禮,羅富全,8,48,16,16.7,33.3
艾兆禮,葉楚航,3,32,8,9.4,25.0
艾兆禮,蔡約翰,8,67,21,11.9,31.3
艾兆禮,蘇偉賢,1,29,6,3.4,20.7
艾兆禮,賀賢,0,12,3,0.0,25.0
艾兆禮,鄭俊偉,0,8,1,0.0,12.5
艾兆禮,韋達,0,9,1,0.0,11.1
艾兆禮,黎昭昇,1,28,7,3.6,25.0
艾道拿,伍鵬志,1,14,3,7.1,21.4
艾道拿,呂健威,0,1,0,0.0,0.0
艾道拿,告東尼,10,105,26,9.5,24.8
艾道拿,大衛希斯,6,27,13,22.2,48.1
艾道拿,姚本輝,0,20,2,0.0,10.0
艾道拿,容天鵬,0,3,1,0.0,33.3
艾道拿,廖康銘,2,17,5,11.8,29.4
艾道拿,徐雨石,0,1,0,0.0,0.0
艾道拿,文家良,0,2,0,0.0,0.0
艾道拿,方嘉柏,2,24,7,8.3,29.2
艾道拿,沈集成,1,21,5,4.8,23.8
艾道拿,游達榮,3,9,5,33.3,55.6
艾道拿,羅富全,0,6,2,0.0,33.3
艾道拿,葉楚航,0,9,1,0.0,11.1
艾道拿,蔡約翰,17,144,57,11.8,39.6
艾道拿,蘇偉賢,0,2,0,0.0,0.0
艾道拿,賀賢,3,56,9,5.4,16.1
艾道拿,鄭俊偉,0,5,0,0.0,0.0
艾道拿,韋達,0,10,2,0.0,20.0
艾道拿,黎昭昇,2,35,8,5.7,22.9
苗傑美,伍鵬志,0,1,0,0.0,0.0
苗傑美,姚本輝,0,1,0,0.0,0.0
苗傑美,羅富全,0,2,1,0.0,50.0
范以誠,納斯,0,1,1,0.0,100.0
范以誠,雷拿及雷恩,0,1,0,0.0,0.0
莫艾誠,包義定,0,1,0,0.0,0.0
莫艾誠,布銘球,1,1,1,100.0,100.0
莫雅,伍鵬志,0,1,0,0.0,0.0
莫雅,呂健威,1,3,3,33.3,100.0
莫雅,大衛希斯,1,2,1,50.0,50.0
莫雅,姚本輝,0,2,1,0.0,50.0
莫雅,岳伯仁,0,2,0,0.0,0.0
莫雅,方嘉柏,0,3,2,0.0,66.7
莫雅,沈集成,1,3,1,33.3,33.3
莫雅,游達榮,0,2,0,0.0,0.0
莫雅,羅富全,0,1,0,0.0,0.0
莫雅,范景新,0,1,0,0.0,0.0
莫雅,葉楚航,0,1,0,0.0,0.0
莫雅,蔡約翰,3,18,7,16.7,38.9
莫雅,蘇偉賢,0,1,0,0.0,0.0
莫雅,黎昭昇,0,1,0,0.0,0.0
莫雷拉,伍鵬志,0,4,2,0.0,50.0
莫雷拉,呂健威,2,7,3,28.6,42.9
莫雷拉,國枝榮,0,1,1,0.0,100.0
莫雷拉,堀宣行,0,2,2,0.0,100.0
莫雷拉,廖康銘,0,1,0,0.0,0.0
莫雷拉,方嘉柏,1,7,3,14.3,42.9
莫雷拉,池江泰壽,0,1,1,0.0,100.0
莫雷拉,沈集成,0,1,0,0.0,0.0
莫雷拉,羅富全,2,4,2,50.0,50.0
莫雷拉,蘇偉賢,0,3,2,0.0,66.7
菅原明良,高柳瑞樹,0,1,0,0.0,0.0
董明朗,丁冠豪,0,2,0,0.0,0.0
董明朗,伍鵬志,0,4,1,0.0,25.0
董明朗,呂健威,2,31,3,6.5,9.7
董明朗,大衛希斯,1,5,1,20.0,20.0
董明朗,姚本輝,0,9,2,0.0,22.2
董明朗,容天鵬,0,5,0,0.0,0.0
董明朗,巫偉傑,0,1,0,0.0,0.0
董明朗,廖康銘,0,1,0,0.0,0.0
董明朗,徐雨石,0,19,4,0.0,21.1
董明朗,文家良,0,3,0,0.0,0.0
董明朗,方嘉柏,1,18,2,5.6,11.1
董明朗,沈集成,0,1,0,0.0,0.0
董明朗,游達榮,0,5,0,0.0,0.0
董明朗,羅富全,0,2,0,0.0,0.0
董明朗,葉楚航,0,7,0,0.0,0.0
董明朗,蘇偉賢,7,90,15,7.8,16.7
董明朗,賀賢,0,13,2,0.0,15.4
董明朗,鄭俊偉,0,5,0,0.0,0.0
董明朗,韋達,1,20,5,5.0,25.0
董明朗,黎昭昇,0,3,0,0.0,0.0
蔡明紹,丁冠豪,0,8,0,0.0,0.0
蔡明紹,伍鵬志,0,11,3,0.0,27.3
蔡明紹,呂健威,0,11,1,0.0,9.1
蔡明紹,告東尼,4,79,19,5.1,24.1
蔡明紹,姚本輝,4,34,8,11.8,23.5
蔡明紹,容天鵬,0,14,2,0.0,14.3
蔡明紹,巫偉傑,10,137,32,7.3,23.4
蔡明紹,廖康銘,4,35,16,11.4,45.7
蔡明紹,徐雨石,1,8,1,12.5,12.5
蔡明紹,文家良,3,39,9,7.7,23.1
蔡明紹,方嘉柏,0,7,1,0.0,14.3
蔡明紹,沈集成,0,10,1,0.0,10.0
蔡明紹,游達榮,0,7,0,0.0,0.0
蔡明紹,羅富全,1,51,6,2.0,11.8
蔡明紹,葉楚航,3,25,6,12.0,24.0
蔡明紹,蔡約翰,1,7,3,14.3,42.9
蔡明紹,蘇偉賢,3,27,6,11.1,22.2
蔡明紹,鄭俊偉,0,13,1,0.0,7.7
蔡明紹,韋達,1,45,11,2.2,24.4
蔡明紹,黎昭昇,0,8,1,0.0,12.5
薛凱華,游孝廉,0,1,0,0.0,0.0
薛凱華,菲德文及菲敦盟,0,1,0,0.0,0.0
薛凱華,馬漢雅,0,1,0,0.0,0.0
薛恩,伍鵬志,0,7,1,0.0,14.3
薛恩,呂健威,0,2,1,0.0,50.0
薛恩,大衛希斯,0,4,2,0.0,50.0
薛恩,容天鵬,1,1,1,100.0,100.0
薛恩,巫偉傑,1,2,1,50.0,50.0
薛恩,廖康銘,0,1,0,0.0,0.0
薛恩,方嘉柏,0,4,1,0.0,25.0
薛恩,賀賢,0,1,0,0.0,0.0
薛恩,韋達,0,1,0,0.0,0.0
薛恩,高亮能,0,1,0,0.0,0.0
薛恩,黎昭昇,0,3,0,0.0,0.0
蘇銘倫,呂健威,0,1,0,0.0,0.0
蘇銘倫,告東尼,0,1,0,0.0,0.0
蘇銘倫,姚本輝,0,1,1,0.0,100.0
蘇銘倫,巫偉傑,0,1,0,0.0,0.0
蘇銘倫,沈集成,0,4,0,0.0,0.0
蘇銘倫,葉楚航,0,7,1,0.0,14.3
蘇銘倫,葛威法,0,1,0,0.0,0.0
蘇銘倫,黎昭昇,0,1,0,0.0,0.0
西村淳也,杉山晴紀,0,1,0,0.0,0.0
貝知仁,伍鵬志,0,10,1,0.0,10.0
貝知仁,呂健威,1,12,3,8.3,25.0
貝知仁,告東尼,0,4,0,0.0,0.0
貝知仁,大衛希斯,0,6,0,0.0,0.0
貝知仁,姚本輝,1,8,2,12.5,25.0
貝知仁,容天鵬,0,4,0,0.0,0.0
貝知仁,巫偉傑,0,1,0,0.0,0.0
貝知仁,徐雨石,0,4,1,0.0,25.0
貝知仁,文家良,0,3,0,0.0,0.0
貝知仁,方嘉柏,0,1,0,0.0,0.0
貝知仁,沈集成,0,10,3,0.0,30.0
貝知仁,游達榮,0,3,0,0.0,0.0
貝知仁,羅富全,0,2,0,0.0,0.0
貝知仁,葉楚航,0,9,2,0.0,22.2
貝知仁,蔡約翰,0,2,0,0.0,0.0
貝知仁,蘇偉賢,0,1,0,0.0,0.0
貝知仁,賀賢,0,1,0,0.0,0.0
貝知仁,鄭俊偉,0,1,0,0.0,0.0
貝知仁,韋達,0,23,3,0.0,13.0
賀銘年,丁冠豪,0,14,3,0.0,21.4
賀銘年,伍鵬志,0,10,1,0.0,10.0
賀銘年,呂健威,1,10,3,10.0,30.0
賀銘年,告東尼,0,4,0,0.0,0.0
賀銘年,大衛希斯,1,7,1,14.3,14.3
賀銘年,姚本輝,1,22,3,4.5,13.6
賀銘年,容天鵬,0,20,2,0.0,10.0
賀銘年,巫偉傑,3,32,8,9.4,25.0
賀銘年,文家良,0,4,0,0.0,0.0
賀銘年,方嘉柏,2,12,4,16.7,33.3
賀銘年,沈集成,1,9,2,11.1,22.2
賀銘年,游達榮,0,16,4,0.0,25.0
賀銘年,羅富全,0,12,2,0.0,16.7
賀銘年,葉楚航,0,10,2,0.0,20.0
賀銘年,蔡約翰,1,33,6,3.0,18.2
賀銘年,蘇偉賢,0,1,1,0.0,100.0
賀銘年,賀賢,0,4,1,0.0,25.0
賀銘年,鄭俊偉,2,17,5,11.8,29.4
賀銘年,韋達,0,7,0,0.0,0.0
賀銘年,黎昭昇,0,29,1,0.0,3.4
連達文,堀宣行,1,2,2,50.0,100.0
連達文,藤原英昭,0,1,0,0.0,0.0
郭立基,活侯夫人及布特,0,1,0,0.0,0.0
金美琪,大衛希斯,0,1,0,0.0,0.0
金美琪,廖康銘,0,1,0,0.0,0.0
金美琪,方嘉柏,0,1,0,0.0,0.0
金美琪,黎昭昇,0,1,0,0.0,0.0
金誠剛,丁冠豪,0,8,2,0.0,25.0
金誠剛,伍鵬志,0,5,0,0.0,0.0
金誠剛,呂健威,0,8,0,0.0,0.0
金誠剛,姚本輝,3,11,7,27.3,63.6
金誠剛,方嘉柏,0,2,0,0.0,0.0
金誠剛,游達榮,1,5,1,20.0,20.0
金誠剛,葉楚航,0,1,0,0.0,0.0
金誠剛,蔡約翰,0,1,0,0.0,0.0
金誠剛,韋達,0,1,0,0.0,0.0
鍾易禮,丁冠豪,3,19,5,15.8,26.3
鍾易禮,伍鵬志,1,21,1,4.8,4.8
鍾易禮,呂健威,1,14,2,7.1,14.3
鍾易禮,告東尼,12,229,43,5.2,18.8
鍾易禮,大衛希斯,0,1,0,0.0,0.0
鍾易禮,姚本輝,0,4,0,0.0,0.0
鍾易禮,容天鵬,0,5,1,0.0,20.0
鍾易禮,巫偉傑,0,17,2,0.0,11.8
鍾易禮,廖康銘,0,1,0,0.0,0.0
鍾易禮,徐雨石,2,33,11,6.1,33.3
鍾易禮,文家良,0,10,0,0.0,0.0
鍾易禮,方嘉柏,0,1,0,0.0,0.0
鍾易禮,沈集成,0,6,0,0.0,0.0
鍾易禮,游達榮,0,5,0,0.0,0.0
鍾易禮,羅富全,0,16,1,0.0,6.2
鍾易禮,葉楚航,1,31,2,3.2,6.5
鍾易禮,蘇偉賢,0,1,0,0.0,0.0
鍾易禮,鄭俊偉,0,14,2,0.0,14.3
鍾易禮,韋達,0,3,0,0.0,0.0
鍾易禮,黎昭昇,0,15,1,0.0,6.7
