date,meeting_name,race_number,horse_number,race_key,horse_name,finish_pos,is_win,is_top3,current_live_recomputed_ability,probability_matrix,matrix_rank,probability_hybrid,ml_rank_score,hybrid_rank_score,hybrid_rank,rank_change,entered_top2,left_top2,rank3_placegetter_entered_top2,period
2026-05-09,2026-05-09_ShaTin,8,9,2026-05-09::2026-05-09_ShaTin::R8,長勝隊長,6,0,0,69.955897,0.11043610042561393,5,0.06815078845956807,-0.36885641999767754,0.5666666736622563,6,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,1,2026-05-09::2026-05-09_ShaTin::R8,八駿巨昇,11,0,0,66.36408,0.0627247689899912,7,0.052115016117552454,-0.3314468920827962,0.47500000663640796,7,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,7,2026-05-09::2026-05-09_ShaTin::R8,㩒住贏,1,1,1,64.39574199999998,0.04522463648024781,8,0.047220676607795734,-0.2868453097926062,0.4416666731062409,8,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,8,2026-05-09::2026-05-09_ShaTin::R8,勁駿騰飛,4,0,0,61.896937,0.029509632183991684,9,0.03168555307883841,-0.39315093122689626,0.30833333952302705,9,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,12,2026-05-09::2026-05-09_ShaTin::R8,自力更生,5,0,0,56.284946000000005,0.01099693155396788,12,0.025252649883800868,-0.2099036124917436,0.23333333896182795,10,2,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,5,2026-05-09::2026-05-09_ShaTin::R8,多威心得,12,0,0,61.374883999999994,0.02695759363840703,10,0.024621669885963562,-0.47215015636811325,0.22500000613748838,11,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,6,2026-05-09::2026-05-09_ShaTin::R8,幸運多彩,8,0,0,60.901561,0.024827389269883534,11,0.019101132569914147,-0.48475514405172,0.14166667275682276,12,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,9,2,2026-05-09::2026-05-09_ShaTin::R9,米奇,7,0,0,73.773516,0.16524129707184881,1,0.1800551006130113,0.20811922672035232,0.9785714359487803,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,9,1,2026-05-09::2026-05-09_ShaTin::R9,會長之寶,9,0,0,73.33838200000001,0.15615719266195882,2,0.16773493817122348,0.3499296588823222,0.9500000073338383,2,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,9,5,2026-05-09::2026-05-09_ShaTin::R9,大愛無疆,10,0,0,71.59808100000001,0.12307533896683694,3,0.13212390159199885,0.1159972100312946,0.8571428643026653,3,0,False,False,False,walk_forward
