rank,formula,place_mode,gold,good,pass,top3_place,top3_win,0hit,1hit,2hit,3hit,gold_delta,good_delta,pass_delta,place_delta,zero_hit_delta,one_hit_delta
153,class_weight_80_20+track_pure+formline_purer,place_half,3.8%,19.3%,37.7%,41.9%,48.1%,50,147,107,12,-0.3,-1.6,-1.3,-0.7,+2,+2
154,class_weight_80_20+class_weight_class_only+track_pure,place_half,3.8%,19.3%,37.7%,41.9%,48.1%,50,147,107,12,-0.3,-1.6,-1.3,-0.7,+2,+2
155,race_shape_pure_pace+sectional_speed_heavy+class_weight_heavy_rating,place_off,4.4%,19.0%,37.7%,41.7%,47.8%,54,143,105,14,+0.3,-1.9,-1.3,-0.9,+6,-2
156,class_weight_class_only,place_off,3.8%,19.0%,37.7%,42.2%,50.0%,47,150,107,12,-0.3,-1.9,-1.3,-0.4,-1,+5
157,class_weight_class_only+formline_purer,place_off,3.8%,19.0%,37.7%,42.2%,50.0%,47,150,107,12,-0.3,-1.9,-1.3,-0.4,-1,+5
158,class_weight_80_20+class_weight_class_only,place_off,3.8%,19.0%,37.7%,42.2%,50.0%,47,150,107,12,-0.3,-1.9,-1.3,-0.4,-1,+5
159,class_weight_80_20+class_weight_class_only+formline_purer,place_off,3.8%,19.0%,37.7%,42.2%,50.0%,47,150,107,12,-0.3,-1.9,-1.3,-0.4,-1,+5
160,class_weight_class_only+track_pure+formline_purer,place_half,3.8%,19.0%,37.7%,41.9%,48.1%,50,147,107,12,-0.3,-1.9,-1.3,-0.7,+2,+2
161,jt_fit_tempered+class_weight_class_only+track_pure,place_live,3.8%,18.7%,37.7%,41.9%,49.1%,50,147,107,12,-0.3,-2.2,-1.3,-0.7,+2,+2
162,jt_fit_tempered,place_off,3.5%,18.7%,37.7%,41.8%,49.1%,50,147,108,11,-0.6,-2.2,-1.3,-0.8,+2,+2
