Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
沈集成,Class 4,跑馬地,Turf,1000,0,3,1,-3.0,25.67,0.0,33.33,-100.0
游達榮,Class 3,跑馬地,Turf,1650,0,3,0,-3.0,60.67,0.0,0.0,-100.0
游達榮,Class 4,跑馬地,Turf,1650,0,3,1,-3.0,46.67,0.0,33.33,-100.0
葉楚航,Class 4,沙田,AWT,1200,0,3,0,-3.0,20.37,0.0,0.0,-100.0
葉楚航,Class 5,沙田,Turf,1600,0,3,0,-3.0,66.33,0.0,0.0,-100.0
蔡約翰,Class 4,跑馬地,Turf,1000,0,3,1,-3.0,23.1,0.0,33.33,-100.0
蔡約翰,Griffin,沙田,Turf,1000,0,3,0,-3.0,48.03,0.0,0.0,-100.0
賀賢,Class 3,沙田,Turf,1000,0,3,1,-3.0,24.43,0.0,33.33,-100.0
鄭俊偉,Class 3,沙田,Turf,1400,0,3,1,-3.0,63.33,0.0,33.33,-100.0
韋達,Class 3,跑馬地,Turf,1200,0,3,2,-3.0,8.63,0.0,66.67,-100.0
韋達,Class 4,沙田,Turf,1400,0,3,0,-3.0,21.57,0.0,0.0,-100.0
韋達,Class 4,跑馬地,Turf,1000,0,3,1,-3.0,44.0,0.0,33.33,-100.0
黎昭昇,Class 3,沙田,AWT,1200,0,3,0,-3.0,44.33,0.0,0.0,-100.0
蘇偉賢,Class 3,沙田,AWT,1200,2,2,2,33.5,17.75,100.0,100.0,1675.0
丁冠豪,Class 4,跑馬地,Turf,1000,1,2,1,59.0,45.0,50.0,50.0,2950.0
伍鵬志,Class 2,沙田,Turf,1400,1,2,1,19.0,13.5,50.0,50.0,950.0
伍鵬志,Class 3,沙田,Turf,1600,1,2,1,2.9,36.45,50.0,50.0,145.0
伍鵬志,Class 5,沙田,Turf,1400,1,2,1,15.0,12.2,50.0,50.0,750.0
呂健威,Class 3,跑馬地,Turf,1200,1,2,1,3.5999999999999996,32.3,50.0,50.0,180.0
告東尼,Class 4,跑馬地,Turf,1000,1,2,1,3.2,28.1,50.0,50.0,160.0
大衛希斯,Class 1,沙田,Turf,1200,1,2,1,0.2999999999999998,17.15,50.0,50.0,15.0
巫偉傑,Class 3,沙田,Turf,1000,1,2,1,3.9000000000000004,80.45,50.0,50.0,195.0
文家良,Class 5,跑馬地,Turf,1200,1,2,1,3.5999999999999996,70.3,50.0,50.0,180.0
桂福特,Class 4,沙田,Turf,1200,1,2,1,3.0,49.0,50.0,50.0,150.0
羅富全,Class 2,沙田,AWT,1650,1,2,1,12.0,18.0,50.0,50.0,600.0
蔡約翰,Class 4,沙田,AWT,1650,1,2,1,7.6,26.3,50.0,50.0,380.0
蘇偉賢,Class 5,沙田,Turf,1600,1,2,2,0.7999999999999998,4.7,50.0,100.0,40.0
費伯華,Group 1,沙田,Turf,2400,1,2,1,0.7000000000000002,4.4,50.0,50.0,35.0
賀賢,Class 3,跑馬地,Turf,1200,1,2,1,1.1,8.05,50.0,50.0,55.0
賀賢,Class 4,沙田,AWT,1200,1,2,1,13.0,13.0,50.0,50.0,650.0
賀賢,Class 5,沙田,Turf,1400,1,2,1,1.2999999999999998,40.15,50.0,50.0,65.0
鄭俊偉,Class 3,沙田,Turf,1000,1,2,1,30.0,91.5,50.0,50.0,1500.0
鄭俊偉,Class 5,沙田,Turf,1200,1,2,1,13.0,31.5,50.0,50.0,650.0
丁冠豪,Class 3,沙田,Turf,1400,0,2,0,-2.0,12.1,0.0,0.0,-100.0
丁冠豪,Class 4,沙田,AWT,1650,0,2,0,-2.0,11.85,0.0,0.0,-100.0
丁冠豪,Class 4,跑馬地,Turf,1200,0,2,0,-2.0,50.5,0.0,0.0,-100.0
中內田充正,Group 1,沙田,Turf,2000,0,2,2,-2.0,6.4,0.0,100.0,-100.0
伍鵬志,Class 2,沙田,AWT,1650,0,2,1,-2.0,8.35,0.0,50.0,-100.0
伍鵬志,Class 3,沙田,AWT,1200,0,2,0,-2.0,38.0,0.0,0.0,-100.0
伍鵬志,Class 3,沙田,Turf,1000,0,2,0,-2.0,61.5,0.0,0.0,-100.0
伍鵬志,Class 3,沙田,Turf,1800,0,2,0,-2.0,35.0,0.0,0.0,-100.0
伍鵬志,Class 3,跑馬地,Turf,1200,0,2,1,-2.0,2.75,0.0,50.0,-100.0
