Trainer,Going,Wins,Starts,Places,WinRate
大衛希斯,第二班 - 1600米 - (100-80),0,1,0,0.0
大衛希斯,第二班 - 1600米 - (105-75),0,1,0,0.0
大衛希斯,第二班 - 1600米 - (105-80),0,3,1,0.0
大衛希斯,第二班 - 1650米 - (100-75),0,3,0,0.0
大衛希斯,第二班 - 1650米 - (100-80),0,2,2,0.0
大衛希斯,第二班 - 1650米 - (105-80),0,2,1,0.0
大衛希斯,第二班 - 1800米 - (100-70),0,2,0,0.0
大衛希斯,第二班 - 1800米 - (100-75),1,1,1,100.0
大衛希斯,第五班 - 1000米 - (40-0),0,5,2,0.0
大衛希斯,第五班 - 1200米 - (40-0),0,13,2,0.0
大衛希斯,第五班 - 1400米 - (40-0),1,11,1,9.1
大衛希斯,第五班 - 1600米 - (40-0),0,3,0,0.0
大衛希斯,第五班 - 1650米 - (40-0),1,8,4,12.5
大衛希斯,第五班 - 1800米 - (40-0),1,6,2,16.7
大衛希斯,第五班 - 2200米 - (40-0),1,2,1,50.0
大衛希斯,第四班 - 1000米 - (60-40),0,15,1,0.0
大衛希斯,第四班 - 1200米 - (60-40),7,103,18,6.8
大衛希斯,第四班 - 1400米 - (60-40),4,48,10,8.3
大衛希斯,第四班 - 1600米 - (60-40),0,15,3,0.0
大衛希斯,第四班 - 1650米 - (60-40),3,44,11,6.8
大衛希斯,第四班 - 1800米 - (60-35),0,1,1,0.0
大衛希斯,第四班 - 1800米 - (60-40),2,14,4,14.3
大衛希斯,第四班 - 2000米 - (60-40),0,4,2,0.0
大衛希斯,第四班 - 2200米 - (60-40),0,3,1,0.0
大衛希斯,第四班（條件限制） - 1200米 - (60-40),0,4,0,0.0
大衛希斯,第四班（條件限制） - 1400米 - (60-40),0,1,1,0.0
姚本輝,一級賽 - 1400米,0,1,0,0.0
姚本輝,一級賽 - 1600米,1,6,2,16.7
姚本輝,一級賽 - 2000米,0,1,0,0.0
姚本輝,三級賽 - 1400米,0,1,0,0.0
姚本輝,三級賽 - 1800米,0,2,0,0.0
姚本輝,二級賽 - 1600米,0,5,2,0.0
姚本輝,二級賽 - 2000米,0,1,1,0.0
姚本輝,新馬賽 - 1000米,0,1,1,0.0
姚本輝,第三班 - 1000米 - (80-60),0,10,1,0.0
姚本輝,第三班 - 1000米 - (85-60),0,3,1,0.0
姚本輝,第三班 - 1200米 - (80-60),5,53,16,9.4
姚本輝,第三班 - 1200米 - (85-60),2,8,5,25.0
姚本輝,第三班 - 1400米 - (80-60),2,22,6,9.1
姚本輝,第三班 - 1400米 - (85-60),0,1,0,0.0
姚本輝,第三班 - 1600米 - (80-60),1,12,1,8.3
姚本輝,第三班 - 1650米 - (80-60),3,19,4,15.8
姚本輝,第三班 - 1650米 - (85-60),0,7,1,0.0
姚本輝,第三班 - 1800米 - (80-60),2,7,2,28.6
姚本輝,第三班 - 1800米 - (85-60),1,3,1,33.3
姚本輝,第三班 - 2000米 - (80-60),0,3,1,0.0
姚本輝,第三班 - 2000米 - (85-60),0,3,1,0.0
姚本輝,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
姚本輝,第二班 - 1200米 - (100-80),0,1,1,0.0
姚本輝,第二班 - 1400米 - (100-75),0,1,0,0.0
姚本輝,第二班 - 1400米 - (100-80),0,1,0,0.0
姚本輝,第二班 - 1400米 - (105-80),0,1,0,0.0
