Jockey,RaceClass,Wins,Starts,Places,WinRate
金誠剛,Class 1,0,1,0,0.0
金誠剛,Class 2,0,14,2,0.0
金誠剛,Class 3,4,100,13,4.0
金誠剛,Class 4,5,184,33,2.7
金誠剛,Class 5,3,61,15,4.9
金誠剛,Group 2,0,3,0,0.0
金誠剛,Group 3,0,2,1,0.0
鍾易禮,Class 1,0,1,1,0.0
鍾易禮,Class 2,3,21,4,14.3
鍾易禮,Class 3,5,108,10,4.6
鍾易禮,Class 4,7,142,20,4.9
鍾易禮,Class 5,4,47,9,8.5
鍾易禮,Group 1,0,1,1,0.0
鍾易禮,Group 2,0,3,0,0.0
鍾易禮,Group 3,0,2,0,0.0
霍宏聲,Class 2,2,12,3,16.7
霍宏聲,Class 3,5,86,23,5.8
霍宏聲,Class 4,14,194,34,7.2
霍宏聲,Class 5,9,52,18,17.3
霍宏聲,Group 1,0,4,0,0.0
霍宏聲,Group 2,0,4,1,0.0
霍宏聲,Group 3,1,2,1,50.0
韋紀力,Class 2,0,2,1,0.0
韋紀力,Class 3,0,3,1,0.0
韋紀力,Class 4,0,1,1,0.0
韋紀力,Group 1,0,5,1,0.0
馬昆,Class 4,0,1,0,0.0
馬昆,Group 1,0,1,0,0.0
高力德,Group 1,0,1,0,0.0
麥文堅,Class 1,0,1,0,0.0
麥文堅,Class 2,0,2,0,0.0
麥文堅,Class 3,6,49,12,12.2
麥文堅,Class 4,4,61,15,6.6
麥文堅,Class 5,0,20,2,0.0
麥文堅,Group 1,0,5,1,0.0
麥文堅,Group 3,0,1,0,0.0
麥道朗,Class 1,0,1,1,0.0
麥道朗,Class 2,0,6,0,0.0
麥道朗,Class 3,4,24,10,16.7
麥道朗,Class 4,6,43,17,14.0
麥道朗,Class 5,1,14,4,7.1
麥道朗,Group 1,4,14,7,28.6
麥道朗,Group 2,2,3,3,66.7
黃寶妮,Class 1,0,1,0,0.0
黃寶妮,Class 2,1,8,2,12.5
黃寶妮,Class 3,2,33,5,6.1
黃寶妮,Class 4,3,62,12,4.8
黃寶妮,Class 5,4,27,10,14.8
黃寶妮,Group 1,0,1,0,0.0
黃智弘,Class 1,0,1,1,0.0
黃智弘,Class 2,2,19,4,10.5
黃智弘,Class 3,9,84,19,10.7
黃智弘,Class 4,6,104,23,5.8
黃智弘,Class 5,3,38,8,7.9
黃智弘,Group 1,0,1,0,0.0
黃智弘,Group 2,0,2,0,0.0
黃智弘,Group 3,0,4,0,0.0
