Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate
潘明輝,伍鵬志,0,1,0,68.0,0.0
潘大衛,蘇偉賢,0,1,0,50.0,0.0
潘大衛,呂健威,0,1,0,75.0,0.0
潘大衛,方嘉柏,0,2,1,50.0,0.0
楊明綸,沈集成,0,1,1,33.0,0.0
楊明綸,大衛希斯,0,6,1,37.3,0.0
潘頓,游達榮,0,1,0,11.0,0.0
潘頓,廖康銘,0,1,0,2.4,0.0
潘頓,告東尼,0,1,0,5.0,0.0
潘頓,大衛希斯,0,4,0,11.0,0.0
潘明輝,葉楚航,0,1,0,83.0,0.0
潘頓,賀賢,0,1,0,2.9,0.0
潘頓,蘇偉賢,0,1,0,4.0,0.0
潘頓,羅富全,0,1,1,6.4,0.0
班德禮,沈集成,0,2,0,102.0,0.0
班德禮,羅富全,0,2,0,21.6,0.0
班德禮,蘇偉賢,0,2,0,43.5,0.0
班德禮,黎昭昇,0,1,0,22.0,0.0
田泰安,伍鵬志,0,3,0,48.0,0.0
潘頓,韋達,0,1,1,4.6,0.0
班德禮,丁冠豪,0,1,0,37.0,0.0
班德禮,大衛希斯,0,5,1,39.6,0.0
田泰安,巫偉傑,0,2,0,69.5,0.0
田泰安,姚本輝,0,1,0,25.0,0.0
田泰安,大衛希斯,0,3,0,30.3,0.0
田泰安,游達榮,0,1,0,29.0,0.0
田泰安,葉楚航,0,1,0,13.0,0.0
田泰安,蘇偉賢,0,2,0,63.0,0.0
田泰安,賀賢,0,1,0,31.0,0.0
田泰安,徐雨石,0,4,0,33.5,0.0
潘明輝,黎昭昇,0,1,0,58.0,0.0
潘明輝,賀賢,0,5,1,58.8,0.0
潘明輝,蘇偉賢,0,1,0,88.0,0.0
楊明綸,葉楚航,0,1,0,119.0,0.0
楊明綸,蘇偉賢,0,4,0,51.8,0.0
楊明綸,鄭俊偉,0,1,0,41.0,0.0
楊明綸,韋達,0,1,0,66.0,0.0
橫山和生,上村洋行,0,1,1,9.4,0.0
艾兆禮,游達榮,0,5,0,28.4,0.0
艾兆禮,文家良,0,1,0,39.0,0.0
艾兆禮,廖康銘,0,4,0,19.4,0.0
艾兆禮,大衛希斯,0,1,0,70.0,0.0
艾兆禮,伍鵬志,0,3,0,27.3,0.0
紀仁安,方嘉柏,0,1,0,9.2,0.0
紀仁安,伍鵬志,0,1,0,21.0,0.0
田泰安,鄭俊偉,0,1,0,74.0,0.0
艾道拿,葉楚航,0,1,1,16.0,0.0
艾道拿,蔡約翰,0,1,0,45.0,0.0
艾兆禮,賀賢,0,1,0,40.0,0.0
艾兆禮,蔡約翰,0,1,0,7.2,0.0
艾道拿,伍鵬志,0,1,0,70.0,0.0
艾道拿,廖康銘,0,1,0,2.3,0.0
艾道拿,徐雨石,0,1,0,98.0,0.0
艾兆禮,蘇偉賢,0,3,1,44.3,0.0
莫艾誠,包義定,0,1,0,21.0,0.0
莫艾誠,岳品賢,0,1,0,367.0,0.0
莫雷拉,方嘉柏,0,1,1,3.4,0.0
莫雅,岳伯仁,0,2,0,15.0,0.0
莫雷拉,武英智,0,1,0,35.0,0.0
董明朗,大衛希斯,0,1,0,29.0,0.0
董明朗,桂福特,0,1,0,93.0,0.0
莫雷拉,武井亮,0,1,0,29.0,0.0
董明朗,蘇偉賢,0,2,1,42.5,0.0
蔡明紹,告東尼,0,2,0,40.0,0.0
艾道拿,鄭俊偉,0,1,0,42.0,0.0
艾道拿,韋達,0,1,0,67.0,0.0
艾道拿,黎昭昇,0,4,1,20.2,0.0
莫艾誠,伯特,0,1,0,17.0,0.0
莫艾誠,侯耀誠,0,1,0,147.0,0.0
艾道拿,游達榮,0,1,0,48.0,0.0
貝知仁,巴伯樂,0,1,0,82.0,0.0
袁幸堯,韋達,0,1,1,16.0,0.0
蘇銘倫,葛威法,0,1,1,10.0,0.0
蔡明紹,鄭俊偉,0,1,0,94.0,0.0
蔡明紹,巫偉傑,0,6,1,72.3,0.0
蔡明紹,蘇偉賢,0,3,1,53.7,0.0
金誠剛,沈集成,0,1,0,89.0,0.0
金誠剛,伍鵬志,0,1,0,56.0,0.0
鍾易禮,文家良,0,2,0,123.5,0.0
鍾易禮,桂福特,0,1,0,85.0,0.0
鍾易禮,沈集成,0,4,0,91.2,0.0
金誠剛,姚本輝,0,2,0,72.0,0.0
金誠剛,游達榮,0,4,0,76.0,0.0
金誠剛,鄭俊偉,0,4,0,77.5,0.0
金誠剛,韋達,0,1,0,57.0,0.0
鍾易禮,廖康銘,0,1,0,33.0,0.0
霍宏聲,游達榮,0,1,0,29.0,0.0
霍宏聲,廖康銘,0,8,2,27.2,0.0
霍宏聲,大衛希斯,0,1,0,38.0,0.0
霍宏聲,伍鵬志,0,1,0,76.0,0.0
鍾易禮,葉楚航,0,2,0,57.5,0.0
霍宏聲,羅富全,0,1,0,18.0,0.0
霍宏聲,韋達,0,3,0,61.7,0.0
霍宏聲,葉楚航,0,1,0,37.0,0.0
麥文堅,沈集成,0,1,0,18.0,0.0
麥文堅,廖康銘,0,1,0,108.0,0.0
麥文堅,岳本賢,0,2,0,21.3,0.0
高力德,杉山晴紀,0,1,0,101.0,0.0
霍宏聲,黎昭昇,0,1,0,78.0,0.0
麥文堅,游達榮,0,1,0,46.0,0.0
麥道朗,大衛希斯,0,2,0,18.5,0.0
黃智弘,沈集成,0,2,0,44.0,0.0
