Trainer,Draw,Wins,Starts,Places,WinRate
沈集成,11,1,28,2,3.6
沈集成,12,2,26,5,7.7
沈集成,13,0,11,1,0.0
沈集成,14,0,10,1,0.0
沈集成,2,5,32,11,15.6
沈集成,3,7,36,11,19.4
沈集成,4,3,26,6,11.5
沈集成,5,4,41,10,9.8
沈集成,6,5,38,13,13.2
沈集成,7,6,34,14,17.6
沈集成,8,5,34,15,14.7
沈集成,9,1,30,4,3.3
游孝廉,1,0,1,1,0.0
游孝廉,8,0,1,0,0.0
游達榮,1,4,23,8,17.4
游達榮,10,0,24,3,0.0
游達榮,11,1,23,3,4.3
游達榮,12,1,26,4,3.8
游達榮,13,2,13,3,15.4
游達榮,14,1,20,3,5.0
游達榮,2,4,35,10,11.4
游達榮,3,3,26,6,11.5
游達榮,4,0,20,5,0.0
游達榮,5,1,41,9,2.4
游達榮,6,2,24,6,8.3
游達榮,7,3,40,8,7.5
游達榮,8,1,28,4,3.6
游達榮,9,2,33,6,6.1
田中博康,3,0,1,0,0.0
羅富全,1,3,36,12,8.3
羅富全,10,3,40,8,7.5
羅富全,11,3,35,6,8.6
羅富全,12,2,27,6,7.4
羅富全,13,1,15,3,6.7
羅富全,14,1,11,2,9.1
羅富全,2,2,38,9,5.3
羅富全,3,2,30,7,6.7
羅富全,4,6,45,9,13.3
羅富全,5,1,32,10,3.1
羅富全,6,3,33,7,9.1
羅富全,7,3,40,13,7.5
羅富全,8,2,34,11,5.9
羅富全,9,2,34,6,5.9
葉楚航,1,4,25,7,16.0
葉楚航,10,1,30,3,3.3
葉楚航,11,1,28,5,3.6
葉楚航,12,1,20,2,5.0
葉楚航,13,0,17,0,0.0
葉楚航,14,0,7,1,0.0
葉楚航,2,1,29,11,3.4
葉楚航,3,1,34,5,2.9
葉楚航,4,4,28,7,14.3
葉楚航,5,0,23,1,0.0
葉楚航,6,2,27,3,7.4
葉楚航,7,1,27,4,3.7
葉楚航,8,0,24,1,0.0
葉楚航,9,1,28,2,3.6
葛威法,4,0,2,2,0.0
蔡約翰,1,5,43,13,11.6
蔡約翰,10,2,27,7,7.4
蔡約翰,11,1,35,7,2.9
蔡約翰,12,1,34,8,2.9
蔡約翰,13,1,11,4,9.1
蔡約翰,14,1,14,1,7.1
蔡約翰,2,6,38,12,15.8
蔡約翰,3,5,32,13,15.6
蔡約翰,4,4,38,14,10.5
蔡約翰,5,4,53,17,7.5
蔡約翰,6,2,35,11,5.7
蔡約翰,7,4,43,16,9.3
蔡約翰,8,1,41,7,2.4
蔡約翰,9,7,43,15,16.3
蘇偉賢,1,4,35,11,11.4
蘇偉賢,10,1,25,5,4.0
蘇偉賢,11,1,27,3,3.7
蘇偉賢,12,2,25,4,8.0
蘇偉賢,13,0,10,0,0.0
蘇偉賢,14,0,12,3,0.0
蘇偉賢,2,1,30,6,3.3
蘇偉賢,3,2,31,7,6.5
蘇偉賢,4,3,24,7,12.5
蘇偉賢,5,3,36,10,8.3
蘇偉賢,6,1,20,6,5.0
蘇偉賢,7,3,31,6,9.7
蘇偉賢,8,1,27,7,3.7
蘇偉賢,9,2,30,6,6.7
費伯華,2,0,1,1,0.0
費伯華,8,1,1,1,100.0
賀賢,1,2,20,8,10.0
賀賢,10,3,21,7,14.3
賀賢,11,0,27,5,0.0
賀賢,12,2,19,3,10.5
賀賢,13,1,12,3,8.3
賀賢,14,1,12,1,8.3
賀賢,2,4,34,10,11.8
賀賢,3,3,34,15,8.8
賀賢,4,2,28,11,7.1
賀賢,5,2,30,7,6.7
賀賢,6,2,32,6,6.2
賀賢,7,1,27,5,3.7
賀賢,8,0,24,3,0.0
賀賢,9,2,18,5,11.1
鄭俊偉,1,1,21,5,4.8
鄭俊偉,10,1,24,3,4.2
鄭俊偉,11,1,31,6,3.2
鄭俊偉,12,1,18,3,5.6
鄭俊偉,13,0,8,2,0.0
鄭俊偉,14,1,8,1,12.5
鄭俊偉,2,1,22,6,4.5
鄭俊偉,3,1,33,3,3.0
鄭俊偉,4,1,24,7,4.2
鄭俊偉,5,1,23,3,4.3
鄭俊偉,6,3,25,6,12.0
鄭俊偉,7,1,23,1,4.3
鄭俊偉,8,2,27,5,7.4
鄭俊偉,9,0,20,0,0.0
韋達,1,3,26,11,11.5
韋達,10,2,23,4,8.7
韋達,11,1,26,3,3.8
韋達,12,1,28,4,3.6
韋達,13,0,7,3,0.0
韋達,14,0,4,2,0.0
韋達,2,4,30,10,13.3
韋達,3,1,26,8,3.8
韋達,4,0,30,6,0.0
韋達,5,2,30,4,6.7
韋達,6,1,30,4,3.3
韋達,7,1,31,7,3.2
韋達,8,3,35,9,8.6
韋達,9,2,27,5,7.4
高野友和,6,0,1,0,0.0
鹿戶雄一,11,0,1,0,0.0
黎昭昇,1,2,18,3,11.1
黎昭昇,10,0,28,5,0.0
黎昭昇,11,2,21,6,9.5
黎昭昇,12,3,29,4,10.3
黎昭昇,13,0,11,0,0.0
黎昭昇,14,1,9,1,11.1
黎昭昇,2,2,21,7,9.5
黎昭昇,3,1,17,4,5.9
黎昭昇,4,0,31,4,0.0
黎昭昇,5,3,21,8,14.3
黎昭昇,6,3,26,9,11.5
黎昭昇,7,2,21,9,9.5
黎昭昇,8,2,29,7,6.9
黎昭昇,9,0,18,3,0.0
