period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,winner_average_rank,placegetter_average_rank,ranking_correlation,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,segment_dimension,segment_value
walk_forward,Win,Logistic Regression,selected,58.0,7.0,0.28505868389400285,0.08573534924383781,0.08758101887424266,0.9047619047619048,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.0,0.75,1.7142857142857142,3.142857142857143,0.5744897959183675,0.4761904761904762,0.9523809523809523,0.0,0.5714285714285714,0.42857142857142855,0.4761904761904762,0.809971285707122,field_bucket,small≤9
walk_forward,Win,Logistic Regression,selected,891.0,72.0,0.2504896354930751,0.06902888105528698,0.006815244302610696,0.7488468321801656,0.2777777777777778,0.4861111111111111,0.625,0.7638888888888888,0.48859728234728234,3.7777777777777777,4.546296296296297,0.3869530932030932,0.4907407407407407,0.6805555555555556,0.2361111111111111,0.5138888888888888,0.25,0.4907407407407407,0.5710710118342308,race_confidence_band,High ≥5pp
walk_forward,Win,Logistic Regression,selected,486.0,38.0,0.2572749466693314,0.06973727403027719,0.02005711126190263,0.688968515037594,0.21052631578947367,0.34210526315789475,0.39473684210526316,0.5526315789473685,0.39060340244550773,4.7631578947368425,5.421052631578948,0.3338047916995286,0.3859649122807018,0.543859649122807,0.2894736842105263,0.5263157894736842,0.18421052631578946,0.3859649122807018,0.4672991812387824,race_confidence_band,Low <2pp
walk_forward,Win,Logistic Regression,selected,642.0,51.0,0.25926035635606726,0.07018203211446948,0.006868607434317168,0.6934740055074483,0.21568627450980393,0.3333333333333333,0.49019607843137253,0.6862745098039216,0.40922318422318427,4.588235294117647,5.078431372549019,0.3125351772410596,0.4117647058823529,0.6143790849673202,0.3333333333333333,0.49019607843137253,0.17647058823529413,0.4117647058823529,0.5076437680599727,race_confidence_band,Medium 2–5pp
walk_forward,Place,Matrix Champion,selected,1402.0,108.0,0.5019181990961044,0.16404741307227608,0.02081493978345521,0.6928983714698,0.23148148148148148,0.3888888888888889,0.5092592592592593,0.6759259259259259,0.42886948442504,4.388888888888889,4.962962962962963,0.35842120842120845,0.4506172839506173,0.6327160493827161,0.25925925925925924,0.5462962962962963,0.19444444444444445,0.4506172839506173,0.5185520676406337,venue,沙田
walk_forward,Place,Matrix Champion,selected,617.0,53.0,0.5342890524844613,0.17764059435526433,0.0342781040970875,0.6866194281947762,0.2830188679245283,0.4716981132075472,0.5849056603773585,0.7547169811320755,0.48466606768493564,3.830188679245283,4.754716981132076,0.33111950942139634,0.43396226415094336,0.6226415094339622,0.24528301886792453,0.4716981132075472,0.2830188679245283,0.43396226415094336,0.5570087622463713,venue,跑馬地
walk_forward,Place,Matrix Champion,selected,89.0,7.0,0.54754380756416,0.18349299586984102,0.09557080785645543,0.6092436974789917,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.313265306122449,4.571428571428571,5.904761904761904,0.22087912087912095,0.38095238095238093,0.4761904761904762,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.38095238095238093,0.3678600649072737,track,AWT
walk_forward,Place,Matrix Champion,selected,1930.0,154.0,0.5101628298665496,0.16749629181974782,0.025908787670084903,0.695568963280135,0.2597402597402597,0.4155844155844156,0.538961038961039,0.7012987012987013,0.4533269400152517,4.188311688311688,4.848484848484849,0.35527708222513416,0.44805194805194803,0.6363636363636364,0.24675324675324675,0.525974025974026,0.22727272727272727,0.44805194805194803,0.5386368003239947,track,Turf
walk_forward,Place,Matrix Champion,selected,550.0,42.0,0.5072190162234067,0.16528874265882848,0.03703859568640194,0.6759134471398622,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.6428571428571429,0.46817065209922354,4.190476190476191,5.23015873015873,0.34624106052677484,0.43650793650793646,0.5873015873015872,0.2619047619047619,0.5238095238095238,0.21428571428571427,0.43650793650793646,0.5136279689212605,course,A
walk_forward,Place,Matrix Champion,selected,89.0,7.0,0.54754380756416,0.18349299586984102,0.09557080785645543,0.6092436974789917,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.313265306122449,4.571428571428571,5.904761904761904,0.22087912087912095,0.38095238095238093,0.4761904761904762,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.38095238095238093,0.3678600649072737,course,AWT
