period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,train_end,test_date
2026-05-09,Win,Logistic Regression,matrix_7d,141.0,11.0,0.2854098517298853,0.07380017586388207,0.04023958618132312,0.5363636363636364,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.2651908697363243,0.3333333333333333,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.3333333333333333,0.38935506671255204,2026-05-06,2026-05-09
2026-05-13,Win,Logistic Regression,matrix_7d,101.0,9.0,0.2767524603722002,0.07651448449430077,0.014233096184137354,0.71256038647343,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.4684343434343434,0.48148148148148145,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.48148148148148145,0.5797737655565852,2026-05-09,2026-05-13
2026-05-17,Win,Logistic Regression,matrix_7d,146.0,11.0,0.2528534855188401,0.06829152060823619,0.012744123342016918,0.692929292929293,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.3268759018759018,0.4242424242424242,0.606060606060606,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.4242424242424242,0.43365441192256465,2026-05-13,2026-05-17
2026-05-20,Win,Logistic Regression,matrix_7d,108.0,9.0,0.26660397011888853,0.07194196572650688,0.007395389930244028,0.691358024691358,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4327160493827161,0.5185185185185185,0.6296296296296295,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5185185185185185,0.5914820926187163,2026-05-17,2026-05-20
2026-05-24,Win,Logistic Regression,matrix_7d,145.0,11.0,0.22552907859483048,0.06218875735331332,0.05070000717258049,0.8310719131614654,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.8181818181818182,0.5840220385674931,0.3333333333333333,0.6363636363636362,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.3333333333333333,0.5803654742287092,2026-05-20,2026-05-24
2026-05-27,Win,Logistic Regression,matrix_7d,104.0,9.0,0.2762495905128147,0.07574393737048803,0.006718782693661615,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.4251322751322751,0.37037037037037035,0.48148148148148145,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.37037037037037035,0.46260672582705237,2026-05-24,2026-05-27
2026-06-03,Win,Logistic Regression,matrix_7d,95.0,8.0,0.22458548186024152,0.0651204863453171,0.027077809293766898,0.875,0.25,0.75,0.875,0.875,0.5595238095238095,0.5416666666666666,0.6666666666666666,0.125,0.625,0.25,0.5416666666666666,0.5943799042963611,2026-05-27,2026-06-03
2026-06-07,Win,Logistic Regression,matrix_7d,117.0,9.0,0.24868933337910928,0.06792129397269506,0.01127275597980739,0.7376543209876543,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.8888888888888888,0.4378787878787879,0.4444444444444444,0.7407407407407407,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.6136129999604258,2026-06-03,2026-06-07
2026-06-10,Win,Logistic Regression,matrix_7d,106.0,9.0,0.27458046565285693,0.07494500334228041,0.05217935817853501,0.6712485681557847,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.4575396825396825,0.48148148148148145,0.6296296296296295,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.48148148148148145,0.5071028247174375,2026-06-07,2026-06-10
2026-06-13,Win,Logistic Regression,matrix_7d,131.0,11.0,0.265571049044998,0.07224567695760585,0.03186424121674732,0.703030303030303,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.3988455988455988,0.45454545454545453,0.7575757575757575,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.5738856759643822,2026-06-10,2026-06-13
2026-06-21,Win,Logistic Regression,matrix_7d,145.0,11.0,0.25444396263764424,0.06845288864432886,0.00400220226389979,0.6845318860244233,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.39480519480519477,0.36363636363636365,0.4848484848484848,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.36363636363636365,0.42068346720919525,2026-06-13,2026-06-21
2026-06-27,Win,Logistic Regression,matrix_7d,150.0,11.0,0.23638495434530418,0.06439252345172801,0.020096222520508845,0.7390451275343362,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.44430014430014436,0.42424242424242425,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.42424242424242425,0.44398143096055054,2026-06-21,2026-06-27
