Jockey,Trainer,Wins,Starts,Places,WinRate,PlaceRate
艾兆禮,告東尼,3,34,11,8.8,32.4
艾兆禮,大衛希斯,0,8,1,0.0,12.5
艾兆禮,姚本輝,3,28,10,10.7,35.7
艾兆禮,巫偉傑,0,4,1,0.0,25.0
艾兆禮,布銘球,0,1,1,0.0,100.0
艾兆禮,廖康銘,9,69,25,13.0,36.2
艾兆禮,徐雨石,0,1,0,0.0,0.0
艾兆禮,文家良,3,20,6,15.0,30.0
艾兆禮,方嘉柏,1,3,1,33.3,33.3
艾兆禮,桂福特,0,5,1,0.0,20.0
艾兆禮,沈集成,0,5,0,0.0,0.0
艾兆禮,游達榮,1,32,5,3.1,15.6
艾兆禮,羅富全,0,15,2,0.0,13.3
艾兆禮,葉楚航,0,13,2,0.0,15.4
艾兆禮,蔡約翰,19,141,43,13.5,30.5
艾兆禮,蘇偉賢,2,21,5,9.5,23.8
艾兆禮,賀賢,7,37,14,18.9,37.8
艾兆禮,韋達,0,8,1,0.0,12.5
艾兆禮,黎昭昇,2,25,3,8.0,12.0
艾道拿,伍鵬志,0,6,0,0.0,0.0
艾道拿,呂健威,0,4,1,0.0,25.0
艾道拿,告東尼,0,26,0,0.0,0.0
艾道拿,大衛希斯,6,60,20,10.0,33.3
艾道拿,姚本輝,0,10,2,0.0,20.0
艾道拿,巫偉傑,0,13,2,0.0,15.4
艾道拿,廖康銘,0,9,0,0.0,0.0
艾道拿,徐雨石,0,6,0,0.0,0.0
艾道拿,方嘉柏,0,8,1,0.0,12.5
艾道拿,桂福特,0,2,0,0.0,0.0
艾道拿,沈集成,1,14,2,7.1,14.3
艾道拿,游達榮,2,23,6,8.7,26.1
艾道拿,羅富全,0,2,0,0.0,0.0
艾道拿,葉楚航,1,16,3,6.2,18.8
艾道拿,蔡約翰,8,117,35,6.8,29.9
艾道拿,賀賢,0,15,3,0.0,20.0
艾道拿,鄭俊偉,0,2,0,0.0,0.0
艾道拿,韋達,1,18,2,5.6,11.1
艾道拿,黎昭昇,2,39,8,5.1,20.5
莫艾誠,伯特,0,1,0,0.0,0.0
莫艾誠,侯耀誠,0,1,0,0.0,0.0
莫艾誠,包義定,0,1,0,0.0,0.0
莫艾誠,岳品賢,0,1,0,0.0,0.0
莫艾誠,蘇偉賢,0,1,0,0.0,0.0
莫雅,伍鵬志,0,1,0,0.0,0.0
莫雅,堀宣行,0,1,0,0.0,0.0
莫雅,岳伯仁,0,2,0,0.0,0.0
莫雅,方嘉柏,1,1,1,100.0,100.0
莫雅,沈集成,0,1,0,0.0,0.0
莫雅,羅富全,1,1,1,100.0,100.0
莫雅,蔡約翰,0,2,0,0.0,0.0
莫雅,黎昭昇,0,1,0,0.0,0.0
莫雷拉,伍鵬志,0,1,0,0.0,0.0
莫雷拉,告東尼,0,1,0,0.0,0.0
莫雷拉,堀宣行,0,1,1,0.0,100.0
莫雷拉,姚本輝,1,1,1,100.0,100.0
莫雷拉,巫偉傑,1,1,1,100.0,100.0
莫雷拉,方嘉柏,18,118,34,15.3,28.8
莫雷拉,桂福特,0,1,0,0.0,0.0
莫雷拉,武井亮,0,1,0,0.0,0.0
莫雷拉,武英智,0,1,0,0.0,0.0
莫雷拉,池江泰壽,0,1,1,0.0,100.0
莫雷拉,游達榮,0,3,1,0.0,33.3
莫雷拉,羅富全,0,2,1,0.0,50.0
莫雷拉,葉楚航,0,1,0,0.0,0.0
莫雷拉,蘇偉賢,0,1,1,0.0,100.0
莫雷拉,賀賢,0,1,0,0.0,0.0
莫雷拉,韋達,0,1,0,0.0,0.0
莫雷拉,黎昭昇,0,2,0,0.0,0.0
董明朗,呂健威,0,17,7,0.0,41.2
董明朗,大衛希斯,0,3,0,0.0,0.0
董明朗,姚本輝,0,1,0,0.0,0.0
董明朗,方嘉柏,0,4,0,0.0,0.0
董明朗,桂福特,0,8,1,0.0,12.5
董明朗,羅富全,0,1,0,0.0,0.0
董明朗,葉楚航,0,1,0,0.0,0.0
董明朗,蘇偉賢,0,15,4,0.0,26.7
董明朗,賀賢,0,1,0,0.0,0.0
董明朗,韋達,0,9,0,0.0,0.0
董明朗,黎昭昇,0,3,0,0.0,0.0
蔡明紹,丁冠豪,0,3,0,0.0,0.0
蔡明紹,伍鵬志,0,2,1,0.0,50.0
蔡明紹,呂健威,0,7,0,0.0,0.0
蔡明紹,告東尼,3,56,12,5.4,21.4
蔡明紹,姚本輝,0,17,2,0.0,11.8
蔡明紹,巫偉傑,3,77,19,3.9,24.7
蔡明紹,廖康銘,0,17,3,0.0,17.6
蔡明紹,徐雨石,2,25,4,8.0,16.0
蔡明紹,文家良,1,22,3,4.5,13.6
蔡明紹,方嘉柏,1,10,1,10.0,10.0
蔡明紹,沈集成,0,2,0,0.0,0.0
蔡明紹,游達榮,0,5,0,0.0,0.0
蔡明紹,羅富全,0,12,0,0.0,0.0
蔡明紹,葉楚航,1,41,10,2.4,24.4
蔡明紹,蔡約翰,0,11,2,0.0,18.2
蔡明紹,蘇偉賢,1,45,4,2.2,8.9
蔡明紹,鄭俊偉,0,16,2,0.0,12.5
蔡明紹,韋達,0,3,0,0.0,0.0
蔡明紹,黎昭昇,0,18,5,0.0,27.8
薛凱華,巫偉傑,0,1,0,0.0,0.0
薛凱華,游孝廉,0,1,1,0.0,100.0
薛凱華,黎昭昇,0,1,0,0.0,0.0
蘇銘倫,伍鵬志,0,1,0,0.0,0.0
蘇銘倫,姚本輝,0,1,0,0.0,0.0
蘇銘倫,文家良,0,1,1,0.0,100.0
蘇銘倫,葛威法,0,2,2,0.0,100.0
袁幸堯,丁冠豪,0,3,0,0.0,0.0
袁幸堯,伍鵬志,2,10,4,20.0,40.0
袁幸堯,呂健威,0,3,0,0.0,0.0
袁幸堯,大衛希斯,1,3,1,33.3,33.3
袁幸堯,姚本輝,2,30,11,6.7,36.7
袁幸堯,巫偉傑,0,3,0,0.0,0.0
袁幸堯,徐雨石,0,2,0,0.0,0.0
袁幸堯,文家良,0,1,0,0.0,0.0
袁幸堯,方嘉柏,0,1,0,0.0,0.0
袁幸堯,桂福特,0,1,0,0.0,0.0
袁幸堯,沈集成,0,1,0,0.0,0.0
袁幸堯,游達榮,0,1,0,0.0,0.0
袁幸堯,羅富全,1,10,5,10.0,50.0
袁幸堯,葉楚航,2,4,2,50.0,50.0
袁幸堯,蘇偉賢,0,1,1,0.0,100.0
袁幸堯,鄭俊偉,0,1,0,0.0,0.0
袁幸堯,韋達,1,6,2,16.7,33.3
袁幸堯,黎昭昇,1,2,1,50.0,50.0
貝知仁,巴伯樂,0,1,0,0.0,0.0
金美琪,大衛希斯,0,2,0,0.0,0.0
金美琪,姚本輝,0,1,0,0.0,0.0
金美琪,韋達,0,1,1,0.0,100.0
金誠剛,丁冠豪,2,55,19,3.6,34.5
金誠剛,伍鵬志,1,13,3,7.7,23.1
金誠剛,呂健威,0,9,1,0.0,11.1
金誠剛,告東尼,0,2,0,0.0,0.0
