Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
布文,蘇偉賢,0,15,2,-15.0,0.0,13.3,-100.0
布文,鄭俊偉,0,5,0,-5.0,0.0,0.0,-100.0
布浩榮,伍鵬志,0,2,0,-2.0,0.0,0.0,-100.0
紀仁安,告東尼,0,5,0,-5.0,0.0,0.0,-100.0
布宜學,葉楚航,0,1,1,-1.0,0.0,100.0,-100.0
布宜學,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
布文,丁冠豪,0,6,2,-6.0,0.0,33.3,-100.0
布文,伍鵬志,0,19,4,-19.0,0.0,21.1,-100.0
艾兆禮,桂福特,0,5,1,-5.0,0.0,20.0,-100.0
艾兆禮,鄭俊偉,0,8,1,-8.0,0.0,12.5,-100.0
艾兆禮,韋達,0,17,2,-17.0,0.0,11.8,-100.0
艾道拿,呂健威,0,5,1,-5.0,0.0,20.0,-100.0
紀仁安,游達榮,0,6,1,-6.0,0.0,16.7,-100.0
紀仁安,羅富全,0,6,2,-6.0,0.0,33.3,-100.0
紀仁安,葉楚航,0,5,0,-5.0,0.0,0.0,-100.0
紀仁安,蘇偉賢,0,3,2,-3.0,0.0,66.7,-100.0
紀仁安,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
紀仁安,鄭俊偉,0,5,2,-5.0,0.0,40.0,-100.0
紀仁安,韋達,0,4,1,-4.0,0.0,25.0,-100.0
紀仁安,黎昭昇,0,7,1,-7.0,0.0,14.3,-100.0
潘大衛,黎昭昇,0,3,0,-3.0,0.0,0.0,-100.0
潘明輝,丁冠豪,0,24,2,-24.0,0.0,8.3,-100.0
潘明輝,呂健威,0,5,3,-5.0,0.0,60.0,-100.0
潘明輝,大衛希斯,0,4,2,-4.0,0.0,50.0,-100.0
潘明輝,方嘉柏,0,2,0,-2.0,0.0,0.0,-100.0
潘明輝,桂福特,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,費伯華,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,鄭俊偉,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,韋達,0,3,0,-3.0,0.0,0.0,-100.0
巴米高,黎昭昇,0,2,1,-2.0,0.0,50.0,-100.0
艾道拿,姚本輝,0,29,4,-29.0,0.0,13.8,-100.0
布宜學,巫偉傑,0,3,0,-3.0,0.0,0.0,-100.0
布宜學,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
布宜學,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
布宜學,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
范以誠,雷拿及雷恩,0,1,0,-1.0,0.0,0.0,-100.0
莫艾誠,伯特,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,呂健威,0,2,1,-2.0,0.0,50.0,-100.0
巴米高,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,大衛希斯,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,姚本輝,0,3,0,-3.0,0.0,0.0,-100.0
巴米高,巫偉傑,0,1,1,-1.0,0.0,100.0,-100.0
巴米高,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
潘明輝,蘇偉賢,0,2,0,-2.0,0.0,0.0,-100.0
潘明輝,黎昭昇,0,6,0,-6.0,0.0,0.0,-100.0
潘頓,徐雨石,0,5,1,-5.0,0.0,20.0,-100.0
李寶利,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
李寶利,姚本輝,0,1,1,-1.0,0.0,100.0,-100.0
潘大衛,蘇偉賢,0,17,0,-17.0,0.0,0.0,-100.0
潘大衛,韋達,0,19,3,-19.0,0.0,15.8,-100.0
莫雅,姚本輝,0,2,1,-2.0,0.0,50.0,-100.0
莫雅,岳伯仁,0,4,0,-4.0,0.0,0.0,-100.0
莫雅,游達榮,0,2,0,-2.0,0.0,0.0,-100.0
莫雅,范景新,0,1,0,-1.0,0.0,0.0,-100.0
艾道拿,容天鵬,0,3,1,-3.0,0.0,33.3,-100.0
艾道拿,巫偉傑,0,12,2,-12.0,0.0,16.7,-100.0
艾道拿,徐雨石,0,7,0,-7.0,0.0,0.0,-100.0
艾道拿,文家良,0,2,0,-2.0,0.0,0.0,-100.0
艾道拿,桂福特,0,1,0,-1.0,0.0,0.0,-100.0
艾道拿,羅富全,0,8,2,-8.0,0.0,25.0,-100.0
艾道拿,蘇偉賢,0,2,0,-2.0,0.0,0.0,-100.0
艾道拿,鄭俊偉,0,7,0,-7.0,0.0,0.0,-100.0
苗傑美,伍鵬志,0,1,0,-1.0,0.0,0.0,-100.0
苗傑美,姚本輝,0,1,0,-1.0,0.0,0.0,-100.0
苗傑美,羅富全,0,2,1,-2.0,0.0,50.0,-100.0
范以誠,納斯,0,1,1,-1.0,0.0,100.0,-100.0
莫雷拉,堀宣行,0,3,3,-3.0,0.0,100.0,-100.0
莫雷拉,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,桂福特,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,武井亮,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,武英智,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,池江泰壽,0,1,1,-1.0,0.0,100.0,-100.0
莫雷拉,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,蘇偉賢,0,3,2,-3.0,0.0,66.7,-100.0
莫雷拉,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
