Horse,Wins,Starts,Places
開心樂園(J311),1,17,4
閃亮老撾(J322),1,12,1
閃耀威龍(G427),1,16,4
閃電小子(L126),1,3,2
閃電星福(K431),1,12,1
開心三寶(K511),1,9,3
錶之量子(H166),1,13,5
佰勝金龍(K458),1,6,1
佳景臨門(H154),1,4,1
鍵琴高奏(K913),1,2,2
鐵甲驌龍(J459),1,13,1
鐵金剛(H433),1,16,7
鑽石星空(J275),1,15,3
長勝金剛(K266),1,9,2
安帝(L107),1,4,2
安遇(G236),1,18,4
始終如一(J392),1,17,1
威力飛彈(G210),1,6,1
威威父子(H419),1,19,6
長峰小子(K117),1,9,1
錶之浩瀚(L106),1,6,3
銀河勇士(J238),1,8,2
銳目(L068),1,6,4
銳高(J375),1,18,3
鋁神(K105),1,9,1
金鑽貴人(G180),1,9,4
金陽飛駒(J168),1,6,2
保羅傳奇(J507),1,6,4
多多好馬(K403),1,5,2
嫡愛心(H093),1,6,4
宇宙動力(H156),1,16,4
安可(K252),1,19,4
假面騎士(K169),1,11,2
金德義(H106),1,18,3
金快飛飛(K121),1,13,3
金運來(H159),1,19,5
醒目先駒(K006),1,15,7
醒目勇駒(B456),1,8,1
重情重義(L311),1,2,1
金匯昇昇(H242),1,12,5
金多囍(K272),1,16,4
健康之星(G374),1,7,1
健康心靈(G249),1,6,3
健康快車(H439),1,21,10
健康愉快(D435),1,17,3
官金騏(K485),1,5,4
定數(H438),1,11,3
堅闖(J015),1,25,7
偵探傳奇(L117),1,8,1
傑出漢子(G455),1,21,2
佳登(K162),1,15,3
遠飛標槍(K923),1,2,2
遨遊波士(K321),1,11,2
還看今朝(H009),1,7,2
部族高手(K307),1,10,1
都靈冠星(L024),1,8,4
都靈星球(J209),1,6,1
都靈福星(H165),1,17,2
通情達理(L183),1,1,1
連連幸運(K010),1,20,9
進傲星(J340),1,13,4
運來勇士(H229),1,22,3
輝灑自如(L281),1,2,1
團結戰靈(K132),1,17,3
城中勇士(H430),1,18,7
嘉冠王(K116),1,11,2
實現夢想(H308),1,8,1
安騁(H452),1,17,4
辣得準(J520),1,7,3
辣得駕勢(G203),1,8,2
辰速密碼(J430),1,12,1
逍遙人生(J427),1,11,4
逍遙騎士(K370),1,11,1
越野大師(J283),1,6,2
跨境駿馬(L022),1,8,7
光年程祥(K204),1,11,5
光明傳承(J215),1,17,2
小霸王(G265),1,19,1
囍眼光(J261),1,17,5
四季醒(H223),1,13,2
國千金(L155),1,4,1
國大合(G322),1,8,1
光輝歲月(J508),1,15,2
超拍檔(K484),1,6,2
超旺財(J194),1,17,5
超眼光(J258),1,10,3
超開心(K260),1,18,3
超霸勝(H069),1,18,5
超風速(J205),1,16,5
赤馬雄風(E028),1,17,4
超勁赤兔(K312),1,13,6
超和平(L226),1,2,1
超寫意(K469),1,10,3
賢心星(J159),1,14,3
賢知友您(K545),1,6,2
嵐臣(K438),1,10,4
川河動駒(H456),1,17,5
川河帥駒(K127),1,12,2
將睿(K356),1,6,1
贏玥(L039),1,3,1
贏科超影(A164),1,5,3
譽友駿駒(K022),1,7,1
讓愛高飛(E413),1,15,1
豐盛多彩(G301),1,12,3
財將(L234),1,1,1
八仟好運(K582),1,6,2
觀眾之力(K107),1,6,1
觀萬物(K101),1,12,1
巴薩諾瓦(G221),1,4,2
巴閉仔(H298),1,17,1
常嚐發財(K293),1,11,5
話你知(G392),1,16,4
論文(H111),1,14,4
葳莉非凡(K297),1,7,4
藍地球(K468),1,8,1
蜜蜜送(J502),1,16,4
英雄戰歌(J089),1,5,4
荷花之星(J016),1,10,1
花開(L037),1,6,1
自力更生(G209),1,20,4
凌登(L151),1,5,3
凌風傲雪(K025),1,10,2
凝聚美麗(J299),1,19,6
凱旋幸運(H409),1,22,8
至旺財(H273),1,21,7
幸運芙蓉(J047),1,7,5
平凡騎士(K161),1,13,2
年少多好(J082),1,25,10
幸運二十(K392),1,7,1
幸運同行(J331),1,28,5
肯佩斯(J265),1,9,2
美麗之光(J474),1,4,2
凱明神駒(K190),1,22,5
前衛火影(K103),1,13,2
前風(E281),1,18,5
創科群英(K319),1,10,3
劍無名(J547),1,10,3
美麗同享(E058),1,22,4
美麗多盈(G477),1,19,1
美麗奔馳(G231),1,5,1
美麗星晨(K491),1,9,6
美麗老撾(J478),1,6,2
美麗邂逅(E459),1,26,6
嘉應勇將(L094),1,5,1
嘉應威風(H169),1,18,2
嘉應巨昇(J091),1,15,4
嘉應駿馬(J439),1,13,3
幸運奇兵(L071),1,3,2
幸運愉快(K064),1,13,4
幸運派彩(K313),1,16,3
幸運福星(K073),1,18,2
翠湖烈風(J288),1,18,4
縱橫天下(G123),1,13,2
美神來(J174),1,22,3
綫路光驊(H487),1,18,4
綫路滿貫(K201),1,8,2
綫路盈樂(J506),1,6,5
綫路神驊(G078),1,11,3
綫路達飛(J501),1,18,2
建測羣英(H070),1,24,8
彩虹七色(K145),1,12,5
彭玥(J447),1,19,6
嘉應勇士(H028),1,11,2
綠族無限(H338),1,15,2
加州勇勝(K364),1,17,4
加州得力(G451),1,24,3
紅衣醒目(K184),1,14,8
紅運帝王(H115),1,16,3
紅錢到(J116),1,9,6
紅鬃烈馬(D087),1,10,2
精英至尊(H133),1,14,3
精選威(G088),1,3,2
紅旺繽紛(J255),1,15,1
笑盈喜(K573),1,6,1
符號(E194),1,8,2
管之友(E496),1,18,7
米奇(K082),1,24,4
康昌之星(K003),1,15,4
粵港資駒(L033),1,6,2
精彩動力(H120),1,16,3
精益大師(H134),1,25,7
穿雲達月(K324),1,5,2
勁進駒(J384),1,21,8
競馬一心(J436),1,15,4
競駿先鋒(J400),1,15,4
競駿光輝(H135),1,14,1
競駿良駒(K178),1,7,2
競駿非凡(J401),1,20,7
君智盛(J213),1,24,5
忠誠明駒(K574),1,4,2
快搏(E434),1,24,4
禪勝輝煌(H212),1,19,6
禾道威(J463),1,17,5
禾道豐(L264),1,2,2
穿甲戰鷹(J039),1,24,10
勇威神駒(G471),1,16,5
神煞金剛(H202),1,10,2
真僥倖(K270),1,3,2
睿智多寶(L044),1,6,3
知道長勝(H366),1,14,3
砂漿麒星(K333),1,4,1
皇者有利(J539),1,11,4
皇金風速(E448),1,19,3
盈妍威楓(J300),1,18,6
直線力山(G435),1,13,1
發財先鋒(G171),1,23,6
勝意(J203),1,15,7
勝意龍(E253),1,4,2
怡昌精神(H379),1,20,7
喜蓮勁感(L028),1,5,2
喜蓮勇略(J207),1,6,1
勤德天下(K327),1,9,2
發財秘笈(G303),1,7,2
百勝威龍(H453),1,4,1
百賀飛駒(K021),1,11,5
皇帝英明(G264),1,13,3
皇帝英豪(J247),1,11,1
球皇(J551),1,13,1
瑰麗人生(H044),1,17,1
生生勝利(J216),1,8,2
當家精彩(K322),1,9,3
特別美麗(H123),1,19,3
狀元及第(E392),1,23,4
愛意龍(J038),1,5,1
快靚旺(K027),1,10,1
獎星(H087),1,26,8
獨角獸(G466),1,10,2
獵寶勤(J304),1,24,10
爆出美麗(K155),1,23,4
爆得美麗(K368),1,6,2
爆熱(G368),1,25,7
包裝天王(K570),1,4,1
包裝戰將(K442),1,5,2
包裝明將(L013),1,7,4
包裝明駒(J470),1,10,3
北海盜(H233),1,22,7
怪獸豪俠(G282),1,3,1
悠悠乾坤(K059),1,20,2
炯炯有神(H341),1,3,1
烈火駿馬(G339),1,9,2
無限美麗(H377),1,12,3
煌上(L301),1,2,2
滿洛城(K374),1,11,2
漣心星(J095),1,11,3
潮州精神(H175),1,20,3
澳華威威(E144),1,5,2
深心星(K041),1,6,3
渡月橋(K334),1,6,3
準輝煌(J273),1,16,10
千帆駒(L153),1,6,4
千杯不醉(K365),1,13,5
南區旺(H178),1,19,6
包裝創新(K085),1,12,3
活力精神(K039),1,11,2
浪漫戰神(K012),1,13,4
浪漫老撾(G476),1,26,5
海上大軍(L187),1,2,1
喜勝威龍(G395),1,8,4
喜勝駿駒(J090),1,5,2
海藍寶(H343),1,13,3
水晶酒杯(H081),1,11,4
永勝金駒(H471),1,18,3
河好運(J320),1,13,5
泰力(L171),1,4,1
洪才(K487),1,8,2
正氣青驅(H059),1,14,6
歷險大將(J344),1,15,2
比特星(J362),1,21,7
新力(H325),1,18,7
新力好(J118),1,19,7
哪吒(K494),1,10,2
唯美主義(H289),1,23,5
喆喆友福(J345),1,17,4
機械之星(K559),1,7,3
歡樂老撾(H432),1,17,1
極速贏(J040),1,12,5
榮耀盛甲(K290),1,10,2
樂加福(G244),1,9,3
樂捉鳥(G470),1,8,2
桃花多(E488),1,17,3
博愛先鋒(G465),1,19,6
博望坡(H265),1,13,1
又龍串鳳(E461),1,16,6
友得盈(K106),1,17,3
友瑩光(K564),1,7,3
旌鷹(E346),1,13,2
日出東方(K552),1,5,4
撼天鐵翼(H162),1,16,3
極速之子(H332),1,25,5
極速之星(G181),1,2,1
東方寶寶(J309),1,17,6
林寶精神(K305),1,19,4
架勢奇爸(G312),1,23,8
有情有義(K416),1,11,3
有派頭(J093),1,19,5
有鴻利(E184),1,22,3
朗日自強(J530),1,22,3
木火兄弟(G115),1,11,2
木火同明(C460),1,10,2
本領非凡(J137),1,20,6
智取神駒(H474),1,20,4
可愛新星(H291),1,10,3
旺旺嘉駒(L088),1,3,2
新力驕(J223),1,16,4
新幹線(H277),1,14,5
同喜(J403),1,22,8
同工之妙(L913),1,2,2
同得威(J019),1,13,1
暴風一族(K104),1,10,1
時間寶(H403),1,22,7
晒冷(K369),1,12,7
智勝龍(G475),1,4,2
星運少爵(H459),1,23,7
星運皇爵(H489),1,9,3
星雲浩騰(G372),1,13,6
時尚歡欣(H041),1,21,3
同益善(K254),1,12,2
同祥和順(J185),1,12,7
君子(K534),1,7,1
星月飛雲(K363),1,10,2
星運傳奇(L019),1,6,1
不勞而獲(K377),1,15,3
魅影戈飛(K183),1,6,4
一支箭(H276),1,20,6
一舖掂晒(L105),1,3,1
龍傲綾羅(K318),1,11,4
龍城精將(K203),1,10,3
龍船快(G229),1,17,3
三強(K229),1,15,4
鼓浪飛凡(H018),1,21,3
三才鬥士(K083),0,3,0
齋月(K309),0,2,0
鼓浪高升(J479),0,18,4
黑白(H466),0,10,1
黃金見聞(J165),0,6,0
黃金大亨(L135),0,4,0
三寶進財(L167),0,2,0
鮮紅葉(K924),0,1,0
鳳翼天翔(K404),0,5,0
大快步(K194),0,8,0
大才(G192),0,12,2
大數據(H230),0,11,2
大文豪(L134),0,3,0
大浪園田(K209),0,13,0
大登殿(G172),0,4,1
大眾快駒(K140),0,7,0
大眾經典(J407),0,7,0
大紅袍(E445),0,7,0
鸚姿威鵡(L063),0,1,0
龍之尊(K462),0,4,1
龍之珍(J202),0,1,0
龍之邦(K079),0,10,0
驕陽萬里(K071),0,3,0
名城潮流(L914),0,1,0
名揚四海(L219),0,2,0
名醫(L909),0,1,0
友運行(K139),0,11,0
明心知遇(H256),0,3,1
明月清風(K414),0,5,0
星之願(J480),0,17,2
星光大道(L194),0,1,1
星光快驅(K215),0,9,3
星威心得(L074),0,9,0
星將(K331),0,5,0
星幻(L123),0,8,0
星河勇士(J380),0,6,0
星辰千帥(K325),0,10,4
星迷(K905),0,1,0
日新月著(G109),0,7,0
智勝一籌(L249),0,3,0
智勝勳章(K521),0,8,0
智勝神駒(K446),0,3,0
智勝策略(L173),0,2,0
星運遨翔(J126),0,2,0
星鑽貴人(K292),0,6,0
星願無限(L267),0,4,0
時時如意(J204),0,4,0
時時有道(J206),0,2,0
時時稱心(H090),0,8,3
明德輝煌(L298),0,1,0
同心(K253),0,6,0
同心同夢(L215),0,3,0
同有運(H349),0,11,0
同樣世界(L329),0,1,0
名俠(K934),0,1,0
吉祥寶(J376),0,8,0
同寶寶(H386),0,21,4
博學多財(J167),0,3,0
智多多寶(K387),0,14,1
智開心(J351),0,13,0
最多歡笑(G251),0,6,0
最好玩(H442),0,16,1
最感(L130),0,5,0
會展二號(H371),0,4,0
有備而戰(L095),0,2,0
有心意(J179),0,22,5
時時開心(K550),0,4,0
晉步贏(L269),0,1,0
普魯托斯(K413),0,1,0
晴王(G380),0,11,0
晶晶日上(H089),0,18,6
叻叻熊(J313),0,3,0
合金皇(D287),0,9,1
吉星騎士(K518),0,8,0
日日型(E322),0,4,0
日日賞(L273),0,3,0
日頌月讚(J102),0,9,1
旭日昇(E466),0,5,3
旭能精英(K544),0,6,0
旺旺快駒(J119),0,4,2
旺旺昇叻(K070),0,5,0
旺旺神駒(G457),0,4,0
明亮光輝(L005),0,7,0
明亮天下(J170),0,15,2
明天更好(K486),0,4,0
新力飆(K177),0,7,0
新強福盈(J063),0,1,1
東方福寶(K115),0,21,1
東方魅影(K028),0,25,5
東昇鉞(J264),0,12,0
枕頭之星(K207),0,13,0
林家山神(K424),0,4,0
果然僥倖(H252),0,9,3
果然得(J035),0,5,2
柏林探戈(E120),0,1,0
桃花俊(L066),0,3,0
有色光輝(K135),0,9,0
有誰共鳴(J367),0,3,0
本能(K289),0,15,0
本領輝煌(K062),0,17,7
友駿同心(L214),0,1,0
古惑大師(J541),0,16,1
可期而遇(J477),0,10,1
攻頂(E221),0,10,2
友聲友色(K441),0,2,0
友誼喜悅(H295),0,7,1
