Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Devonport Poultry Club,Poultry Farm,"75 Wesley Vale Rd, Wesley Vale TAS 7307, Australia",-41.1972951,146.4541738
Long Name Farm Free-Range Pork,Poultry Farm,"10560 Tasman Hwy, Little Swanport TAS 7190, Australia",-42.3320309,147.94094819999998
Bush Pig Farm,Poultry Farm,"225 Mount Hull Rd, Collinsvale TAS 7012, Australia",-42.8559328,147.1914809
Lone Goose Farm,Poultry Farm,"1410 Birralee Rd, Birralee TAS 7303, Australia",-41.4136516,146.8215933
Seedhouse Tasmania,Poultry Farm,"827 Hobart Rd, Breadalbane TAS 7258, Australia",-41.525286099999995,147.1889129
3/4 Chicken Farm,Poultry Farm,"Cambridge TAS 7170, Australia",-42.86012410000001,147.41555209999999
Inghams Kongarra Farm,Poultry Farm,"64 White Kangaroo Rd, Campania TAS 7026, Australia",-42.6834859,147.4490365
Organic AG,Poultry Farm,"10 Abrus Rd, Humpty Doo NT 0836, Australia",-12.555624,131.156762
Acacia Hills Farm,Poultry Farm,"Lot 31/120 Golding Rd, Acacia Hills NT 0822, Australia",-12.751689599999999,131.1666397
Humpty Doo Barramundi,Poultry Farm,"1105 Anzac Parade, Middle Point NT 0836, Australia",-12.554988999999999,131.3716991
Flanno's Eggs Distributors,Poultry Farm,"unit 15/16 McCourt Rd, Yarrawonga NT 0830, Australia",-12.473550399999999,130.99353209999998
Fannie Bay Meats & Poultry,Poultry Farm,"3a Fannie Bay Pl, Fannie Bay NT 0820, Australia",-12.424047000000002,130.83641799999998
Katherine Research Station,Poultry Farm,"Stuart Hwy, Katherine NT 0852, Australia",-14.4736961,132.3055077
Stockfeed Shop,Poultry Farm,"corner Berrimah rd & Stuart Hwy, Truck City - Workshop 1, Berrimah NT 0831, Australia",-12.435461499999999,130.9239815
Cheeky Chicken Hobby Farm,Chicken farm,"136 Tynan Rd, Table Top NSW 2640, Australia",-35.9697562,146.98516519999998
Carramar Poultry,Chicken farm,"Unit 1/8 Vangeli St, Arndell Park NSW 2148, Australia",-33.7905028,150.882948
Woy Woy Poultry Supplies,Chicken farm,"20 Alma Ave, Woy Woy NSW 2256, Australia",-33.5040598,151.3234593
Black on black heritage poultry,Chicken farm,"The Bucketts Way, Tinonee NSW 2430, Australia",-31.9449224,152.4311763
Pace Farm,Egg farm,"1 Kippist Ave, Minchinbury NSW 2770, Australia",-33.7825109,150.8117873
Newlay Eggs,Egg farm,"Green St, Banksmeadow NSW 2019, Australia",-33.9439694,151.21346649999998
Galea & Sons Egg Farm,Egg farm,"Egg farm Galea & Sons, 197 Eastwood Rd, Leppington NSW 2179, Australia",-33.9635865,150.7845854
The Egg Shed,Egg farm,"439 The Entrance Rd, Erina Heights NSW 2260, Australia",-33.4248335,151.4060379
Pirovic Family Farms,Egg farm,"192 Sixth Ave, Llandilo NSW 2747, Australia",-33.7051583,150.750238
Natures Free Range Eggs,Egg farm,"48 Karen Rd, Rossmore NSW 2171, Australia",-33.954775,150.76650999999998
Kangaroo Valley Pastured Eggs,Egg farm,"39 Bendeela Rd, Kangaroo Valley NSW 2577, Australia",-34.7228607,150.5183482
Farmdale Egg Farm,Egg farm,"220a Mowbray Park Rd, Lakesland NSW 2572, Australia",-34.170713899999996,150.5429537
Eggzi,Egg farm,"29-37 Dobroyd Rd, Balgowlah Heights NSW 2093, Australia",-33.8070351,151.26294199999998
Mid Coast Eggs,Egg farm,"3 Miles Dr, Herons Creek NSW 2439, Australia",-31.605239100000002,152.7268334
Pace Farm,Egg farm,"1416 George Booth Dr, Buchanan NSW 2323, Australia",-32.8455505,151.5296936
Farmer Rod's Free Range Egg Farm,Egg farm,"213 Muffets Rd, Quialigo NSW 2580, Australia",-34.9455393,149.80026569999998
Canobolas Eggs,Egg farm,"Euchareena Rd, Molong NSW 2866, Australia",-33.0810344,148.892943
Chicken Egg Farm,Egg farm,"Thompsons Creek Rd, Portland NSW 2847, Australia",-33.3882276,150.0165815
Alderley Creek Eggs,Egg farm,"38 Alderley Ln, Stroud NSW 2425, Australia",-32.446709,151.9749292
Hattam Farm,Egg farm,"2456 The Bucketts Way, Booral NSW 2425, Australia",-32.458149,151.9639636
Springfield Pastured Eggs,Egg farm,"296 Springfield Rd, Springfield NSW 3434, Australia",-33.4293958,151.36783
Grass Valley Eggs,Egg farm,"1056 Lachlan Valley Wy, Boorowa NSW 2586, Australia",-34.3511435,148.6952025
Port Stephens Eggs,Egg farm,"2316/4165 Nelson Bay Rd, Anna Bay NSW 2316, Australia",-32.7682163,152.05440729999998
Jacks Eggs,Egg farm,"11 Parker Rd, Wells Crossing NSW 2460, Australia",-29.892684499999994,153.05844109999998
Taluca Park Free Range,Egg farm,"246 Sallys Corner Rd, Exeter NSW 2579, Australia",-34.6109868,150.2590176
Majura Valley Free Range Eggs,Egg farm,"728 Majura Rd, Australian Capital Territory 2609, Australia",-35.2702817,149.195615
Hardwick Park,Egg farm,"3860 Remembrance Dr, Yanderra NSW 2574, Australia",-34.3158003,150.57661489999998
Smith's Free Range Eggs,Egg farm,"169 Old Wallendbeen Rd, Stockinbingal NSW 2725, Australia",-34.480195099999996,147.89187809999999
Farmer Jess,Broiler farm,"2684 Putty Rd, Milbrodale NSW 2330, Australia",-32.6937536,150.9981309
Grassland Poultry,Broiler farm,"1946 Twelve Mile Rd, Wellington NSW 2820, Australia",-32.4571095,149.1398609
Australia Poultry & Food Wholesalers,Broiler farm,"46 Auburn St, Wollongong NSW 2500, Australia",-34.429967399999995,150.8885756
Mill Farm Silkies,Broiler farm,"303 Mill Rd, Kurrajong NSW 2758, Australia",-33.5404268,150.6572631
"Pdmb Poultry, Hatchery, Rabbit Breeding",Broiler farm,"931 Richardson Rd, Campvale NSW 2318, Australia",-32.7651757,151.84525779999998
Hatching Chicks,Hatchery,"8A Marcus Pl, Frenchs Forest NSW 2086, Australia",-33.7455494,151.21462549999998
Dutton Trout Hatchery,Hatchery,"Point Lookout Rd, Ebor NSW 2453, Australia",-30.4766674,152.3212006
Pine Creek Fish Hatchery PTY LTD,Hatchery,"606 Pine Creek Way, Bonville NSW 2450, Australia",-30.394720999999997,153.031334
Cheep & Quack Hatchery,Hatchery,"6201 Waterfall Way, Dorrigo NSW 2453, Australia",-30.366590199999997,152.5492344
