Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Newcastle Lake Macquarie Clay Target Club,Shooting Range,Unknown,-33.0349506,151.5570784
Gosford Rifle Range,Shooting Range,Unknown,-33.4648134,151.2636918
Casino Rifle Range,Shooting Range,Unknown,-28.8839576,153.0268532
Broome Pistol Club & Overflow Caravan Park (Google),Shooting Range,"Broome, Western Australia, 6752",-17.9883984,122.2096135
Pistol Club,Shooting Range,Unknown,-33.5351132,118.2000545
ANZAC Rifle Range,Shooting Range,Unknown,-33.9565133,151.2564958
Eagle Park Shooting Complex,Shooting Range,Unknown,-37.9139328,144.4387972
Facility on Box Ridge Road,Shooting Range,"New South Wales, 2395",-31.5474987,149.3903968
Cessnock Pistol Club,Shooting Range,Unknown,-32.826841,151.3966189
Newtech Pistol Club,Shooting Range,Unknown,-32.9526326,151.5903581
Grafton Pistol Club,Shooting Range,Unknown,-29.7323675,152.9597798
Facility on Rifle Range Road,Shooting Range,"Wingham, New South Wales, 2429",-31.8494854,152.3696707
Ayers Rock Clay Target Club,Shooting Range,Unknown,-25.2424283,130.9715049
Rifle Range,Shooting Range,Unknown,-36.6016834,145.9591894
Kariong Regional Shooting Complex,Shooting Range,Unknown,-33.4568968,151.2701889
Kariong Regional Shooting Complex,Shooting Range,Unknown,-33.4541859,151.2719672
Sydney International Shooting Centre (Google),Shooting Range,"Cecil Park, New South Wales, 2171",-33.8900444,150.8180743
Sydney International Shooting Centre (Google),Shooting Range,"Cecil Park, New South Wales, 2171",-33.8890866,150.8171465
Cecil Park Clay Target Club,Shooting Range,Unknown,-33.88857,150.8181589
Sydney International Shooting Centre (Google),Shooting Range,"Cecil Park, New South Wales, 2171",-33.8883251,150.8190876
Facility on Reserve Road,Shooting Range,"Marrangaroo, New South Wales, 2790",-33.4268629,150.1269199
Facility on Torlesse Street,Shooting Range,"Campbell Town, Tasmania, 7210",-41.9456153,147.4845424
